,Job title,company,city,state,education level/skills required / responsibilities,longitude,latitude,url,job summary
0,"Assistant Professor, Anthropology",University of North Florida,Jacksonville,FL,"In Anthropology by August 1, 2017. The Department of Sociology, Anthropology, and Social Work at the University of North Florida seeks a full time (nine-month),...",30.32967,-81.65385,http://www.indeed.com/viewjob?jk=f07e728d5dab39f8&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJO7YeerMG7p4ijM4TvJCUCoflFiJ8gC7l5lDXrqHSqyqSgI0RAYOdZ4uOwv8qrnPYiUqvqeE58FHcDdIdkG6eEQ&indpubnum=336274463762899&atk=1b2n6vqlsaurrbmb,"The Department of Sociology, Anthropology, and Social Work at the University of North Florida seeks a full time (nine-month), tenure-track faculty member in Archaeology at the level of Assistant Professor to begin in August 2017. The successful candidate must be able to teach courses in anthropological archaeology, North American Indians, field and laboratory methods, Southeast U.S. archaeology, and public archaeology, as well as other required, service, and elective courses in their area of expertise


Statement(s) of Understanding

UNF is a Carnegie Community Engaged Institution. This designation celebrates the University's collaboration with community partners from the local to the global level. It reflects UNF's mission to contribute to the public good and prepare educated, engaged citizens.


Required Qualifications

In addition to teaching, the successful candidate will be expected to maintain an active research agenda including publication in peer-reviewed outlets and securing external research funding, and to make meaningful service contributions to the department, the university, and the discipline. All candidates must have an earned Ph.D. in Anthropology by August 1, 2017.


Preferred Qualifications

Preferred research emphases include: prehistoric cultures of the Southeastern U.S. generally and northeast Florida specifically, political/ritual economy, and regional interactions. The preferred candidate will also have an active field project in the Jacksonville area that can accommodate students."
1,"Assistant Professor, Social Work",University of North Florida,Jacksonville,FL,"The Department of Sociology, Anthropology, and Social Work at the University of North Florida seeks a full time (nine-month), tenure-track faculty member in...",30.32967,-81.65385,http://www.indeed.com/viewjob?jk=d8b65c6865c909af&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJO7YeerMG7p4ijM4TvJCUCoflFiJ8gC7l5lDXrqHSqyqSgI0RAYOdZ4uOwv8qrnPYiUqvqeE58FHcDdIdkG6eEQ&indpubnum=336274463762899&atk=1b2n6vqlsaurrbmb,"The Department of Sociology, Anthropology, and Social Work at the University of North Florida seeks a full time (nine-month), tenure-track faculty member in Social Work at the level of Assistant Professor to begin in August 2017. This position will serve the Department's BSW and MSW programs as well as a Minor and Concentration in Social Welfare.


We seek a teacher-scholar with a specialization in micro-level social work practice. The successful candidate will teach three courses per semester in areas including research methods, program evaluation, generalist practice, and/or social justice, as well as advanced generalist practice electives in his or her area of specialization. In addition to teaching, the successful candidate will be expected to maintain an active research agenda including publication in peer-reviewed outlets and securing external research funding, and to make meaningful service contributions to the Department, University, and discipline.


Statement(s) of Understanding

UNF is a Carnegie Community Engaged Institution. This designation celebrates the University's collaboration with community partners from the local to the global level. It reflects UNF's mission to contribute to the public good and prepare educated, engaged citizens.


Required Qualifications

All candidates must have an MSW from a CSWE-accredited program, as well as an earned doctorate in Social Work or a related discipline by August 1, 2017, and two or more years of post-BSW or post-MSW practice experience.


Preferred Qualifications"
2,"Field Education Director, Master of Social Work",University of North Florida,Jacksonville,FL,"The University of North Florida, Department of Sociology, Anthropology and Social Work (SASW) in the College of Arts and Sciences invites applications for the...",30.32967,-81.65385,http://www.indeed.com/viewjob?jk=96fbc7ce3d16bc9a&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJO7YeerMG7p4ijM4TvJCUCoflFiJ8gC7l5lDXrqHSqyqSgI0RAYOdZ4uOwv8qrnPYiUqvqeE58FHcDdIdkG6eEQ&indpubnum=336274463762899&atk=1b2n6vqlsaurrbmb,"The University of North Florida, Department of Sociology, Anthropology and Social Work (SASW) in the College of Arts and Sciences invites applications for the position of Director of Field Education for the Master of Social Work (MSW) program. This is a 12-month instructor position. We are seeking a field education director who has experience with graduate field education, Council on Social Work Education (CSWE) accreditation processes, and can provide strong leadership to an emerging MSW Program that will serve the communities in northeast Florida.


The Director of Field Education for the MSW field education program will work in tandem with the field education director in the CSWE-accredited UNF bachelor of social work (BSW) field program which was accredited in 2015. As the director of a nascent MSW program, the field director will be expected to build on existing community partnerships, develop new collaborations, and engage in sound measurement approaches to field education outcomes.


UNF's MSW Program will feature an integrated curriculum that merges clinical and administrative social work roles in a contemporary and transformative approach to social work practice and social change. The mission of the social work program at UNF is to prepare students with the generalist knowledge, values, and skills to provide effective social work services to diverse client systems in a variety of practice settings. Our curriculum is designed to enhance students' understanding of and sensitivity to economic and social inequalities and foster commitment to serving and advocating for the well-being of those who are vulnerable, marginalized, and oppressed.

The University of North Florida is a growing urban comprehensive university on the Atlantic coast with over 16,000 students. UNF strategically supports an aim to operate as a preeminent, vibrantly inclusive employer in higher education. The successful candidate should demonstrate a capacity to work among diverse constituencies in the immediate university community and beyond. More information about the University and the Department may be found at http://www.unf.edu/coas/sasw.


Job Description:

The MSW Director of Field Education will:

1. Create integrated programming and policies for field education including the timely and accurate preparation and updating of field educational manuals, forms, and administrative procedures; submit changes as required to the university catalog and student handbooks

2. Implement approaches for measuring field education outcomes

3. Provide orientation, training, and support to agency field instructors

4. Coordinate/direct the activities of faculty field liaisons

5. Provide orientation, training, and support to field students

6. Recruit field placement sites/field education opportunities for graduate field education

7. Establish, maintain/monitor memorandum of understandings (MoUs) with field agencies

8. Actively engage with the program advisory committee

9. Facilitate the integration of classroom and field learning experiences

10. Assist in the design, development and implementation of assessment planning, including the observation of student competencies, field education evaluations, and other best practice assessment tools; continuously research the literature to ensure best practices are applied in all aspects of field education.

11. Teach courses within the BSW and MSW Programs when appropriate.


Statement(s) of Understanding

UNF is a Carnegie Community Engaged Institution. This designation celebrates the University's collaboration with community partners from the local to the global level. It reflects UNF's mission to contribute to the public good and prepare educated, engaged citizens.


Required Qualifications

All candidates must hold an MSW from a CSWE accredited program and have at least two years post-MSW practice experience. We seek candidates with experience in social work field education, a positive record of teaching or training, and familiarity with CSWE accreditation standards.


Preferred Qualifications

We also encourage applications from those with a doctoral degree in social work or closely related field, a record of research and publications, teaching experience in an accredited MSW or BSW program, and/or experience with CSWE accreditation processes. The successful candidate should demonstrate a capacity to work among diverse constituencies in the immediate university community and beyond."
3,Director of Nursing,Five Points Health Care,Jacksonville,FL,"HEALTH CARE MANAGERS Job Specifications Director of Nursing (DON) We offer many great benefits to our employees. Paid Vacation, Healthcare, 401k, and",30.32967,-81.65385,http://www.indeed.com/viewjob?jk=3a9fbf055770fbad&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJO7YeerMG7p4ijM4TvJCUCoflFiJ8gC7l5lDXrqHSqyqSgI0RAYOdZ4uOwv8qrnPYiUqvqeE58FHcDdIdkG6eEQ&indpubnum=336274463762899&atk=1b2n6vqlsaurrbmb,"HEALTH CARE MANAGERS

Job Specifications

Director of Nursing (DON)

We offer many great benefits to our employees.

Paid Vacation, Healthcare, 401k, and Competitive Salary, etc.

Condition of Employment and/or Continued Employment

It is the policy of the Company to maintain a drug-free workplace as a condition of employment and/or continued employment. All employees and job applicants must abide by the terms of this policy.

Eligibility Factors

Florida Registered Nurse (RN) license in good standing is required. Associate or Bachelor of Science in Nursing is desirable. Candidates are required to maintain CPR certification upon hire. Supervisory experience is required. Experience managing a large, multi-shift, nursing operation is required. Experience performing the essential functions of the position is required.

Essential Functions

Assess resident treatment needs

Provide emergency care to residents

Initiate life-saving actions

Resolve residents' refusal of treatment

Interpret policies and procedures

Ensure compliance with regulatory and professional standards/guidelines

Comply with federal, state, and local regulations

Optimize residents' care through inter-department coordination/cooperation

Evaluate nursing policies/procedures

Ensure nurses' call system is within easy reach of residents

Greet/escort/orient new resident

Introduce new resident to roommate/other residents/staff, as appropriate

Make resident comfortable

Treat residents fairly, with kindness, dignity, and respect

Transfer residents

Discharge residents

Inform family members of residents' death

Conduct shift turnover briefings

Listen to resident/family/physician complaints and initiate corrective action

Communicate new arrivals to staff

Develop/implement comprehensive care plans

Maintain floors safe and clear of obstructions (residents' belongings, supplies/equipment, etc.)

Maintain dry floors.

Report spills

Report accidents/incidents to supervisor

Notify supervisor of lost/missing residents

Implement improvements in resident care/service

Ensure employees and residents follow policies and procedures

Report residents' complaints/grievances

Resolve residents' complaints/grievances

Report occupational exposures to blood, body fluid, infectious materials, and/or hazardous chemicals

Follow established policies concerning exposure to blood/body fluids

Report residents' allegations of abuse/mistreatment

Ensure implementation of Residents' Rights

Render immediate resident assistance

Answer resident call lights

Devise systems and processes to monitor validity of risk modeling outputs

Identify and analyze areas of potential risk

Collect and analyze data

Assess risk

Monitor compliance with policy, laws, and regulations

Analyze adverse incidents

Identify areas for improvement

Assess customer satisfaction

Conduct admission screening

Determine level of care, services required, equipment needs, insurance coverage

Authorize acceptance of residents

Assess documentation for accuracy

Assess documentation for completeness

Maintain confidentiality of medical records

Protect the security of medical records

Resolve inaccurate documentation

Resolve incomplete documentation

Report failure to report to work

Report absentee calls

Evaluate employee work performance

Provide leadership to assigned employees

Ensure on-shift assignments are performed to meet residents' needs

Identify/report shift problem areas

Resolve shift problem areas

Ensure trainees are properly supervised

Assist on-shift employees in problem resolution

Standardize work processes

Enforce dress codes

Enforce policies and procedures

Ensure on-shift employees comply with care plans

Initiate employee disciplinary action

Counsel subordinates on work performance or procedure violations

Ensure adequate staffing to meet resident needs

Assign work according to staffing guidelines, staff qualifications, and resident characteristics/needs

Provide instruction for appropriate nursing care to subordinates

Supervise application and removal of restraints

Assign staff on shift to cover absences

Conduct employee effectiveness reviews

Implement employee discipline

Develop work schedules/assignments

Reassign employees to meet business needs

Ensure proper use of personal protective equipment

Recommend salary adjustment

Terminate employees

Resolve emotional employee events/instances

Make work assignments

Communicate work standards/expectations

Monitor employee absences

Ensure employees are qualified and medically fit to perform assigned tasks

Verify residents' identity

Ensure adequate supply of medications is available

Order medications

Review medication cards for completeness and accuracy

Dispose of drugs/narcotics

Participate in training and educational classes

Maintain knowledge/understanding of applicable Federal and State laws and regulations

Understand and follow safety procedures

Report safety violations

Follow isolation precaution/procedures

Properly use and dispose of personal protective equipment

Follow safety procedures

Participate in safety program

Implement infection control procedures

Develop/implement infection controls

Conduct accident/incident investigation

Implement standard precautions and isolation procedures

Implement safety program

Develop/implement/evaluate safety standards

Participate in quality improvement program

Understand and follow procedures

Understand and follow instructions

Perform assigned tasks in accordance with policies, procedures, and work schedules

Cooperate with other employees to ensure nursing services meet residents' needs

Create and maintain warm, positive, atmosphere of resident care and interest

Create and maintain calm, competent, environment

Maintain confidentiality of residents' care information

Investigate allegations of resident abuse/misappropriation of resident property

Provide data to Quality Assurance and Assessment Committee

Participate in cross-functional problem solving

Compile information

Understand and apply the Employee Handbook

Assist new employees with policies, procedures, and work practices

Enter data

Compose reports

Prepare documents in MS Word

Participate in and promote the quality assurance program

Develop, implement, and evaluate corrective action plans

Implement and maintain nursing objectives and standards

Understand and comply with Code of Conduct

Recommend/select nursing reference materials

Maintain Nursing Services Procedure Manual

Establish department policy

Implement work practices

Develop staffing plans

Establish goals/priorities

Develop department strategy

Prepare job descriptions

Provide reasonable accommodations

Hire new employees

Select current employees for promotion/transfer

Select residents for admission

Determine staffing needs

Conduct employee satisfaction surveys

Conduct investigations

Evaluate/implement corrective actions

Develop department organization structure

Ensure current reference materials are available to staff

Ensure Residents' Rights policy is fully implemented

Review Nurses' notes/documentation

Review medical documentation

Assess resident care

Assess regulatory compliance

Assess nursing proficiency

Assess safety compliance

Assess infection control practices

Monitor/evaluate supply usage

Establish resident care standards

Develop performance standards

Conduct staff meetings

Monitor budget performance

Recruit candidates for vacant positions

Minimum Qualifications (* denotes day one requirement)

Knowledge

English language*

Biology*

Chemistry*

Arithmetic*

Algebra*

Geometry*

Calculus*

Statistics*

Sociology*

Anthropology*

Federal Regulations*

State Regulations*

Local Regulations

Policies/procedures

Medical principles: symptoms*

Medical principles: treatment alternatives*

Medical principles: drug properties and interactions*

Medical principles: preventive healthcare*

Psychology*

Education and training principles

Therapy methods/procedures*

Counseling*

Public safety*

Security*

Clerical/administrative procedures/systems*

Computer operation/software*

MS Word

Supervision*

Management and Administration

Customer service*

Skills

Reading comprehension*

Oral communications (speaking)*

Written communications*

Critical thinking*

Complex problem solving*

Customer service (service

orientation)*

Apply applicable regulations, policies,procedures*

Planning & Organizing*

Data entry*

Monitor/observe*

Assess*

Conflict resolution*

Supervise others*

Analysis*

Calculate (mathematics)*

Compile data/information*

Social perceptiveness*

Active listening*

Active learning*

Learning strategies

Instructing*

Coordination*

Judgment/decision making*

Science*

Information gathering*

Systems/process analysis*

Systems evaluation*

Time management*

Management: Financial Resources*

Management: Material Resources*

Management: Personnel/Human

Resources*

Motivating/influencing*

Delegation*

Strategic planning

Project management

Change management

Process improvement*

Negotiation*

Persuasion*

Presentation

Coaching and feedback*

Troubleshooting

Equipment selection

Operate applicable equipment

Quality control analysis

CPR

Abilities

Problem sensitivity

Inductive reasoning

Oral comprehension

Deductive reasoning

Information ordering

Oral expression

Written comprehension

Speech clarity

Speech recognition

Written expression

Category Flexibility

Finger dexterity

Mathematical reasoning

Number facility

Memorization

Perceptual speed

Selective attention (concentration)

Time sharing (multi-tasking)

Fluency of ideas

Originality

Physical Requirements (all day one)

Lift 51-74 pounds

Carry 35-50 pounds

Stretch

Bend

Twist

Stoop

Squat

Crouch

Kneel

Balance

Reach above shoulder level

Climb

Climb stairs

Walk on even surface

Stand

Sit

Simple grasp

Firm grasp

Fine hand manipulation

Near vision

Far vision

Distinguish colors

Hear conversation

Hear alarms

Speak

Licenses/Certifications

Registered Nurse

CPR

Critical Competencies

Business orientation

Strategic Planning

Initiative

Professionalism

Assertiveness

Follow through

Judgment/Decision Making"
4,RN / LPN - Skilled Nursing Facility,Five Points Health Care,Jacksonville,FL,Job Specifications RN/LPN Shifts available 7p to 7am or 11p to 7a Eligibility Factors Florida Licensed Practical Nurse (LPN) or Registered Nurse (RN),30.32967,-81.65385,http://www.indeed.com/viewjob?jk=abe2f7ea2f19ea32&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJO7YeerMG7p4ijM4TvJCUCoflFiJ8gC7l5lDXrqHSqyqSgI0RAYOdZ4uOwv8qrnPYiUqvqeE58FHcDdIdkG6eEQ&indpubnum=336274463762899&atk=1b2n6vqlsaurrbmb,"Job Specifications
"
5,3-11 RN/LPN,Five Points Health Care,Jacksonville,FL,Job Specifications RN/LPN Eligibility Factors Florida Licensed Practical Nurse (LPN) or Registered Nurse (RN) license in good standing is required.,30.32967,-81.65385,http://www.indeed.com/viewjob?jk=7be55118d296688e&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJO7YeerMG7p4ijM4TvJCUCoflFiJ8gC7l5lDXrqHSqyqSgI0RAYOdZ4uOwv8qrnPYiUqvqeE58FHcDdIdkG6eEQ&indpubnum=336274463762899&atk=1b2n6vqlsaurrbmb,"Job Specifications
"
6,RN Weekend Supervisor - Skilled Nursing Facility,Five Points Health Care,Jacksonville,FL,Job Specifications RN Weekend Supervisor Eligibility Factors Florida Licensed Practical Nurse (LPN) or Registered Nurse (RN) license in good standing is,30.32967,-81.65385,http://www.indeed.com/viewjob?jk=114892474d81f01c&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJO7YeerMG7p4ijM4TvJCUCoflFiJ8gC7l5lDXrqHSqyqSgI0RAYOdZ4uOwv8qrnPYiUqvqeE58FHcDdIdkG6eEQ&indpubnum=336274463762899&atk=1b2n6vqlsaurrbmb,"Job Specifications
"
7,Forensic Investigator II,Harris County,Houston,TX,"Bachelor of Arts/Science degree from an accredited college or university in Criminal Justice, Forensic Science, Anthropology, Biological Sciences, or an...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=b98743c25d515d9b&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJOuA73_2-BgLDjEDWz0Iud1ngn8Us6m3qAv99wSGO6ipw0jnMc08c8p6qqD4c4IAAY40X9RqMmoWy146cYiCabl&indpubnum=336274463762899&atk=1b2n6vvvsaurr9qe,"The Forensic Investigator responds to death scenes to document, recover and identify human remains, and collect and preserve physical and biological evidence.
Answers and records death calls and prepares written and verbal reports in accordance with Sec.49.25 Texas Code of Criminal Procedures.
Consults other HCIFS Divisions (i.e. photography, trace) as requested or required by the circumstances of a case.
Responds to death scenes to document, recover and identify human remains, and collect and preserve physical and biological evidence.
While on scene, responsible for directing Forensic Investigator Assistants in helping with manipulation of the decedent, property collection, and evidence collection at scenes.
Locates and notifies family of death, responds to inquiries from families and law enforcement agencies, and provides for complete transition of information from shift to shift and team to team.
Prepares and submits to all designated parties reports covering operations and jurisdictions.
Supervises the admission and release of bodies to ensure procedural compliance, protects the integrity of specimens and evidence, and ensures proper identification and storage.
This includes supervision of Forensic Investigator Assistants both at scenes and in the office.
Coordination with Forensic Investigator Assistants and Forensic Investigators III for scene response and decedent recovery from hospitals/scenes.
Testifies in court proceedings regarding investigation, observations, and documentation procedures at the scene. Notifies the Supervisor, Director or Forensic Investigations and Emergency Management, and/or Assistant Deputy Chief Medical Examiner(s) of special problems or interests.
Performs other duties as assigned by the Supervisor, Director of Forensic Investigations and Emergency Management and/or Assistant Deputy Chief Medical Examiner(s). Work Environment and Other Considerations
Work involves possible exposure to unusual elements, such as extreme temperatures, dirt, dust, fumes, smoke, unpleasant odors, and/or loud noises.
May come in contact with blood and/or blood borne pathogens.
Will require training in Universal Precautions.

Requirements:

Bachelor of Arts/Science degree from an accredited college or university in Criminal Justice, Forensic Science, Anthropology, Biological Sciences, or an equivalent field.
Knowledge of crime scene investigation, photography, fingerprints and basic human anatomy.
Good written and oral communication skills.
Effective organizational and time management skills are all essential to satisfactory job performance.
Basic computer skills including computer systems using Microsoft Office and standard applications.
Ability to work independently with minimal supervision, prioritizing and handling multiple tasks simultaneously.
A valid driver's license (Texas within two weeks of employment) Additional Requirements
Natural ambulation and manual dexterity are required due to the essential physical demands of manipulating bodies as part of the investigation and in loading/unloading bodies. This also includes:
Ability to climb stairs, industrial and commercial structures.
Ability to board ships
Ability to spend whatever time necessary on one's feet to investigate and/or recover human remains.
Preferences:

Experience (previous employment or internships) in a medical examiner's office.
Previous exposure to human remains at some point during schooling or prior work experience.
Current registry (diplomat) level certification by the American Board of Medicolegal Death Investigators (AMBDI).
Graduate degrees in a related field (masters level included).

General Information:


HOURS: 40 hours per Week in a 24-Hour Environment.

Days, Evenings, Nights, Weekends and/or Holidays.


SALARY: Will Be Discussed During Departmental Interview

Based on 26 Pay Periods


""A large volume of applications may cause this posting to close prior to ""advertised to"" date"""
8,Cultural Resources Lead,GAI Consultants,Houston,TX,"Or higher in Anthropology, Archaeology, Historic Preservation, or related field. Transforming ideas into reality since 1958, GAI is an employee-owned...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=182dc0e3cb50471c&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJOuA73_2-BgLDjEDWz0Iud1ngn8Us6m3qAv99wSGO6ipw0jnMc08c8p6qqD4c4IAAY40X9RqMmoWy146cYiCabl&indpubnum=336274463762899&atk=1b2n6vvvsaurr9qe,"Transforming ideas into reality since 1958, GAI is an employee-owned engineering and environmental consulting firm. We provide local expertise to worldwide clients in the energy, transportation, development, government, and industrial markets. We believe in community involvement and are committed to corporate responsibility including recycling and eco-friendly practices.


We are seeking a cultural resources lead. A successful candidate will work on various projects, including natural gas pipelines and facilities, natural gas well pads and impoundments, overhead transmission lines and facilities, and Federal-Aid highway undertakings. This position will also require business development duties within various disciplines, including cultural resource management and environmental compliance.


Essential Duties and Responsibilities:

Providing management and technical oversight of various cultural tasks, including archaeological investigations and reporting.
Consultation with various State Historic Preservation Offices on behalf of our clients in fulfillment of compliance requirements under Section 106 of the National Historic Preservation Act (NHPA).
Be aware of regulation changes and agency protocols and requirements.
Hold project review meetings.
Attend client marketing and project review meetings.
Develop work plans and work closely with the Cultural Resources Group Manager.
Conduct field investigations.

Qualifications


1. Master’s Degree (i.e., M.A., M.S., etc.) or higher in Anthropology, Archaeology, Historic Preservation, or related field.


2. Proven Business Development Skills


3. Minimum of 10 years of Cultural Resources Management (CRM) experience


4. Meet Professional Qualification requirements of the Secretary of the Interior Standards under 36CFR61


5. Proficiency of all aspects of compliance procedures under Section 106 of the NHPA


6. Knowledge of Federal Agency implementation protocols for Section 106 compliance


7. Excellent mentoring, communication, and writing skills


8. Preparation of request for proposals, work plans, and change orders.


9. Ability to work independently


10. Ability to qualify as a principal investigator on state, county, and federal undertakings in the Southwest Region


The following is strongly preferred:


1. Knowledge of varied permitting requirements under the National Environmental Policy Act

2. Experience consulting with federally recognized tribal organizations


3. Three plus years of management experience

1. Master’s Degree (i.e., M.A., M.S., etc.) or higher in Anthropology, Archaeology, Historic Preservation, or related field.


2. Proven Business Development Skills


3. Minimum of 10 years of Cultural Resources Management (CRM) experience


4. Meet Professional Qualification requirements of the Secretary of the Interior Standards under 36CFR61


5. Proficiency of all aspects of compliance procedures under Section 106 of the NHPA


6. Knowledge of Federal Agency implementation protocols for Section 106 compliance


7. Excellent mentoring, communication, and writing skills


8. Preparation of request for proposals, work plans, and change orders.


9. Ability to work independently


10. Ability to qualify as a principal investigator on state, county, and federal undertakings in the Southwest Region


Physical Demands and/or Other Job Information (if applicable):"
9,Customer Service Information Specialist,Gene By Gene,Houston,TX,"Strong Preference for BA/BS (or in progress) in a related field, such as Biology, Genealogy, Jewish Studies, Anthropology, History, or other Social Science....",29.8141,-95.3939,http://www.indeed.com/viewjob?jk=4eb66aed0c2bc776&qd=1vHU8bY0zJlP3i697aWcB0UJmQJ8xo-5-P4qU6CXrJOuA73_2-BgLDjEDWz0Iud1ngn8Us6m3qAv99wSGO6ipw0jnMc08c8p6qqD4c4IAAY40X9RqMmoWy146cYiCabl&indpubnum=336274463762899&atk=1b2n6vvvsaurr9qe,"Position

Customer Service Information Specialist

Location

Corporate Headquarters - Houston, TX

Company Overview

Gene By Gene, LTD. is a CAP/CLIA certified, Houston based laboratory, providing genetic testing utilizing cutting edge technology. With services in a variety of different areas, including ancestry/genealogy, clinical gene sequencing, whole exome & genome sequencing, and consumer genetics, Gene By Gene has a rapidly growing product portfolio and market presence.

Within their clinical product portfolio, Gene by Gene is currently developing a new genetic carrier screening test targeted for use in the preconception and prenatal market.

Job Description

As a part of our team, you will help people to understand what tests they should take, as well as aid them in understanding what their results mean. You will help place orders, follow up on test progress, solve problems, and interpret results. Most of your day is spent with a dynamic team, helping each other help the customer. The right candidate will find ample opportunities within Family Tree DNA for career building.

The ideal candidate will be able to:
Provide Customer Service by answering phones, emails, and web chat with live customers.
Provide timely and accurate information to customers regarding ordering, status requests, and product questions
Have a clear understanding of the importance of process and ability to follow directions
Maintain a minimum number of email responses and phone calls per week
Think critically and troubleshoot customer problems
Clear understanding of all products/tests to help customers in purchase decisions
Empathize with irritated customers and recognize when to forward a customer to a supervisor
Have a strong customer orientation with excellent interpersonal and communication skills
Have strong time management skills
Must be able to type 35 wpm
Work with accounting process to resolve disputed credit items, refunds, etc.
Clear understanding of how a kit is processed * from order to results (including shipping, lab, and IT)
Ability to follow basic procedures and policies as outlined in training and other sources
Learn basic genealogy interpretation as it relates to DNA testing
Perform other related duties as assigned
Candidates with a BA/BS (or in progress) in a related field, such as Biology, Genealogy, Jewish Studies, Anthropology, History, or other Social Science, will be given preference.
Essential Skills / Experience

Bachelor's Degree in Biological and Social Sciences
Strong customer orientation/empathy
Excellent interpersonal and communication skills
High performance and a strong team player
Commitment to company values
Computer proficiency with Microsoft Word and user level with databases
Education

Strong Preference for BA/BS (or in progress) in a related field, such as Biology, Genealogy, Jewish Studies, Anthropology, History, or other Social Science

VentureLoop: Connect with Startups. Get in the Loop.
Find jobs at top startups backed by top venture capital firms.
http://www.ventureloop.com"
