,job title,job summary,label
0,Deaf Education Interpreter (Student Services),"Location: Student Services (Student Services)
Full Time Position (1.0 FTE)

Position Summary:
Provides interpreting and other support services to hearing-impaired students. Facilitates communication among hearing-impaired students and their hearing peers, the classroom teacher, and other personnel in the school system. Provides interpreting and note taking.

MINIMUM REQUIREMENTS:

High school diploma or equivalent
Valid Alaska Driver's License
Certification by Registration of Interpreters for the Deaf (RID)
One year interpreting experience

Knowledge of:

Principles and practices of deaf education.
American Sign Language, Pidgin Sign English, Signing Exact English, Deaf Culture.
Assistive devices for the hearing impaired such as TTY.
Principles of K-12 education.

Ability to:

Instruct the hearing impaired in sign language.
Train the hearing impaired in the use of assistive devices.
Provide tutoring in content areas.

PREFERRED REQUIREMENTS:

Associate degree in Deaf Education
Completion of interpreter preparation program

Compensation: This is a full time 9-month position, working 37.5 hours per week, with a starting salary of $22.84 per hour. We offer an excellent benefit package including medical, dental, vision, the Public Employees Retirement System (PERS) plan, and paid time off.
Selected hire will be fingerprinted at applicant's expense and fingerprints forwarded to the Alaska State Troopers and the FBI for a records check.

Please visit our website at www.juneauschools.org/hr to complete an electronic application.",services
1,Van Driver Part Time,"REQUIRMENTS
",services
2,Van Driver Part Time,"REQUIRMENTS
",services
3,Driver NON CDL,"JobTitle: Non-CDL Box Truck Driver
Department: ARS Fairbanks/Anchorage/Kodiak
Reportsto: ARS Terminal Manager

FLSA Status: Non-Exempt

Summary:
Assistsin loading and completes pick up and delivery of freight to various customerlocations within the local areas. Other duties as assigned including but notlimited to loading and unloading of Household Goods. WorkSchedule:
Asassigned by the supervisor. Work schedules may vary Monday through Friday. Workstart times may vary to meet customer demands. The necessity for workingovertime hours may occur.
EssentialDuties and Responsibilities: Operates vehicles in compliance with local and state traffic codes/laws and company procedures. Maintains a professional attitude with customers, co-workers and motoring public. Strictly observes work schedules and specific delivery requirements set forth by American Fast Freight and their customers. Performs pre-trip inspections on all vehicles he/she operates and insures any necessary repairs are completed according to state and federal regulations prior to leaving the terminal. Insures load is properly stowed and secured to prevent shifting or damage due to shifting during transit to the delivery location. Uses proper equipment for loading/unloading of freight to prevent damage to product or injury from strain, etc. Knowledge to install and remove tire chains.

Experience:
Must be at least 21 years of age Must possess a good driving record Must be able to lift at least 75 lbs. Must have 1years box truck driving experienc e Mustbe able to pass Pre-Employment physical , drug Screening & background check
LanguageSkills: Employee must have the ability to read and write the English language. Read and understand traffic signs and controls in accordance with FHWA regulations. Have the ability to complete appropriate paper work in accordance with company and regulatory agency requirements. Have the ability to effectively communicate and present information and respond to questions from management, customers and the general public.

ReasoningAbilities:
Employee must have the ability to solvepractical problems and deal with a variety of traffic and customer situationsin a professional fashion. He/she must know how to communicate via telephone orradio to dispatch for instruction and or guidance.
Certificates,licenses: Employee must maintain a valid driverÂs license. Current DMV report. Able to obtain an ICC Medical Card

PhysicalDemands:
Thephysical demands described here are representative of those that must be met byan employee to successfully perform the essential functions of this job. Whileperforming the duties of this job, the employee is regularly required to: Stand, walk, sit, reach with hands and arms, and talk and hear. Lift and or move up to 75 pounds and occasionally carry feet. Work in extreme weather conditions, with temperature variances from + 80 degrees Fahrenheit to - 50 degrees Fahrenheit throughout the course of a season. Have the ability for close vision, color vision and the ability to focus, with the aid of glasses, contacts, in needed.

WorkEnvironment and Environmental Conditions:
Thework environment characteristics described here are representative of those andemployee encounters while performing the essential functions of this job. Continual heavy traffic conditions Time sensitive delivery requirements Low to moderate noise levels Customer service demands Extreme weather conditions, i.e., Snow, Ice, Rain and Dust.",services
4,Driver Class A,"Job Title: Truck Driver (Local Delivery)
Department: LTL/Full load
Reports to: Dispatch

Summary:
Assists inloading and completes pick up and delivery of freight to various customerlocations within the local areas. Other duties as assigned including but notlimited to loading and unloading of inbound cargo.

WorkSchedule:
As assignedby the dispatch supervisor. Work schedules may vary Sunday through Friday. Workstart times may vary to meet customer demands. The necessity for workingovertime hours may occur.
Essential Duties andResponsibilities: Operates vehicles in compliance with local and state traffic codes/laws and company procedures. Maintains a professional attitude with customers, co-workers and motoring public. Strictly observes work schedules and specific delivery requirements set forth by American Fast Freight and their customers. Performs pre-trip inspections on all vehicles he/she operates and insures any necessary repairs are completed according to state and federal regulations prior to leaving the terminal. Insures load is properly stowed and secured to prevent shifting or damage due to shifting during transit to the delivery location. Examines shipping documents to verify they have all shipments loaded and determine if haz-mat is present it is properly segregated/separated and vehicle is properly placarded in required. Uses proper equipment for loading/unloading of freight to prevent damage to product or injury from strain, etc. Knowledge to install and remove single and triple rail tire chains.

Experience:
Minimum of(1) year driving of assigned trucks, semi-truck/trailers in a localenvironment. Minimum of (1) year withcontinuous doubles driving experience.

LanguageSkills: Employee must have the ability to read and write the English language. Read and understand traffic signs and controls in accordance with FHWA regulations. Have the ability to complete bills of ladings, pre-trip inspection forms and load manifests inaccordance with company and regulatory agency requirements. Have the ability to effectively communicate and present information and respond to questionsfrom management, customers and the general public.

ReasoningAbilities: Employee must have the ability to solve practical problems and deal with a variety of traffic and customer situations in a professional fashion. He/she must know how to communicate via telephone or radio to dispatch for instruction and or guidance.

Certificates,licenses: Employee must maintain a valid CDL for the size of vehicle that will be operated, including a valid doubles certification (LLCMV). Maintain a DOT physical and furnish a legible copy of CDL and long form physical, current DMV report and Certificate of current Haz-mat training obtained within the past three years. Have endorsements on their CDL to perform duties of the job.

PhysicalDemands:
The physicaldemands described here are representative of those that must be met by anemployee to successfully perform the essential functions of this job. Whileperforming the duties of this job, the employee is regularly required to: Stand, walk, sit, reach with hands and arms, and talk and hear. Lift and or move up to (70) pounds and occasionally carry (50) pounds up to (30) feet. Move with the aid of a pallet jack, loads in excess of (2500) pounds the length of the delivery van and to locations designated by the customer at the delivery location. Move with the aid of a hand truck, loads with boxes stacked 10-15 high, weighing in excess of (100) pounds the length of the delivery van and to locations designated by the customer at the delivery location. Work in extreme weather conditions, with temperature variances from + 80 degrees Fahrenheit to - 50 degrees Fahrenheit throughout the course of a season. Have the ability for close vision, color vision and the ability to focus, with the aid of glasses, contacts, in needed.

WorkEnvironment and Environmental Conditions:
The workenvironment characteristics described here are representative of those andemployee encounters while performing the essential functions of this job. Continual heavy traffic conditions Time sensitive delivery requirements Low to moderate noise levels Customer service demands Extreme weather conditions, i.e., Snow, Ice, Rain and Dust.",services
5,REGISTERED NURSE SUPERVISOR,".


OCCUPATION PROFILE


JOB FAMILY: HEALTHCARE PRACTITIONERS


OCCUPATIONAL GROUP: DIAGNOSING & TREATMENT PRACTITION, HLTH


OCCUPATION: REGISTERED NURSES


BROADBAND LEVEL CODE: 29-1141


BROADBAND LEVELS: Level 1 â Pay Band 006


Level 2 â Pay Band 008


Level 3 â Pay Band 009


Level 4 â Pay Band 010


REQUIREMENTS


This supervisory position provides professional nursing services in the care and treatment of patients within a DOH-Duval health care center. Works under the supervision of and professional guidance of the Executive Community Health Nursing Director. This position supervises a team of Health Service Technicians and Registered Nurses providing treatment, care, health education and triage to women of child bearing age, pregnant women and children from infants to age 18 years. Will also be required to cover other Duval DOH clinics in the absence of the assigned supervisor in that area.


Must have a valid Florida Registered Nurse license.


Must have at least on year experience working with children in a medical setting.


Must have at least one year of experience drawing blood from adults and children.


Must have experience working with underprivileged individuals.


Must have experience working in an environment with multiple medical providers seeing patients.


Bilingual in English/Spanish is preferred.


All applications must be completed online through People First. No faxed or mailed applications will be accepted by the agency.


**NOTE: All responses provided to the qualifying questions for this vacancy advertisement must be verifiable on your State of Florida, Employment Application. **


This position requires a security background check, drug screening and participation in direct deposit.


Note: You will be required to provide your Social Security Number (SSN) in order to conduct this background check.


Male applicants born on or after October 1, 1962, will not be eligible for hire or promotion unless they are registered with the Selective Services System (SSS) before their 26th birthday, or have a Letter of Registration Exemption from the SSS. For more information, please visit the SSS website: http://www.sss.gov


If you are a retiree of the Florida Retirement System (FRS), please check with the FRS on how your current benefits will be affected if you are re-employed with the State of Florida. Your current retirement benefits may be canceled, suspended or deemed ineligible depending upon the date of your retirement.


The successful candidate will be required to complete the Form I-9 and that information will be verified using the E-Verify system. E-Verify is operated by the Department of Homeland Security in partnership with the Social Security Administration to verify employment eligibility.


Incumbents may be required to perform emergency duty before, during, and/or beyond normal work hours or days.


EXAMPLES OF WORK


Supervises employees by assigning work, reviewing progress and assessing performance.


Responds to special directions and instructions during emergency operations.


Provides health care, first aid, and immunization.


Observes patient's skin color, dilation of pupils, and computerized equipment to monitor vital signs.


Records patient's medical information and vital signs.


Administers local, inhalation, intravenous, and other anesthetics.


Prepares patients for and assists with and/or performs examinations.


Orders, conducts, interprets, and/or evaluates diagnostic tests to identify and assess patient's condition.


Prepares rooms, sterile instruments, equipment and supplies, and assists physician.


Prescribes or recommends drugs or other forms of treatment, such as physical therapy, inhalation therapy, or related therapeutic procedures.


Provides prenatal and postnatal care to obstetrical patients under supervision of physician.


Discusses cases with physician.


Informs physician of patient's condition.


Administers stipulated emergency measures, and contacts clinician when deviations from standard are encountered during pregnancy or delivery.


Consults with and/or provides technical assistance to public and private entities concerning health care.


Instructs on topics, such as health education, disease prevention, child birth, and home nursing and develops health improvement programs.


Delivers infants and performs postpartum examinations and treatment.


Refers students or patients to community agencies furnishing assistance and collaborates with agencies.


Conducts specified laboratory tests.


Maintains stock of supplies.


Directs and coordinates health care programs.


Develops, negotiates and implements public/private partnerships.


Performs grant writing and/or contract management activities.


Conducts inspections or programmatic evaluations and writes reports of findings, recommendations and corrective actions.


Monitors the quality of care or standards of practice to ensure compliance with state and federal requirements.


Develops policies, procedures, rules and/or legislation.


Develops or selects curriculum and prepares pamphlets, manuals, visual aids, course outlines, and other materials used in teaching.


Writes research reports and other publications to document and communicate program activities or research findings.


Prepares and justifies budgets for health care programs/services. Monitors, analyzes and coordinates expenditures within allocation.


EXAMPLES OF JOB CHARACTERISTICS


Monitor Processes, Material, Surroundings


Monitoring and reviewing information from materials, events, or the environment, often to detect problems or to find out when things are finished.


Documenting/Recording Information


Entering, transcribing, recording, storing, or maintaining information in either written form or electronic/magnetic recording.


Communicating With Other Workers


Providing information to supervisors, fellow workers, and subordinates. This information can be exchanged face-to-face, in writing, or via telephone/electronic transfer.


Getting Information Needed to Do the Job


Observing, receiving, and otherwise obtaining information from all relevant sources.


Assisting and Caring for Others


Providing assistance or personal care to others.


Updating and Using Job-Relevant Knowledge


Keeping up-to-date technically and knowing one's own jobs' and related jobs' functions.


Establishing and Maintaining Relationships


Developing constructive and cooperative working relationships with others.


Performing General Physical Activities


Performing physical activities that require moving one's whole body, such as in climbing, lifting, balancing, walking, stooping, where the activities often also require considerable use of the arms and legs, such as in the physical handling of materials.


Making Decisions and Solving Problems


Combining, evaluating, and reasoning with information and data to make decisions and solve problems. These processes involve making decisions about the relative importance of information and choosing the best solution.


Identifying Objects, Actions, and Events


Identifying information received by making estimates or categorizations, recognizing differences or similarities, or sensing changes in circumstances or events.


EXAMPLES OF KNOWLEDGE, SKILLS AND ABILITIES


Speaking


Talking to others to effectively convey information


Service Orientation


Actively looking for ways to help people


Social Perceptiveness


Being aware of others' reactions and understanding why they react the way they do


Judgment and Decision Making


Weighing the relative costs and benefits of a potential action


Reading Comprehension


Understanding written sentences and paragraphs in work related documents


Coordination


Adjusting actions in relation to others' actions


Management of Personnel Resources


Motivating, developing, and directing people as they work, identifying the best people for the job


Critical Thinking


Using logic and analysis to identify the strengths and weaknesses of different approaches


Active Listening


Listening to what other people are saying and asking questions as appropriate


Problem Identification


Identifying the nature of problems


Writing


Communicating effectively with others in writing as indicated by the needs of the audience


Mathematics


Using mathematics to solve problems


Problem Identification


Identifying the nature of problems


Medicine and Dentistry


Knowledge of the information and techniques needed to diagnose and treat injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures


Biology


Knowledge of plant and animal living tissue, cells, organisms, and entities, including their functions, interdependencies, and interactions with each other and the environment


Customer and Personal Service


Knowledge of principles and processes for providing customer and personal services including needs assessment techniques, quality service standards, alternative delivery systems, and customer satisfaction evaluation techniques


Chemistry


Knowledge of the composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods


Therapy and Counseling


Knowledge of information and techniques needed to rehabilitate physical and mental ailments and to provide career guidance including alternative treatments, rehabilitation equipment and its proper use, and methods to evaluate treatment effects


English Language


Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar


Education and Training


Knowledge of instructional methods and training techniques including curriculum design principles, learning theory, group and individual teaching techniques, design of individual development plans, and test design principles


Psychology


Knowledge of human behavior and performance, mental processes, psychological research methods, and the assessment and treatment of behavioral and affective disorders


Administration and Management


Knowledge of principles and processes involved in business and organizational planning, coordination, and execution. This may include strategic planning, resource allocation, manpower modeling, leadership techniques, and production methods


Communications and Media


Knowledge of media production, communication, and dissemination techniques and methods including alternative ways to inform and entertain via written, oral, and visual media


Computer


Knowledge of computer software including applications


Mathematics


Knowledge of numbers, their operations, and interrelationships including one or more of the following: arithmetic, algebra, geometry, calculus, statistics, and their applications


The State of Florida is an Equal Opportunity Employer/Affirmative Action Employer and does not tolerate discrimination or violence in the workplace.


Applicants requiring a reasonable accommodation, as defined by the Americans with Disabilities Act, must notify the agency hiring authority and/or People First Service Center (1-877-562-7287). Notification to the hiring authority must be made in advance to allow sufficient time to provide the accommodation.


The State of Florida supports a Drug-Free workplace. All employees are subject to reasonable suspicion drug testing in accordance with Section 112.0455, F.S., Drug-Free Workplace Act.


VETERANSâ PREFERENCE DOCUMENTATION REQUIREMENTS HAVE RECENTLY CHANGED.
To obtain revised and updated information on Veteransâ Preference documentation requirements, click
here
.
Pursuant to Chapter 295, Florida Statutes, applicants eligible for Veteransâ Preference will receive preference in employment for Career Service vacancies and are encouraged to apply. However, applicants claiming Veteransâ Preference must attach supporting documentation with each application submission that includes character of service (for example, DD Form 214 Member Copy #4) along with any other documentation as required by Rule 55A-7, Florida Administrative Code. All documentation is due by the close of the vacancy announcement. Applicants may also fax their supporting documentation to People First at 1-888-403-2110.


LICENSURE, CERTIFICATION OR REGISTRATION REQUIREMENTS


This occupation requires licensure as a Registered Professional Nurse in accordance with Chapter 464, Florida Statutes and in accordance with Rule 64B9, Florida Administrative Code.


EFFECTIVE:
03/17/2003


History:


07/01/2002


01/02/2015 Code change from 29-1111",services
6,American Sign Language (ASL) Interpreter - PRN (BMC),"Job Summary:
Must be able to clearly and accurately interpret between target language and source language for caregivers and patients or companions who are deaf or hard of hearing. Must be able to assess the language of the user and accurately interpret in American Sign Language or English Sign Language.

Education/Degree Required:
High School Diploma

Degree Preferred:
Associate of Arts",services
7,American Sign Language (ASL) Interpreter - PRN Nights & Weekends (BMC),"Job Summary:
Must be able to clearly and accurately interpret between target language and source language for caregivers and patients or companions who are deaf or hard of hearing. Must be able to assess the language of the user and accurately interpret in American Sign Language or English Sign Language.

Education/Degree Required:
High School Diploma

Degree Preferred:
Associate of Arts",services
8,Recreation Therapist,"Under direction of a supervisor provides coordination and implementation of delinquency interventions as well as on-site and off-site therapeutic and recreational activities for the youth in the facility. Also acts as the facility restorative justice implementation manager. Works with youth to restore motor, social and cognitive functioning, build confidence, develop coping skills and integrate skills learned in treatment settings into community settings. Interventions modalities shall be used such as creative arts, sports, adventure programming, dance/movement and leisure education. Structured recreational therapy shall be provided during non-traditional hours, including weekends, to promote pro-social activities.
Role Responsibility:


â¢ Participates in implementing applicable youth performance and treatment planning by: (a) monitoring youthsâ progress; (b) communicating information regarding youthsâ participation and behavior to other members of treatment team; (c) maintains communication with youth; (c) facilitates didactic, educational, psycho-educational and community groups within the context of the youths delinquency and assigned therapeutic activity programming; (e) encourages and facilitates youthsâ participation in both therapeutic and recreation activities; (f) supervises youth to ensure their safety and involvement in treatment; (g) provides input for treatment team review processes.
â¢ Coordinates program delinquency services intervention programming.
â¢ Conducts delinquency intervention groups in accordance with contractual requirements.
â¢ Maintains assigned youth, group, program, department and related documentation.
â¢ Plans, develops and promotes facility wide program of physical fitness and recreational activities.
â¢ Plans, develops and promotes therapeutic activities in coordination with and under the direction of the Clinical Director.
â¢ Plans, develops and promotes program designed to promote cultural diversity and activities.
â¢ Participates in maintaining the therapeutic milieu on the unit, enforces the positive performance system.
â¢ Orients new youth to unit, delinquency services programming, as well as therapeutic and recreational activities.
â¢ Maintains a safe, orderly, and therapeutic physical environment for youth while participating in both therapeutic and recreational activities.
â¢ Assists youth in carrying out activities of daily living, when congruent with the youthsâ treatment plan and needs, age, and developmental level.
â¢ Participates in developing professional knowledge and skills.
â¢ Supports the facilityâs favorable public image.
â¢ Complies with applicable standards of conduct and regulations governing delivery of services.
â¢ Maintains attendance and punctuality.
â¢ Implements off-site activities for assigned program.
â¢ Responsible for impact of crime curriculum and restorative justice activities within the program.
â¢ Advises facility administrator on restorative justice implementation within the program.
â¢ Provides or assists in provision of restorative justice training for program staff.
â¢ Assists Facility Administrator in prompting restorative justice through community partnerships and coordination of community work activities.
â¢ Performs other duties as assigned by supervisor.

The Ideal Candidate: 

Education, Licenses and Certifications Required
â¢ Bachelorâs degree in Physical Education, Recreation or related field is required.
â¢ One (1) year of experience as a Recreational Therapist is preferred.
â¢ National Council for Therapeutic Recreation Certification (NCTRC) is preferred.
Other Requirements:
â¢ Must be 21 years of age or older.
â¢ Appointees will be required to possess a driver's license valid in the state where the work site is located only if the operation of a vehicle, rather than employee mobility, is necessary to perform the essential duties of the position.


Type and Length of Specific Experience Required
One (1) year of experience as a Recreational Therapist is preferred.
â¢ National Council for Therapeutic Recreation Certification (NCTRC) is preferred. 

Skills Required
â¢ Knowledge of the methodology involved in planning, promoting, developing, and supervising a recreation program.
â¢ Knowledge of the problems encountered in planning, promoting, developing, and supervising a recreation program.
â¢ Ability to organize, develop, and coordinate a recreation program.
â¢ Knowledge of the problems involved in the leadership of several broad types of recreation activities.
â¢ Ability to demonstrate, lead, and participate in several broad types of recreational activities.
â¢ Ability to promote and organize recreation programs.
â¢ Trained in delinquency services programming.
â¢ Trained and proficient in group facilitation skills.
â¢ Ability to give individualized instructions to participants.
â¢ Ability to enforce safety precautions and give first aid.
â¢ Ability to establish and maintain good working relationships with participants, associates and the public.
â¢ Ability to learn to utilize various types of electronic and/or manual recording and information systems used by the agency, office, or related units.
â¢ Ability to read, write, speak, understand, or communicate in English sufficiently to perform the duties of this position. American Sign Language or Braille may also be considered as acceptable forms of communication.
â¢ Ability to work with a variety of behaviors.
â¢ Ability to tolerate verbal and mental abuse while maintaining a professional demeanor.
â¢ Ability to perform appropriate crisis intervention involving student behavior, including physically breaking up fights in the classroom.
â¢ Ability to complete pre-service and annual in-service CPR and first aid certification training and self-defense and physical intervention training.
â¢ Ability to pass drug and TB screening and testing.
â¢ Ability to work under pressure; meet inflexible deadlines; set priorities; deal diplomatically with difficult individuals; and supervise others; ability to manage multiple programs; lead management teams and work independently. Adherence to the highest ethical standards essential. 

Physical Requirements and Environment
â¢ Talking: Ability to express and exchange ideas via spoken word during activities in which they must convey details or important spoken instructions to others accurately, sometimes quickly and loudly. Hearing and Vision: Ability to perceive the nature of sounds with no less than 40 dB loss at Hz, 1000 Hz and 2000 Hz with or without correction. Ability to receive detailed information through oral communication. Work requires a minimum standard of visual acuity with or without correction that will enable employees to complete clerical tasks, and observe youth. Dexterity: Ability to stoop, kneel, crouch, reach, push, pull, lift, grasp, and be able to perceive the attributes of an object such as size, shape, and temperature. Movements frequently and regularly required using wrists, hands and/or fingers. Physical Strength: Ability to exert up to 100 pounds of force occasionally. Position is mostly standing and employee must be able to physically perform escalation matrix as defined in Protective Action Response. This may include, but is not limited to all countermoves and restraint techniques. Employee may be subject to temperature changes, but the employee is not substantially exposed to adverse environmental conditions as the work is predominantly inside. Language: Ability to write complex sentences, using proper punctuation, and ability to communicate in complex sentences using normal word order with present and past tenses. Processing and Reasoning: Ability to exercise self-control in potentially volatile situations such as in verbal and physical confrontations. Must be able to work and concentrate amidst distractions and noise. Ability to assist youth with problem solving and maintaining self-control in volatile situations.
â¢ The work environment characteristics described are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this position the employee is occasionally exposed to outside weather conditions as they relate to travel. Work environment may involve exposure to noise, dust, fumes, dangerous machinery, chemicals, body fluids, falling objects, and aggressive verbal and physical behavior from students and weather and temperature extremes.
â¢ Persons with mental or physical disabilities are eligible as long as they can perform the essential functions of the job after reasonable accommodation is made to their known limitations. If the accommodation cannot be made because it would cause the company undue hardship, such persons may not be eligible.


EOE Minority/Female/Disabled/Veteran/Sexual Orientation/Gender Identity
G4S Youth Services, LLC is an Equal Opportunity Employer and a Drug Free Workplace.",services
9,American Sign Language (ASL) Interpreter - PRN Nights & Weekends,"Must be able to clearly and accurately interpret between target language and source language for caregivers and patients or companions who are deaf or hard of hearing. Must be able to assess the language of the user and accurately interpret in American Sign Language or English Sign Language.


Education/Degree Required:


High School Diploma


Degree Preferred:


Associate of Arts


This is a PRN position.


Shifts and schedule may vary based on need of department(s).


There are no guaranteed hours per pay period.",services
