,Job title,company,city,state,education level/skills required / responsibilities,longitude,latitude,url,job summary
0,Lab Lecturer,University of North Florida,Jacksonville,FL,An ability and interest in teaching Astronomy Lab or Earth Science Lab courses is desirable. The Department of Physics at the University of North Florida is now...,30.32967,-81.65385,http://www.indeed.com/viewjob?jk=f8eda1edcd75fa8b&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s9e_t9aBmwJmrPX0lC339zpq0rl-mUwpcpWoltt5-T698e7AeS5FJiuuclpbRBhaXcep6I5-twM7jC8td-9rGTG&indpubnum=336274463762899&atk=1b2n7m1te18i17kl,"The Department of Physics at the University of North Florida is now accepting applications for a permanent, 12-month non-tenure track, Laboratory Lecturer of Physics faculty position in the Department of Physics to begin in August 2017. Responsibilities include teaching and prepping undergraduate Physics Laboratory courses, and lecturing Physics courses as needed. An ability and interest in teaching Astronomy Lab or Earth Science Lab courses is desirable. The successful candidate is also expected to contribute service to the university and to the profession. The ideal candidate will have previous, documented experience in teaching undergraduate laboratory courses in Physics. The successful candidate must demonstrate the commitment and capability to provide an excellent learning environment to students and to contribute to the continuing development of Physics Laboratory course experiments.


Statement(s) of Understanding

UNF is a Carnegie Community Engaged Institution. This designation celebrates the University's collaboration with community partners from the local to the global level. It reflects UNF's mission to contribute to the public good and prepare educated, engaged citizens.


Required Qualifications

Applicants must have a minimum of a Masters degree in Physics or closely-related field, or its equivalent.


A pre-employment background check is performed on candidates selected for employment.


Preferred Qualifications

Preference will be given to candidates with some laboratory management experience."
1,Instructional Assistant Professor,University of Houston,Houston,TX,"Preference will be given to candidates with experience teaching undergraduate physics or astronomy using research-based methods, in physics education research,...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=2ec64d34d7547ff4&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s_mHbJfpXOs64BXqC8hFxYOjddqaxwpDv5LIOn2sYgdN6fSbCeHhL1GlPhSD0G3mLODBfhE8IgzO_q_LQgY-_NZ&indpubnum=336274463762899&atk=1b2n7m35cagpmf8s,"The Department of Physics at the University of Houston seeks applicants for an Instructional Assistant Professor position beginning in the fall semester of 2017. Candidates must have a Ph.D. in Physics and strong communication skills. Preference will be given to candidates with experience teaching undergraduate physics or astronomy using research-based methods, in physics education research, and/or in undergraduate curriculum development.


Instructional Faculty ranks mirror the normal tenure-track ranks and the salary is offered on a 9-month basis. The successful applicant will be expected to teach three courses per semester; summer teaching may be available but is not required. Instructional Faculty are eligible to draw a summer salary from other sources such as research funds should they be available, and Instructional Faculty members are allowed to submit funding proposals to external agencies under their own name.


Applicants should submit (1) a detailed cover letter describing the applicant’s background and qualifications for the position, (2) a statement of philosophy, interest, and experience in teaching and research interests, (3) a full curriculum vitae, including a list of publications, and (4) arrange to have three letters of recommendation submitted.


The University of Houston is an Equal Opportunity/Affirmative Action employer. Minorities, women, veterans, and persons with disabilities are encouraged to apply. The University of Houston is a recipient of an NSF ADVANCE program. The University of Houston, with one of the most diverse student bodies in the nation, seeks to recruit and retain a diverse community of scholars.


Minimum Qualifications

Candidates must have a Ph.D. in Physics and strong communication skills.


Preferred Qualifications

Preference will be given to candidates with experience teaching undergraduate physics or astronomy using research-based methods, in physics education research, and/or in undergraduate curriculum development.


Special Instructions to the Applicant

Official transcripts are required for a faculty appointment and will be requested upon selection of final candidate.
All positions at the University of Houston are security sensitive and will require a criminal history check.


Desired Employee Start Date

09/01/2017


Posting Open Date

10/28/2016


Posting Close Date


Open Until Filled?

Yes"
2,Staff Tutor- English,"Link-Systems International, Inc.",Phoenix,AZ,"English, Spanish, Anthropology, Political Science / Civics, History, Psychology, Criminal Justice, Sociology, Mathematics, Statistics, Physics, Chemistry,...",33.447803,-112.07143,http://www.indeed.com/viewjob?jk=94492501a659125e&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s-X6m2ZZzrs7VO-CxC0VZ1JjddqaxwpDv5LIOn2sYgdN41az9G1Ryx7lWcsJ2KLr0SDBfhE8IgzO_q_LQgY-_NZ&indpubnum=336274463762899&atk=1b2n7m3orag4t9r3,"What do we look for in a tutor?Excellent communication skillsStrong academic background in the specific tutoring areasBachelor’s degree required with a minimum GPA of 3.0 in tutoring subjects. (Advanced degrees preferred)Ability to work from our office near the airport — No telecommuting or working-from-homeAbility to pass a rigorous subject-area exam.Patience in working with students for whom learning does not come easily.Responsible, dependable, and organized work habits.Flexible schedules and be able to work evenings, late nights, possible overnights, and weekends.What are the daily responsibilities of a NetTutor Tutor?Will work directly with high-school and college students over the Internet to provide assistance with homework and test preparation in. Additionally, tutors will be responsible for:Assisting students in solving problems using the Socratic Method and other pedagogical methodsProviding Guidance and encouragement while maintaining a positive attitudeFacilitating learning without lecturing the materialAssisting students in learning problem solving strategies and methods of studyingWhat subjects is NetTutor currently looking for?English, Spanish, Anthropology, Political Science / Civics, History, Psychology, Criminal Justice, Sociology, Mathematics, Statistics, Physics, Chemistry, Biology, Biochemistry, Geology, Earth Sciences, Computer Science, Information Technology, Accounting, Finance Business (management, marketing, etc.), Economics, Nursing, Astronomy, BiologyWho are we?Link-Systems International, Inc (LSI) is a market-leading, educational technology company whose student-centered suite of interoperable products and services is currently producing measurably better learning outcomes and increased retention rates in hundreds of K-12 schools, higher-ed institutions, and academic support organizations throughout the world.Founded in 1995 and based in Tampa, Florida, LSI has long been at the forefront of innovative online instructional resources development. We were the first educational technology company to offer a high-quality, one-on-one online tutoring service that covers virtually every subject area and can be accessed on an anytime/anywhere basis. We were the first to integrate into our online tutoring process a proprietary, state-of-the-art whiteboard specifically designed for online learning environments. And no other educational technology company has gone to greater lengths than LSI to ensure that its web-based applications can be easily integrated with one another and can operate compatibly with virtually every Learning Management System.NetTutor, the online tutoring services of LSI, uses an online collaborative software to tutor students throughout the united States, 24/7/365. We are currently looking for both part-time and full-time tutors for all disciplines! We offer competitive rates including a differential for bridge shift. Full-time employees are entitled to benefits.Job Type: Full-timeSalary: $13.00 /hourJob Location:Phoenix, AZRequired education:Bachelor's"
3,Assistant Professor of Astronomy and Astrophysics,University of Texas at Dallas,Richardson,TX,"In Physics or Astronomy plus postdoctoral experience in astronomy or astrophysics, including an established research record....",32.947803,-96.72527,http://www.indeed.com/viewjob?jk=1870fb65d855dcca&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s87UD3g4wJ9o2CQTLjdsqV4BOTf3n6zMGatUBSSnN-BRQApqp7ZGrX28YM3tLIDtKQ1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=336274463762899&atk=1b2n7m5h7a455fvq,"The Department of Physics within the School of Natural Sciences and Mathematics at The University of Texas at Dallas seeks applications for a tenure-track faculty position at the Assistant Professor level. While we are particularly interested in applicants working on theoretical, computational and observational planetary sciences, we also welcome applications from excellent candidates working on cosmological simulations and in other areas of computational astrophysics. The department presently has an active research group in cosmology, relativity, extragalactic astrophysics, weak and strong gravitational lensing, binary black holes, and gravitational waves, and the program aims to expand its research areas. The Physics Department also hosts the Space Science Center.


Assistant Professors are expected to have completed the terminal degree before they begin employment at the University and to have engaged in classroom instruction as well as creative productivity or professional achievement during their graduate education. Assistant Professors will teach graduate and/or undergraduate courses; work to develop a regional or national reputation in the discipline through creative productivity or professional achievement; and engage actively in the academic community through membership in governance bodies and committees, program planning and curricular development, and public service. They may engage in a mentoring relationship with a senior faculty member, will undergo a third-year review to determine their continuation on the tenure track, and may seek tenure no later than the sixth year of employment at the university. Faculty must demonstrate a commitment to teaching excellence, service, and active scholarship.


Minimum Education and Experience

Terminal degree in the academic discipline, and a record of creative productivity and professional achievements that evidence a high probability of success as a member of the faculty at the University.


Preferred Education and Experience

Ph.D. in Physics or Astronomy plus postdoctoral experience in astronomy or astrophysics, including an established research record.


Essential Duties and Responsibilities

Conduct research, write grant proposals, prepare publications and conference presentations.


Prepare and teach graduate and undergraduate courses in Physics and Astronomy; advise graduate and undergraduate students.


Engage in service to the Department, University, and Profession.


Additional Information


Special Instructions Summary

Interested applicants should submit their current curriculum vitae with a complete publication record, a detailed research plan, and a teaching plan detailing expected contributions to undergraduate and graduate programs. Samples of publications should be submitted online as writing samples or “other documents”. Four letters of recommendation are required. Review of application materials will begin December 15, 2016, and continue until the position is filled."
4,CGS - Outdoor Education,YMCA of Metropolitan Dallas,Dallas,TX,"Residential Outdoor Education at it's finest! Great perks package, excellent housing, enriching teaching environment, cosmic learning opportunities, hands on",32.782967,-96.8022,http://www.indeed.com/viewjob?jk=47795c01c10b7a3b&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s87UD3g4wJ9o2CQTLjdsqV4BOTf3n6zMGatUBSSnN-BRQApqp7ZGrX28YM3tLIDtKQ1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=336274463762899&atk=1b2n7m5h7a455fvq,"Residential Outdoor Education at it's finest! Great perks package, excellent housing, enriching teaching environment, cosmic learning opportunities, hands on outdoor instruction and meals while conducting programs.
"
5,Tenure Track Assistant Professor in Astronomy,University of Texas at Austin,Austin,TX,In Astronomy or Physics. Our Astronomy program benefits from the strong support of over 200 members of the McDonald Observatory and Department of Astronomy...,30.266483,-97.74176,http://www.indeed.com/viewjob?jk=24c0723d16464ff3&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s_Y67bNmqmcjyipt3n1wUlyjYQTM4_YsthfFyZWg62oIE0iREew1lzCqtKerNJjWGU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=336274463762899&atk=1b2n7m89dagpm987,"The Department of Astronomy at the University of Texas (UT) at Austin invites applications for two tenure-track faculty positions at the Assistant Professor level to begin in September 2017.
While we are particularly interested in applicants working on planetary systems science, star formation in the nearby Universe, stellar archeology, big data astronomy, and instrumentation, we welcome applications from excellent candidates in other fields of astronomy. We are open to both observational and theoretical styles of research. The search will be at a junior tenure-track level, but candidates at more senior ranks may be considered.


Qualifications

Applicants should have a Ph.D. in Astronomy or Physics. The primary selection criteria will be excellence and leadership in astrophysics research, as well as the ability to effectively teach and supervise undergraduate and graduate students. We particularly seek candidates who will lead transformational science with next-generation observational and computational facilities, creatively utilize the resources of the Astronomy department and McDonald Observatory, and contribute to diversity and equal opportunity in higher education through their research, teaching, and service.


Information on departmental resources and research programs can be found
here
.

The department is a major founding partner in the consortium for the next-generation Giant Magellan Telescope (
GMT
) scheduled to begin commissioning in 2023.
UT faculty members have access to McDonald Observatory, which hosts the upgraded 10-m Hobby-Eberly Telescope, 2.7-m, 2.1-m, and 0.8-m telescopes; and cutting-edge instrumentation, such as the VIRUS integral field unit and the Immersion Grating INfrared Spectrometer (IGRINS). The department provides vibrant collaborative opportunities on large astronomical surveys, including the Hobby-Eberly Telescope Dark Energy Experiment (HETDEX). Through its role as a node host, UT also has access to the Las Cumbres Observatory Global Telescope (LCOGT) network.
Computational resources include the Texas Advanced Computing Center (
TACC
) which designs and operates some of the world's most powerful computing resources, and is known for its leadership in High Performance Computing, Visualization, and Big Data Analytics.
Our Astronomy program benefits from the strong support of over 200 members of the McDonald Observatory and Department of Astronomy Board of Visitors.

Application Instructions

Submissions should include: a cover letter, a description of research accomplishments and current and future research plans (limited to 6 pages), a statement of teaching experience, goals, and philosophy, a Curriculum Vitae, and a list of publications. Candidates are also required to request three letters of recommendation using the Interfolio website, which will email the referees with instructions to directly upload their letters of recommendation.


Complete applications received by December 1, 2016 will be assured of full consideration.


For further information about the position, please contact the search committee at
search2016@astro.as.utexas.edu
or the Department Chair, Professor Shardha Jogee (chair@astro.as.utexas.edu)."
6,"Adjunct Faculty, Astronomy",Austin Community College,Austin,TX,"Instructs students in courses in the Astronomy discipline. Master's degree with a major in astronomy, physics or a related physical science or Master's degree...",30.266483,-97.74176,http://www.indeed.com/viewjob?jk=953f04f948dfda22&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s_Y67bNmqmcjyipt3n1wUlyjYQTM4_YsthfFyZWg62oIE0iREew1lzCqtKerNJjWGU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=336274463762899&atk=1b2n7m89dagpm987,"Essential duties and responsibilities include the following. Other duties may be assigned.

Instructs students in courses in the Astronomy discipline. Provides learning activities that stimulate student involvement and encourage critical thinking.
Serves on collegewide and departmental committees as needed. May assist with registration processes.
Maintains regular office hours to assist students; responds to students' emails and voice mails in a timely fashion; performs accurate assessment of student performance.
Maintains professional competencies in the subject area and currency in instructional methodologies through professional associations and professional development.
May perform other related tasks as assigned by the Department Chair, Dean, and/or Executive Vice President.


Knowledge 
Must possess required knowledge and be able to explain and demonstrate, with or without reasonable accommodations, that the essential functions of the job can be performed.

Extensive knowledge of subject matter and relevant topics and issues in the teaching discipline.
Knowledge of effective instructional techniques and innovative modes of course delivery adaptable to a variety of learning styles.
Must be knowledgeable about and capable of using current technologies in the classroom and to convey online course content.
Understanding the comprehensive mission and philosophy of community colleges.
Sensitive issues relating to a diverse student body.
Principles and practices associated with Servant-Leadership.
Working cooperatively with colleagues.

Skills 
Must possess required skills and be able to explain and demonstrate, with or without reasonable accommodations, that the essential functions of the job can be performed.

Must demonstrate creativity and innovation in the field, service in the profession, and/or the community.
Effective planning, organizing, communication, and interpersonal skills including use of tact and discretion and the ability to meet deadlines.
Effectively assisting and assessing student learning.
Interacting with students of diverse backgrounds.
Being punctual for classes and office hours.
Maintaining an established schedule, including evenings and weekends, including possible multiple campus locations that may vary by semester.
Maintaining confidentiality of student information.

Technology Skills

Demonstrated proficiency using computer applications, online resources, and other technologies for the classroom and online learning as well as to develop and build course content and perform administrative duties (posting office hours, syllabi, grades, etc.).

Required Work Experience

None.

Required Education

Educational requirements in accordance with SACSCOC accreditation standards: Master's degree with a major in astronomy, physics or a related physical science or Master's degree with 18 graduate hours in astronomy, physics or a related physical science. SACSCOC requirements may differ depending on the courses taught within the discipline. For specific requirements by course, please see the current year Faculty Qualifications Table located at http://www.austincc.edu/faculty/credentials/.

Special Requirements 
Licenses/Certifications; Other

This is a Security Sensitive position. Pre-Employment Criminal History Checks are required. Official transcripts are required. Reliable transportation may be required for teaching in multiple campus locations.

Physical Requirements

Ability to communicate effectively with students and colleagues.
Work is routinely performed in a classroom or office setting.

Safety

Work safely and follow safety rules. Report unsafe working conditions and behavior. Take reasonable and prudent actions to prevent others from engaging in unsafe practices."
7,Clinical Faculty- FY 16-17,University of Texas at Austin,Austin,TX,"Or equivalent is required in the fields of research represented by the Freshman Research Initiative (e.g., Astronomy, Biology, Chemistry, Biochemistry, Computer...",30.266483,-97.74176,http://www.indeed.com/viewjob?jk=dde4a0f52b165ff3&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s_Y67bNmqmcjyipt3n1wUlyjYQTM4_YsthfFyZWg62oIE0iREew1lzCqtKerNJjWGU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=336274463762899&atk=1b2n7m89dagpm987,"The Texas Institute for Discovery Education in Science in the College of Natural Sciences is seeking faculty to teach Research Experience courses and complete programmatic activities as part of its innovative science education program, the Freshman Research Initiative (FRI). FRI merges the teaching and research missions of the university by engaging undergraduates in conducting research project(s) related to a faculty member’s ongoing research. For more information, please click
here.
Responsibilities include teaching research-based courses, managing a fast-paced undergraduate research laboratory, and coordinating research- and teaching-related activities. The position also includes programmatic responsibilities such as course and curriculum planning, student recruitment, and program outreach.
This position consists of a nine-month, non-tenure-track faculty appointment at the rank of Clinical Faculty and a three-month summer administrative appointment for a total of 12 months of support. The position is renewable on an annual basis depending on job performance and class enrollments.


Qualifications

A Ph.D. or equivalent is required in the fields of research represented by the Freshman Research Initiative (e.g., Astronomy, Biology, Chemistry, Biochemistry, Computer Science, Physics, Mathematics). Undergraduate teaching or mentoring experience is required, and program coordination experience and knowledge of evidence-based teaching methods are preferred.


Application Instructions

Applications will be reviewed and interviews conducted until positions are filled. Start dates will be negotiated with the finalists.


Required application materials: a cover letter, a current CV or resume, a statement of teaching experience and accomplishments, and reference letters that address your teaching experience."
8,Physics Tutor (PL),Eastern Kentucky University,Richmond,KY,The Department of Physics and Astronomy is accepting applications for qualified Physics tutors on a continual basis....,37.747253,-84.29121,http://www.indeed.com/viewjob?jk=3ce898c950bfcc4a&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s_d1nlpDcGdVx-5i-ZQ5TBP_thGeBu8xEejqRu3SV5FIpn_zymsHxvOa2qb3OMcjIGptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2n7ma11afdb99a,"The Department of Physics and Astronomy is accepting applications for qualified Physics tutors on a continual basis. You will be contacted by the hiring official should your application be considered.

The Department of Physics and Astronomy is seeking qualified student employees to tutor undergraduate students in introductory level physics courses (PHY 101, 131, 132, 201, & 202). Candidates must have completed two introductory physics courses (PHY 131 & 132, or 201 & 202) with a ""B"" or better, be a Physics major or minor, and be dependable. Tutors will be required to maintain a high physics GPA and to obtain Level I CRLA Certification during their first semester of employment.

Contact Person:
mary.lamb@eku.edu

Minimum Licensure/Certification Qualifications:
Minimum Educational Qualifications:
Minimum Experience Qualifications:
Qualification Equivalencies:
No equivalencies.

Desired Qualifications

Special Instructions to Applicants

Documents you may attach when applying for this position:
Documents you must attach when applying for this position:
Resume
Schedule of Availability
Schedule of Classes

Additional Information:
The Physics Tutoring Center is open M-F and usually from 9:00 a.m. - 4:30 p.m.

Background Check:
Offers of employment are contingent upon satisfactory background check.

EEO Statement:
Eastern Kentucky University is an EEO/AA institution that values diversity in its faculty, staff, and student body. In keeping with this commitment, the University welcomes applications from diverse candidates and candidates who support diversity.

For more information, please visit our Office of Equity & Inclusion .

Document Link:
"
9,College Laboratory Assistance II - Physcial Science (Full-Time),City Colleges of Chicago,Chicago,IL,"The Department of Physical Science includes Astronomy, CAD, Chemistry, Engineering, Physical Science, and Physics....",41.8489,-87.64835,http://www.indeed.com/viewjob?jk=dee59b2b67b1c1db&qd=1vHU8bY0zJlP3i697aWcB-wehM7bWaMJfeI5oUQb-s8CpAQAj2jnPwgMb2wf-rjfSXtXJHxX7RISqGomxEGcSH1G-wKS6LPbmZU7UPYTg96DBfhE8IgzO_q_LQgY-_NZ&indpubnum=336274463762899&atk=1b2n7mbauah16bnu,"-

TRU0000604

Duties and Responsibilities

COLLEGE LABORATORY ASSISTANT II - PHYSICAL SCIENCE DEPARTMENT (FULL-TIME)

CITY COLLEGES OF CHICAGO - TRUMAN COLLEGE

The Department of Physical Science includes Astronomy, CAD, Chemistry, Engineering, Physical Science, and Physics. The Department strives to help students understand how to organize, analyze, and use the scientific methods.

Primary Objective:
Under minimal supervision, performs para-professional work in a science laboratory in the preparation, storage, and maintenance of chemical and biochemical reagents, materials, and apparatus; takes general responsibility for operation of laboratory. The position includes extensive, ongoing interaction with students, faculty, and staff.

GENERAL RESPONSIBILITIES:
Maintains the laboratory in an orderly and clean manner that ensures safety rules are followed.

Inventories and maintains necessary supplies for college courses in biology, chemistry, physics, physical science and related subjects.

prepares reagents with qualitative and quantitative specifications.

Maintains and does minor repair on various laboratory equipment.

Calibrates and prepares scientific instrumentation for class use.

Writes educational documentation as needed.

Enforces safety rules int he laboratory and aides the instructors in demonstrations.

Provides support to full-time and part-time faculty.

Supports students when available and as necessary in the various labs.

Qualifications

Graduation from high school or the equivalent, supplemented by two years of college chemistry, laboratory biology; or equivalent combination of training and experience. Bachelor’s degree preferred.

Considerable knowledge of routine laboratory safety and procedures.

Good knowledge of biological or chemical and physical science laboratory methods.

Knowledge of scientific instrumentation used in science laboratories.

Must be computer proficient with knowledge of a variety of software programs..

Ability to instruct students on use of laboratory equipment through use of strong organizational skills, supervisory skills and good verbal communication.

Excellent health and welfare benefit package and long term savings and investment programs including 403(b) & 457(b) Investment Plans and a pension plan with the State University Retirement System (SURS) Plan. Generous Paid Time Off and tuition reimbursement. For a more detailed overview of benefits, please visit the benefits page of our website.

Chicago residency is required for all full-time employees within 6 months of hire.

We are an equal opportunity and affirmative action employer.

Thank you for your interest in CCC!

Job

:

Other

Primary Location

:

Truman College

Employee Type

:

Full Time

|

Regular

Union Code

:

1708Unit1

Job Posting

:

Nov 8, 2016, 12:10:35 PM"
