,Job title,company,city,state,education level/skills required / responsibilities,longitude,latitude,url,job summary
0,Academy Ballet Master HBII,Houston Ballet,Houston,TX,Houston Ballet Foundation is an Equal Opportunity Employer. Teach and coach students from levels 5 through HBII’s ballet....,29.76377,-95.36423,http://www.indeed.com/viewjob?jk=5c8e76915447f5cf&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"Summary: This position assists in the supervision and training of HBII students.

Duties Include:
Coaching and Teaching

Teach and coach students from levels 5 through HBII’s ballet
Teach and coach company as requested.
Work with Academy Director to assist in the development of HBII’s

For easy transition into company
By teaching, coaching and rehearsing for all HBII and company rehearsal and performance crossovers
For HBII touring when requested
For auditioning preparations and career planning and placement
By attending all HBII performances and assisting with back stage duties as needed.

Recruiting and Auditioning

Participate in local and national auditions and participate in student recruitment.
Attend competitions as requested.

Administrative

Consult and prepare student evaluations and correspondence and meet with parents as needed,
Attend faculty and staff meetings and in-services when required
Maintain accurate roll books
Provide letters of recommendation as needed

Other

Attend faculty and staff meetings weekly and in-services
Assist Director(s) with any projects or duties as assigned

Qualifications:
EDUCATION & EXPERIENCE

Bachelor’s degree or equivalent professional experience and certifications
Five years teaching experience
Basic knowledge of Microsoft Office applications
Strong interpersonal and communication skills

COMPUTER SKILLS

Proficient personal computer skills including electronic mail, record keeping, routine database activity, word processing, spreadsheet, graphics, etc.

Houston Ballet Foundation is an Equal Opportunity Employer
Candidates for employment are considered without regard to race, color, sex creed, national origin, sexual preference, age, non-job-related disability or marital status."
1,Informatics Associate,LabAnswer,Sugar Land,TX,"Orlando has its own ballet, opera, philharmonic, as well as Bach and Shakespeare festivals. Laboratory Informatics Associates who complete our in-house training...",29.618132,-95.63187,http://www.indeed.com/viewjob?jk=bd77b7c55788b607&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"Laboratory Informatics Associates who complete our in-house training program will be taught how to be a Consultant qualified to lead and manage key portions of projects, using specialized and expert informatics knowledge to identify client needs and provide value-added solutions. Trainees, upon successful completion of the Laboratory Informatics Training P rogram, will be capable of working as part of a team, or independently of other LabAnswer resources to plan, execute, coordinate and manage the delivery of several tasks and deliverables, comprising one or more work streams (i.e., project management, configuration, validation, data management, etc.). Our Laboratory Informatics Training Program will teach the SDLC, LabAnswer methodologies, and LabAnswer’s standard proprietary toolsets.
This is a fantastic opportunity to develop your career with us. As an Associate of you will receive full support, training and guidance with opportunity for career development and advancement. You will join an established, stable team with an excellent reputation within their specialist field. You will be part of a collaborative work-culture where teamwork is valued and rewarded. You will be an afforded an opportunity to gain experience, grow and transform, while working on projects with our clients that have transformational outcomes, improve lives and make with world a better place.
Educational Requirements
Bachelor Degree in either Laboratory Science or Computer Science (e.g., Chemistry, Biochemistry, Biotechnology, Biology, Microbiology) PLUS experience or training in one of the following programming languages: C, C++ C#, PHP, Perl, VB.NET, Objective C, Python, Java, Pascal

OR

Bachelor Degree in Computer Science or Management Information Systems PLUS you have successfully completed a college level laboratory science course (e.g. Biology, Chemistry, Microbiology, Molecular Biology, etc.)
Minimum Requirements / Qualifications
Valid driver’s license
Ability to interact on a professional level
Ability to work collaborate with internal and external teams
Ability to apply analytical and proactive thinking
Ability to assume responsibility for their own actions
Organized with ability to prioritize work load and work under pressure
Drive and commitment to achieve results
Drive for self-development, personal growth and continuous improvement
Good verbal and written communication skills
Excellent listening and interpersonal skills
Customer focused
Business professional appearance
Prior experience with Laboratory Information Management Systems (LIMS) considered a plus

We offer:
Interesting work, learning opportunities, being challenged
A good entry level salary, with rapid opportunity for promotions
Paid training, mentoring and a career path
Opportunity to help others, and contribute to society
Participation in the LabAnswer Community (a network of colleagues you can interact socially with, make friends and build a professional network)
Comprehensive health and welfare benefits
Generous paid time off (vacation, sick and personal time)
State of the art work environment
Work location flexibility once you become an experienced Consultant. Consultants with 4-5 years of experience have the opportunity to work from a variety of geographical locations. Experienced Consultants may be office based or remote. Office based Consultants work from either LabAnswer’s Orlando, Florida office, or from a client’s premises (a consultant must live within driving distance of the client’s premises). Remote Consultants must reside within 50 miles of a major U.S. airport and be able to travel weekly. Remote Consultants must have a willingness and ability to travel up to 4 days a week (home on weekends – based on project requirements).

About LabAnswer:
LabAnswer is the leading laboratory informatics consultancy in North America. LabAnswer serves clients in a variety of industries including environmental, pharmaceutical, biotechnology, clinical research organizations, consumer products, government, public health, forensic, energy, and chemical/petro chemical (e.g., oil and natural gas).
LabAnswer works with a variety of Laboratory informatics including laboratory information management systems (LIMS), laboratory information system (LIS), chromatography data system (CDS); electronic lab notebook (ELN) and scientific content management systems.
Our consultants are authorities in architecting, configuring, deploying, validating and supporting laboratory informatics systems worldwide. Consultants carry out assessments, systems architecture, systems design, configuration, implementation, integration, deployment, maintenance, and systems support.

About the Orlando Area:
Orlando is located in Central Florida, it is the center of the Orlando metropolitan area, and the fifth largest city in Florida. It is the state's largest inland city. The Orlando International Airport (MCO) is the thirteenth busiest airport in the United States and the 29th busiest in the world. Orlando is also known as ""The Theme Park Capital of the World"" - but Disney World is actually about 15 miles outside of Orlando.
If you relocate to Orlando you will be the envy of your friends -- a Pew Research Study found Orlando to be one of the most popular cities, in terms of where people want to live. Orlando has a relatively low crime rate. Housing prices remain at or below the median of the state, which makes Orlando attractive location for prospective home buyers.
There are plenty of things to do in and around the Orlando area. Orlando has its own ballet, opera, philharmonic, as well as Bach and Shakespeare festivals. Orlando City Hall has two free art galleries that are open to the public. The state of Florida has the most golf courses in the country. Orlando is outside of the danger zone of most hurricanes. JFK Space Center, is just about an hour away and a popular beach destination. The closest beaches to Orlando are Daytona Beach, New Smyrna Beach and Cocoa Beach, and each is on the Atlantic Ocean (East Coast). Each is about the same driving distance from Orlando, about an hour away. There are about 100 named lakes in the greater Orlando area. Orlando has nine shopping malls, and millions of square feet of retail space. The City of Orlando has its own public skate park. July is the hottest month in Orlando with an average temperature of 82°F and the coldest is January at 59°F with the most daily sunshine hours at 11 in June. The wettest month is July with an average of 196mm of rain. The best month to swim in the ocean is in July when the average ocean temperature is 84°F. Orlando has a low cost of living compared to other U.S. metropolitan areas. To compare the cost of living between your current city and Orlando checkout: http://www.payscale.com/cost-of-living-calculator/Florida-Orlando ."
2,"Academy Instructor, Boys Program Coordinator",Houston Ballet,Houston,TX,"Houston Ballet Foundation is an Equal Opportunity Employer. Teach ballet, pas de deux, variations and repertoire as requested for boys and girls....",29.76377,-95.36423,http://www.indeed.com/viewjob?jk=af44082017902bf9&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"Summary: This position provides teaching for lower, middle and upper school classes and will be the Coordinator of the boys in Pre Professional and Professional (not including HBII) Programs.

Duties Include:
Coaching and Teaching

Teach in Boys levels 1 through HBII in year round and summer programs as needed.
Teach ballet, pas de deux, variations and repertoire as requested for boys and girls
Prepare evaluation classes as requested.
Teach and coach company as requested.
Rehearse and prepare HBII, Professional Program and upper school for performances and evaluations as needed.
Teach boys summer workshops as requested.

Choreography, Rehearsal and Staging

Prepare choreography and teach repertoire as needed
Rehearse spring show performance material as needed. (specifically for boys)
Attend and assist with back stage duties as needed including Nutcracker, Spring Show, and other performance as requested.
Attend and coordinate student involvement with company performances as requested

Recruiting and Auditioning

Participate in local and national auditions and participate in student recruitment.
Attend and prepare students for competitions as requested.
Participate in evaluating students, documenting files, recommending students for program as needed.

Administrative

Conference with parents when necessary
Maintain roll books as needed
Prepare evaluations for students’ files, meetings with parents, evaluations and incident reports for inclusion into student files
Consult with students twice yearly in conjunction with evaluations

Other

Attend faculty and staff meetings and in-services when required
Assist Academy Director with any projects as needed

Qualifications:
EDUCATION & EXPERIENCE

Bachelor’s degree or equivalent professional experience and certifications

Two years teaching experience

Basic knowledge of Microsoft Office applications

Strong interpersonal and communication skills

COMPUTER SKILLS

Proficient personal computer skills including electronic mail, record keeping, routine database activity and processing systems, word processing, spreadsheet, graphics, etc.

Houston Ballet Foundation is an Equal Opportunity Employer
Candidates for employment are considered without regard to race, color, sex creed, national origin, sexual preference, age, non-job-related disability or marital status."
3,"Communications Associate, Nutcracker Market",Houston Ballet,Houston,TX,"Houston Ballet Foundation is an Equal Opportunity Employer. Draft communication as needed for other publications such as Houston Ballet News , TuTu Times , etc....",29.76377,-95.36423,http://www.indeed.com/viewjob?jk=f485de802aeefbe8&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"**** Note: Communication Samples are required with Cover Letter

Summary: T his position requires an extremely organized, detailed, self-motivated, and technology-savvy individual that will be responsible for multiple communication projects within the Nutcracker Market department. This position will work closely with Associate Director to implement best practices for written communication and graphic design that is in line with Houston Ballet’s branding along with the reputable brand and tone of the Nutcracker Market .

Duties Include:
Design and implement graphics for presentations, sponsorship packets, media kits, and other marketing and PR collateral

Create and implement a Nutcracker Market newsletter
Maintain Nutcracker Market social media profiles and track social media statistics
Draft letters and communication for brochures, packets, website, etc.
Draft communication as needed for other publications such as Houston Ballet News , TuTu Times , etc.
Cross-train and assist Nutcracker Market Processing Manager with Shiftboard communication
Cross-train and assist Nutcracker Market Processing Manager with processing, tracking, and reporting all Nutcracker Market and Houston Ballet Guild gifts and contributions
Track and organize all press and photography from the Nutcracker Market and events for publicity and communications use, as well as for archives
Maintain and update Nutcracker Market website content through Houston Ballet’s web content management system
Assist at all events as needed
Answer phone calls and make deliveries as needed to printers, mail house, bank, etc.
Operate as an integral member of the Nutcracker Market Department team
Other duties as assigned

Qualifications:
EDUCATION & EXPERIENCE

Bachelor’s Degree required
Minimum three years’ experience in data entry and customer service
Tessitura and Shiftboard experience a significant plus

LANGUAGE/ MATH/ REASONING ABILITY:
Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals. Ability to compute rate, ratio, and percent and to draw and interpret bar graphs.
Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations.

COMPUTER SKILLS

Proficient personal computer skills including email, record keeping, routine database activity

Houston Ballet Foundation is an Equal Opportunity Employer
Candidates for employment are considered without regard to race, color, sex creed, national origin, sexual preference, age, non-job-related disability or marital status."
4,Ballet Instructor,Evoke Arts High,Houston,TX,"We are currently expanding and are looking for dance teachers specializing in teaching street dance, ballet, jazz, tap, contemporary, cheer or yoga....",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=5222ca4d2a0d456e&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"We are currently expanding and are looking for dance teachers specializing in teaching street dance, ballet, jazz, tap, contemporary, cheer or yoga.As one of our dance teachers you will: 1. Deliver teaching sessions to students of different ages.2. To prepare dance pieces for students for their end of year production.We are looking for someone with:  * Qualifications and/or training in dance or performing arts. * Passion for working with and inspiring young people; * Strong ability to choreograph and teach within your styles; * A good working knowledge of the dance and performing arts industry; * Enthusiasm, passion, patience and self-discipline; * The ability to work with others, at all levels, as part of a team; * Organizational skills and self/time management skills; * To be resourceful and adaptable, with the ability to solve problems.Job Type: Full-timeRequired experience:Ballet Dance: 1 yearDance Teacher: 2 years"
5,full time ballet teacher in elementary school,Evoke Arts High,Houston,TX,As one of our dance teachers you will: 1. Deliver teaching sessions to students of different ages.2. To prepare dance pieces for students for their end of,29.760988,-95.36264,http://www.indeed.com/viewjob?jk=6163874714ea560a&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"As one of our dance teachers you will: 1. Deliver teaching sessions to students of different ages.2. To prepare dance pieces for students for their end of year production.We are looking for someone with: 1. Deliver teaching sessions to students of different ages.2. To prepare dance pieces for students for their end of year production.We are looking for someone with: 2. To prepare dance pieces for students for their end of year production.We are looking for someone with:Qualifications and/or training in dance or performing arts.Passion for working with and inspiring young people;Strong ability to choreograph and teach within your stylesA good working knowledge of the dance and performing arts industry;Enthusiasm, passion, patience and self-discipline;The ability to work with others, at all levels, as part of a team;Organizational skills and self/time management skills;To be resourceful and adaptable, with the ability to solve problems.you will be working Monday - Friday 8 -3:30 OT availableApplication form - http://www.evokeartshigh.com/#!dance-teacher-applications/rr5b2Salary: $15,000.00 /yearRequired education:Bachelor'sRequired experience:Dance: 3 yearsTeaching: 3 yearsJob Type: Full-timeSalary: $15,000.00 /yearRequired education:Bachelor'sRequired experience:Teaching: 1 yearEducation: 1 year"
6,Studio Coordinator,PACESETTER PERSONNEL SERVICES,Houston,TX,The philosophy of the Pure Barre concept is using small isometric movements at the ballet Barre set to motivating music. Summary of Role....,29.760988,-95.36264,http://www.indeed.com/viewjob?jk=00500de934f220c5&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"STUDIO COORDINATORSummary of RolePure Barre is the largest and most established Barre franchise with more than 300 studios across North America and more on the way. Since 2001, we’ve been leading the way thanks to our proven technique, high energy atmosphere, passionate franchise base and dedicated corporate team. There are sunny days ahead for Pure Barre as more people discover and share the benefits of the technique.The philosophy of the Pure Barre concept is using small isometric movements at the ballet Barre set to motivating music. Founded by dancer, choreographer and fitness guru, Carrie Rezabek Dorr, Pure Barre has experienced significant Growth and public recognition since franchising across the nation in 2009 to meet client demand.This position will report to the Studio Manager. The Studio Coordinator will provide administrative support and coordination on all activity in and out of the studio, while working to develop and maintain client relationships.ESSENTIAL RESPONSIBILITIESBuilds client relationships through outstanding customer service at every touch point.Serves alongside the Studio Manager as one of the primary contacts for all Client inquiries.Assists the Manager in planning and executing all PR, Marketing and Social Media initiatives.Coordinates staffing schedules and updates in MINDBODY with shift swaps.Provides information to clients regarding class packages, membership options, and the Pure Barre technique.Maintains studio retail presentation, remerchandising product displays, restocking shelves with inventory, observing inventory levels, etc.MINIMUM QUALIFICATIONS FOR CONSIDERATIONHS Diploma.Exemplary interpersonal and communication skills.Demonstrates strong organizational skills.Excellent attention to detail.MS Office or Windows based software required.Desire to provide outstanding customer experiences.CONSIDERATIONS FOR IDEAL CANDIDATEPositive and welcoming attitude.Commitment to company values, culture.2 years of previous retail and/or customer service experience.Job Type: Full-timeSalary: $15.00 /hourJob Location:Houston, TXRequired education:High school or equivalentRequired experience:Sales: 1 yearCustomer Service: 1 year"
7,Gastroenterologist Needed for Well Respected Liver Program,United Surgical Partners International,Houston,TX,"World renown theatre district offers opera, ballet, a symphony and theater. Hepatology and Liver Transplant Program in Houston’s medical district seeking...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=d4deba725a9597c0&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"Hepatology and Liver Transplant Program in Houston’s medical district seeking Gastroenterologist to join an integrated healthcare team of two physicians and two midlevel providers to provide comprehensive, individualized care. This practice provides a wide range of specialized care to patients with digestive and liver disorders.

Base salary plus production model.
Existing patient base. Be busy from day one.
Opportunity for subspecialized training in liver disease.
Well respected practice where quality patient care and clinical research are important.
Clinical support from hepatologists, surgeons, hospitalists, and midlevel providers.
Affiliation with major academic, research and teaching hospital.
Centrally located in one of the nation’s most populous cities, this practice is commutable from a variety of desirable neighborhoods and communities. Houston is considered one of the nation’s most diverse cities.

Houston is a metropolitan area of 6.3 million
Home to numerous universities including Rice, University of Houston, Houston Baptist University and Prairie View A&M.;
Two major airports in the metro.
Variety of professional sports including MLB, NBA, NFL, and MLS.
World renown theatre district offers opera, ballet, a symphony and theater.
50 miles to popular coastline destinations.
To learn more contact Jaime Collins at 972-385-4274 or jcollins@uspi.com


Job Location
Houston, Texas, United States
Position Type
Full-Time/Regular"
8,Ad Sales - Print and Digital,Houstonia Magazine / SagaCity Media,Houston,TX,"Thoroughly qualify new opportunities to determine whether prospects are good potential for _com digital, programmatic digital, Love Wins Texas Weddings, Niche...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=08fcdb5af3292fc0&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"Ad Sales— Print and Digital Advertising SalesSagaCity Media which owns magazines such as Houstonia and Love Wins Texas Weddings is seeking a highly motivated, experienced Advertising Sales Executive to drive sales revenue for its custom publications and for digital sales. This is a “hunter” role and provides exceptional players with uncapped earning potential as well as professional development.Key Account Executive ResponsibilitiesCreate new business opportunities through personal selling activities and great networkingThoroughly qualify new opportunities to determine whether prospects are good potential for com digital, programmatic digital, Love Wins Texas Weddings, Niche Custom publication projects such as Houston Ballet magazine & Galveston Visitors Guide.Manage relationships throughout the entire sales cycle, from initial contact through execution of the client campaignDevelop creative campaigns / proposals to help clients achieve their business & marketing goalsConsistently win new business and achieve personal revenue goalsExpand and maintain existing client relationshipsRequirements, Experience, and Attributes of Ideal Candidates3+ years sales experience in a media/magazine environment3+ years digital and programmatic sales experience – geo-fencing/geo-targeting.Very strong prospecting skills. Committed to consistent daily selling behaviorsWell-networked in the Houston marketplace. Should be involved with industry associations and have a strong personal networkAbility to get in front of high-level decision makersConsultative selling experience a mustAbility to work both independently and as a team playerExperience with and comfort entertaining clients in social settingExceptional organizational, written and verbal communication skillsExcellent presentation skills, well versed in Excel, Adobe Acrobat (Adobe InDesign a plus)Loyal, honest, high-energy, driven, strong work ethic, good sense of humorCompensation and BenefitsVery competitive comp plan and uncapped incentive programBenefits include medical, dental insurance, retirement savings, paid holidays, and personal days.EMAIL RESUME WITH 3 REFERENCES TO DIANE CAPLAN – PUBLISHER – dcaplan @ sagacitymedia.comAbout SagaCity MediaSagaCity Media Inc. is the parent company of the preeminent lifestyle media brands in Portland, Seattle, Houston, Sarasota, Aspen, Vail, and Park City. In their respective markets, Portland Monthly , Seattle Met , Houstonia , and Sarasota produce the largest-selling magazines, most-visited local lifestyle websites, and industry-dominating numbers of engaged social media followers. SagaCity also proudly produces web content and publications elsewhere, many of them award-winning, for conventions and visitor’s bureaus or lodging associations in such markets as Portland, Seattle, Santa Monica, Aspen, Washington state, Eastern Oregon, Bellevue, Tacoma, Galveston, Aurora, Greenville, and Vancouver.SagaCity Media is an equal opportunity employer, offering unlimited earning potential, Medical/Dental, 401K Retirement and more. For more information on the company, please visit our website at sagacity.comJob Type: Full-time"
9,Teacher / Head Dance Director / Bridgeland HS (2017-18),Cypress-Fairbanks Independent School District,Houston,TX,"Knowledge of effective dance techniques including jazz, modern, tap, world dance, and ballet; Bachelor’s degree or higher from a recognized, accredited college...",29.936512,-95.5662,http://www.indeed.com/viewjob?jk=06085583cb479bb8&qd=1vHU8bY0zJlP3i697aWcB58T7zDbFjnIuQT5c8JC824RfzDH3j5TYlOS0Zr0eQAbsYEh98fqs9r8i2dsQOzht8eLa_nC2tWTFlzdwCz_QxM&indpubnum=336274463762899&atk=1b2n89h28ah16btl,"QUALIFICATIONS:
1. Bachelor’s degree or higher from a recognized, accredited college or university;
2. Valid teaching certificate in dance;
3. Knowledge of effective dance techniques including jazz, modern, tap, world dance, and ballet;
4. Strong communication skills;
5. Demonstrates skills in supporting, motivating, and cooperating with students, parents, teachers, and administrators;
6. Knowledge of TDEA and dance competition rules / guidelines;
7. Head Directors must demonstrate ability to develop a large, successful dance / drill team in a public school program.
8. Head Directors must have a minimum of three (3) years successful teaching experience in dance or drill team in the public school setting;

TERMS OF EMPLOYMENT:
Probationary/Term Contract: 187 days

SALARY:
Pay Grade T60 (Teacher Classification) as approved by the Board of Trustees
http://www.cfisd.net/en/job-seekers/why-cfisd/teacher-hiring-schedule/
Additional stipend as approved

ESSENTIAL FUNCTIONS:
1. Develop and maintain a classroom environment conducive to effective teaching and learning;
2. Recruit and retain students in the dance / drill team program;
3. Prepare students for successful individual auditions and competitions;
4. Collaborate with building fine arts staff;
5. Maintain emotional control under stress;
6. Demonstrate professional, ethical, and responsible behavior;
7. Maintain confidentiality;
8. Work frequent prolonged and irregular hours;
9. Choreograph and prepare team and ensemble routines for successful performances and competitions;
10. Head Directors will be expected to mentor and train assistant director(s) when appropriate;
11. Head Directors will manage the budget, fund raising, and equipment inventory;
12. Head Directors will work with booster club (where applicable) to implement approved goals.

WORKING CONDITIONS:
1. Tools / Equipment used: Personal computer and peripherals; standard instructional equipment.
2. Posture: Frequent, prolonged standing, stooping and bending.
3. Motion: Frequent walking, dancing, pulling and pushing.
4. Lifting: Regular moderate lifting and carrying (15-44 pounds); may lift and move dance equipment, props, etc.
5. Environment: Frequent exposure to sun, heat, cold, and will be expected to work outside. Frequent exposure to noise.
6. Mental Demands: Maintain emotional control under stress; work prolonged or irregular hours; frequent travel and frequent travel by school bus.

APPLICATION INFORMATION:
281.897.4050
Janette.Camp@cfisd.net

DEADLINE TO APPLY:
Until filled

Applications will be reviewed
Not all applicants will be interviewed
Hiring Managers may choose to email you regarding this application. Please monitor your email regularly for any communication.

BECOME A TEACHER IN TEXAS:
http://www.cfisd.net/en/job-seekers/career-opportunities/become-teacher/"
