,Job title,company,city,state,education level/skills required / responsibilities,longitude,latitude,url,job summary
0,Chief Information Officer - Full Time - Office of Adm/Director,Alaska Native Tribal Health Consortium,Anchorage,AK,"Training and/or experience in medicine, bioengineering, community health or engineering is preferred. CB....",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=c451f28022fe424b&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNiiu02g7UT1wjl-2r9K7QyMHvX8Ay5k5dWt5t9cbRNRplAMSZJWVOm8ac7W7kbQ4DY1epEFimB1ZEeAfaFV2jfV&indpubnum=336274463762899&atk=1b2n8o52iaft3a53,"*CB
"
1,Research Technician,Rice University,Houston,TX,"Chemistry, biochemistry, bioengineering, or chemical engineering. Full Time/Part Time....",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=8de4effd5dfacbb9&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"Position Information
"
2,Research Associate - Neuro Rehabilitation,UT Health Science Center at Houston,Houston,TX,Master degree in bioengineering or related areas; Where Creating the Best Hope for a Healthier Future Begins......,29.760988,-95.36264,http://www.indeed.com/viewjob?jk=c8a0c41c89d16635&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"Where Creating the Best Hope for a Healthier Future Begins...


The NeuroRehabilitation Research Laboratory at TIRR Memorial Hermann is part of Department of Physical Medicine and Rehabilitation at the University of Texas McGovern Medical School at Houston. The lab is housed in the newly established research center at TIRR Memorial Hermann.


Additional Summary Specific to Job

The main responsibility includes, but is not limited to the following:

1) Maintains quality control checks and a safe environment in compliance with all governmental and university policies, rules, regulation and codes related to research projects, including IRB preparation and compliance maintenance.

2) Recruits study participants, Collects, evaluates, interprets, and documents research data to accomplish the objectives of a wide variety of scientific experiments and research experiments.

3) Provides engineering support for research and scientific projects, including customizing research instruments and data collection software; build up device/apparatus and write data collection software for our research projects.


The position requires a flexible schedule, according to schedules of patient subjects.


Ongoing research projects in the lab include:

1) pathophysiology and management of post-stroke spasticity.

2) breathing-controlled electrical stimulation for neuropathic pain management.


Organizational Requirements

Bachelor's degree in a related science with a minimum of three years related research or clinical or other experience. Master's or Ph.D. in research related field preferred.


- Depending on project(s), Certification for Protection of Human Research Subject may be required or must be completed within 5 days of employment.


Departmental Requirements/Preferences

Master degree in bioengineering or related areas; proficiency in MatLab, and LabView; and adequate engineering skills for customization of research instruments and data collection software. Prior human subject research experience is perquisite.


Excellent English and communication skills are desired.


The position requires a flexible schedule, according to schedules of patient subjects."
3,Process and Analytical Development Associate Level 2,Lonza,Houston,TX,"Agricultural/Biological Engineering and Bioengineering (Required). At Lonza, we invest in great people....",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=334f53ff6a22011c&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"At Lonza, we invest in great people. We encourage our employees to challenge themselves and we offer an environment that fosters creativity and success. Headquartered in Basel, Switzerland, we operate production, R&D;, and business sites around the world, including Europe, North America, and Asia.
Our vision :
We strive to be the leading supplier using science and technology to improve the quality of life.
Our mission :
We work with passion, using advanced technologies, to transform life science into new possibilities for our customers.
Do you want to help us as we shape the future of this great organization?
Job Description Summary Lonza Viral-based Therapeutics seeks a hands-on Process and Analytical Development Associate Level I/II to perform all support functions associated with new product process development and analytical support, formal assay transfer, process technology transfer and scale up to manufacturing. The successful candidate will be a hold a Bachelor’s degree in biology/chemistry highly motivated, energetic team player with excellent communication skill to significantly contribute to a growing organization in the emerging field of viral cell and gene therapeutics.
Job Description
POSITION DUTIES AND RESPONSIBILITIES
Responsible for lab safety at all times (shared with all group members).
Perform routine sample analysis by assays including, but not limited to:
Quantitative PCR
ELISA
SDS-PAGE/Western
Cell based assays
HPLC
Basic lab skills suitable to support upstream/downstream role in group, including:
Aseptic technique appropriate to upstream / downstream activities.
Buffer and media prep as applicable for upstream/downstream.
Metabolite and culture environmental assay (i.e., Nova Bioprofile).
Cell counting and subculturing for upstream.
Setup and operate bioreactors for upstream.
Set up and operate lab scale chromatography systems for downstream.
Set up and operation of SDS-PAGE gel assays for downstream
Maintain lab notebook per Development / department practices and SOP.
Write protocols and reports from completed studies.
Basic understanding of bioprocessing and assay development activities and procedures, including:
Assay development and troubleshooting.
Assay transfer and implementation.
Willingness to learn new assays/techniques
Bioprocessing techniques- aseptic cell culture technique and chromatography
Work as a team player. Communicate well with other team members about sample receiving, data analysis and reporting the data.
Organize and plan assigned daily activities to ensure timely completion of assignments.
Perform assigned work in a timely manner
Order and maintain supplies for lab work using the SAP system
Be involved in training activities (being trained and being pro-active in getting trained).
Support lab housekeeping and assist facilities and calibration in support of lab equipment PM/calibrations. Participate in 5S activities
Able to identify situations which may require clarification from supervisor or other member of the team.
Receive material and shipping to external customer/testing houses/where applicable.
Interaction with vendors and customers as required.
ALL LONZA BIOLOGICS EMPLOYEES HAVE THE FOLLOWING RESPONSIBILITIES:
Quality should be the responsibility of all persons.
Adherence to cGLP practices and cGMP practice when needed.
All personnel should practice good sanitation and health habits.
Personnel suffering from an infectious disease or having open lesions on the exposed surface of the body should not engage in activities that could result in compromising the quality of Product.
Responsibilities
Education Bachelors: Agricultural/Biological Engineering and Bioengineering (Required)
Work Experience
Experience Level
Certifications
Skills
Language(s)
Lonza is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a qualified individual with disability, protected veteran status, or any other characteristic protected by law.
Lonza. The place to Go, Stay and Grow."
4,Postdoctoral Associate,Baylor College of Medicine,Houston,TX,"We use different techniques in molecular biology, biochemistry, cell biology, vascular biology, and bioengineering in our comprehensive investigation of signal...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=4634ab2daad604b6&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"Summary:


The Cardiothoracic Surgery Research Laboratory at Baylor College of Medicine is seeking to recruit a highly motivated postdoctoral associate to study the molecular mechanisms of vascular injury, repair and remodeling. We use different techniques in molecular biology, biochemistry, cell biology, vascular biology, and bioengineering in our comprehensive investigation of signal transduction and gene expression regulation during the disease process. The position is funded by an NIH grant and starts immediately.

Design and conduct research experiments.
Maintain and generate mouse strains.
Perform small surgeries in mouse models.
Evaluate vascular structure and function.
Perform experiments investigating signal transduction and gene expression regulation in controlling vascular cell functions. '
Oversee the maintenance of lab equipment and environment.
Skill:

Qualified candidate must have strong work ethic as well as excellent organizational, multi-tasking, problem-solving, and communication skills.


Required: MD or PhD.

Required: Three to four years’ experience in biological science.

Preferred: Extensive experience in molecular biology and cell biology techniques, or generating mouse strains, and in performing small surgeries and vascular phenotype analysis."
5,Postdoctoral Fellow,Houston Methodist Research Institute/Weill Cornell Medical School,Houston,TX,"We are looking for two postdoctoral fellows with strong background in cancer biology, stem cell biology, bioengineering or pharmacology to develop a new small...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=f2abcb52b35855aa&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"Postdoctoral position in stem cell biology and cancerOur laboratory studies multiple aspects of the stem cell biology, employing techniques in genetics, genomics, molecular biology, cell biology, and biochemistry. We are currently focusing on understanding mechanisms that promote cancer stem cell survival and self-renewal in medulloblastomas and glioblastomas, using genetically defined mouse models, PDX models, and primary human cancer stem cell cultures. We are looking for two postdoctoral fellows with strong background in cancer biology, stem cell biology, bioengineering or pharmacology to develop a new small molecule inhibitor and a new diagnostic device using patient tumor material. In addition we are looking for a postdoctoral fellow with strong background in DNA damage repair, stem cell biology, and genomics (ChIP-seq, RNA-seq, ATAC-seq) to study differential vulnerabilities of different cell types to cellular transformation in vivo.Houston Methodist Research Institute (HMRI) is a non-profit, academic research institute that provides a unique translational research opportunity. HMRI is located in the Houston Medical Center, adjacent to Rice University, Baylor College of Medicine and MD Anderson Cancer Center, providing ample opportunities to interact with researchers in diverse backgrounds. Candidates must have passion for science, strong work ethics, and excellent interpersonal and organizational skills. Salary will be commensurate with established NIH guidelines. Candidates with an M.D., Ph.D. or equivalent degree with previous experience in stem cell biology and cancer research with strong molecular biology, biochemistry, and cell biology skills are encouraged to apply.Job Type: Full-timeRequired education:Doctorate"
6,Postdoctoral Research Associate,Rice University,Houston,TX,Position Information Job Title Postdoctoral Research Associate Department Bioengineering Full Time/Part Time Full-Time Requisition Number P17041 Open,29.760988,-95.36264,http://www.indeed.com/viewjob?jk=659edd183433015b&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"Position Information
"
7,Associate Professor,Baylor College of Medicine,Houston,TX,"A basic research program in VWF, endothelial cells, coagulation factor VIII, and complement biochemistry in the Bioengineering Department at Rice University is...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=8236732c02f692be&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"Pediatrics - Hematology-Oncology


The Texas Children’s Hematology Center in the Department of Pediatrics, Baylor College of Medicine is seeking a Tenure Track, Associate Professors conduct laboratory research in the area of hemostasis and thrombosis. Individuals with special research interest in von Willebrand factor (VWF), von Willebrand disease, coagulation proteins, platelets, and vascular biology are strongly encouraged to submit applications.


Existing research programs at Baylor College of Medicine include: clinical research in new anti-thrombotic agents; and basic research in the biochemistry and molecular biology of VWF, other proteins important in Hemostasis-Thrombosis, and endothelial cells. A basic research program in VWF, endothelial cells, coagulation factor VIII, and complement biochemistry in the Bioengineering Department at Rice University is affiliated with the Hematology Center at Texas Children’s Hospital and Baylor College of Medicine


Qualifications/requirements for this position include: an M.D. and/or PhD. degree, research experience in hemostasis-thrombosis as described above and a strong record of external funding and relevant publications. Salary and start-up package will be commensurate with qualifications and prior experience."
8,Postdoctoral Research Fellow,Houston Methodist Research Institute/Weill Cornell Medical School,Houston,TX,Candidates will collaborate with teams from the University of Washington Departments of Bioengineering (Folch lab) and Genome Sciences and Pathology (Monnat lab...,29.760988,-95.36264,http://www.indeed.com/viewjob?jk=3cf0fd4b071e5bb9&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"Postdoctoral Fellowships to develop pre-clinical testing device for personalized cancer therapy.Postdoctoral fellowship positions are immediately available in the Rostomily lab which is relocating to the Houston Methodist Research Institute from the University of Washington. Candidates are sought who have a strong interest in adding to our understanding of basic cancer biology and the role of pre-clinical testing as it applies to the paradigm of precision cancer medicine. Two positions are available to develop and characterize clinical applications of a novel microfluidic platform for pre-clinical testing drug sensitivities on patient–derived brain tumor samples. The projects focus on the optimization, characterization and application of 2 different pre-clinical platforms for testing in the microfluidic device; i) patient-derived organotypic slice cultures, and ii) tissue engineering of patient derived 3D tumor cultures. The candidate will optimize culture techniques and characterize cellular and molecular features as they relate to parental tissues and response profiles of single or combinatorial agents as they compare to conventional cell culture and xenograft models. Candidates are sought who have experience in the fields of cancer biology, neurobiology or tissue engineering and specific expertise in some of the following areas: organotypic slice culture, tissue engineering and/or bioprinting of 3D cancer or tissue models, acquisition and processing of primary human tumor tissue, generation of glioma stem cell (GSC) lines and PDX models, genomic profiling to identify driver mutations, high-throughput drug screens of GSC or cancer cell lines, automated cell-death and proliferation readouts, confocal microscopy, ex vivo dose-response analyses, and comparative analysis of therapeutic responses in vitro, ex vivo (slice culture) and in vivo models. Candidates will collaborate with teams from the University of Washington Departments of Bioengineering (Folch lab) and Genome Sciences and Pathology (Monnat lab) where the microfluidic devices are produced.Job Type: Full-timeJob Location:Houston, TXRequired education:Doctorate"
9,Dean of Engineering,Rice University,Houston,TX,"Bioengineering, Chemical and Biomolecular Engineering, Civil and Environmental Engineering, Computational and Applied Mathematics, Computer Science, Electrical...",29.760988,-95.36264,http://www.indeed.com/viewjob?jk=2c81a6ba5838fe59&qd=1vHU8bY0zJlP3i697aWcB3gXsgrR5twmxzdPvSksfNg6lyM1Q148jTuPIU67dzmfKwI1jZPxsPayOjToteSBWLUXMGerounx0JIb8RVSphSQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2n8o6haagplc45,"Position Information
"
