,Job title,company,city,state,education level/skills required / responsibilities,longitude,latitude,url,job summary
0,General Dentist,bty Dental Group,Anchorage,AK,"We are looking for someone who is responsible, self-motivated, and passionate about dentistry. We are a general dentistry practice offering IV sedation, oral...",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=e831290201ee7469&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11DLgcokI-fGQGp8Zvfpm7YW4sed_B409yGO7n1RwvBbDC-vbHUwLvT-av2hDIWYUOptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2ndcdi6a4d6clh,"bty Dental Group is located in beautiful Anchorage, Alaska, a thriving community with a population of approximately 300,000 people. We are a general dentistry practice offering IV sedation, oral surgery, endodontics, implants, pediatrics and periodontal treatment. We are looking to hire a full time dentist for our rapidly expanding practice. bty Dental Group offers a friendly and knowledgeable work environment with the opportunity for improvement and advances. Our office is very fast paced and we would like someone with the desire to learn and grow. We are looking for someone who is responsible, self-motivated, and passionate about dentistry. Potential employees must embody a 'team player' attitude and the drive to succeed. This is a wonderful employment opportunity for those stepping out into the dentistry workforce looking for a rewarding and fulfilling career.Please contact Shey Khoo/Human Resources Department at (907)333-6666 for more information. We would love to hear from you!For more information, please visit our website at www.btydental.com or you can send your updated resume by responding to this job ad.Job Type: Full-timeRequired education:Bachelor'sRequired experience:General Dentist: 1 yearRequired license or certification:DDS or DMD"
1,Human Resources Assistant,bty DENTAL,Anchorage,AK,"We are looking for someone who is responsible, self-motivated, and passionate about dentistry. We are a general dentistry practice offering IV sedation, oral...",61.217033,-149.86264,http://www.indeed.com/viewjob?jk=4179c0af084cfa0f&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11DLgcokI-fGQGp8Zvfpm7YW4sed_B409yGO7n1RwvBbDC-vbHUwLvT-av2hDIWYUOptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2ndcdi6a4d6clh,"bty Dental Group is located in beautiful Anchorage, Alaska, a thriving community with a population of approximately 300,000 people. We are a general dentistry practice offering IV sedation, oral surgery, endodontics, implants, pediatrics and periodontal treatment. We are looking to hire a full time Human Resources Assistant for our rapidly expanding practice. bty Dental Group offers a friendly and knowledgeable work environment with the opportunity for improvement and advances. Our office is very fast paced and we would like someone with the desire to learn and grow. We are looking for someone who is responsible, self-motivated, and passionate about dentistry. Potential employees must embody a 'team player' attitude and the drive to succeed. This is a wonderful employment opportunity for those stepping out into the dentistry workforce looking for a rewarding and fulfilling career.


Please contact Shey Khoo/Human Resources Department at (907)333-6666 for more information. We would love to hear from you!


For more information, please visit our website at www.btydental.com or you can send your updated resume by responding to this job ad."
2,Dentist,bty DENTAL,Anchorage,AK,Follow standard dentistry procedures and comply with company standard operating procedures. Must be currently licensed to practice dentistry in the State of...,61.217033,-149.8956,http://www.indeed.com/viewjob?jk=1d2968664955d5c8&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11DLgcokI-fGQGp8Zvfpm7YW4sed_B409yGO7n1RwvBbDC-vbHUwLvT-av2hDIWYUOptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2ndcdi6a4d6clh,"Job purpose
"
3,Dental Assistant I,Southcentral Foundation,Anchorage,AK,"Performs chairside assistance and related duties in all phases of restorative, prosthodontic, surgical, endodontic, interceptive orthodontic, and periodontal...",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=9a770b8ef6822c97&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11DLgcokI-fGQGp8Zvfpm7YW4sed_B409yGO7n1RwvBbDC-vbHUwLvT-av2hDIWYUOptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2ndcdi6a4d6clh,"Performs chairside assistance and related duties in all phases of restorative, prosthodontic, surgical, endodontic, interceptive orthodontic, and periodontal treatment as provided in general dentistry. In association with the itinerant dental program, the incumbent may also travel to rural field clinics to perform these duties.


This is a job progression, three job levels, designed to provide progressively more responsible and independent work experiences to participants as part of the overall assessment of their ability and capability to be assigned to critical managerial jobs within SCF. Promotion between job levels is based on performance on prior assignments and the demonstrated ability to successfully handle more progressively responsible assignments.


Minimum Qualifications:


1. High School Diploma or GED.


2. Completion of Southcentral Foundations Dental Assistant Training Program, or completion of a Commission on Dental Accreditation (CODA) program or Dental Assisting National Board certification.


3. Completion of Basic Life Support (BLS) Certification required within thirty (30) days of hire."
4,Dentist,Southcentral Foundation,Anchorage,AK,Completion of an approved residency training program preferred and required for specialty dentistry positions....,61.217033,-149.8956,http://www.indeed.com/viewjob?jk=a665620736836676&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11DLgcokI-fGQGp8Zvfpm7YW4sed_B409yGO7n1RwvBbDC-vbHUwLvT-av2hDIWYUOptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2ndcdi6a4d6clh,"Responsible for performing a broad range of duties in the treatment of dental diseases requiring knowledge and experience to perform independently.

Minimum Qualifications:
1. Graduation from an accredited dental school.

2. Current Alaska licensure or current State licensure (for Corp staff) to practice dentistry.

3. Completion of an approved residency training program preferred and required for specialty dentistry positions. Must be board certified or board eligible.

4. Certification in BLS is required.

5. ACLS, NRP, ATLS, ALSO and PALS as required for specialty."
5,Oral Surgeon,Southcentral Foundation,Anchorage,AK,Completion of an approved residency training program preferred and required for specialty dentistry positions....,61.217033,-149.8956,http://www.indeed.com/viewjob?jk=796a60fc95d920aa&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11DLgcokI-fGQGp8Zvfpm7YW4sed_B409yGO7n1RwvBbDC-vbHUwLvT-av2hDIWYUOptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2ndcdi6a4d6clh,"Responsible for performing a broad range of duties in the treatment of dental diseases requiring knowledge and experience to perform independently.


Minimum Qualifications:


1. Graduation from an accredited dental school.


2. Current Alaska licensure or current State licensure (for Corp staff) to practice dentistry.


3. Completion of an approved residency training program preferred and required for specialty dentistry positions. Must be board certified or board eligible.


4. Certification in BLS is required.


5. ACLS, NRP, ATLS, ALSO and PALS as required for specialty."
6,Dental Assistant Specialty I,Southcentral Foundation,Anchorage,AK,"Performs dental assistance and related duties for general dentistry, oral surgeons, orthodontics and pediatric dentistry as assigned....",61.182312,-149.7959,http://www.indeed.com/viewjob?jk=3efd570b55bc6a39&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11DLgcokI-fGQGp8Zvfpm7YW4sed_B409yGO7n1RwvBbDC-vbHUwLvT-av2hDIWYUOptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2ndcdi6a4d6clh,"Performs dental assistance and related duties for general dentistry, oral surgeons, orthodontics and pediatric dentistry as assigned. In association with the itinerant dental program, the incumbent may also travel to rural field clinics to perform these duties.


This is a job progression, three job levels, designed to provide progressively more responsible and independent work experiences to participants as part of the overall assessment of their ability and capability to be assigned to critical managerial jobs within SCF. Promotion between job levels is based on performance on prior assignments and the demonstrated ability to successfully handle more progressively responsible assignments.


Minimum Qualifications:


1. High School Diploma or GED.


2. Completion of Southcentral Foundations Dental Assistant Training Program or completion of a Commission on Dental Accreditation program or Dental Assisting National Board certification.


3. Completion of Basic Life Support (BLS) Certification required within thirty (30) days of hire.


Additional Qualifications for Dental Assistant Specialty II; meets all requirements of Dental Assistant Specialty I in addition to the following:


For Oral Surgery, (2 years) initial oral surgery training plan and DAANCE certified.

For Pediatrics, two (2) years of Pediatrics experience or initial Pediatrics training plan successfully completed.

For Orthodontics, two (2) year of orthodontic experience or initial orthodontic training plan successfully completed.

For Endodontics, two (2) year of endodontic experience or initial endodontic training plan successfully completed.

For Prosthodontics, two (2) year of prosthodontic experience required and initial prosthodontic training plan completed."
7,Dental Assistant,Dr. Pauli's Practice,Anchorage,AK,F/T DENTAL ASSISTANT (General Dentistry) Dr. Richard Pauli is currently seeking a professional and experienced dental assistant and administrative professional...,61.18924,-149.85895,http://www.indeed.com/viewjob?jk=32f31fea204538c8&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11DLgcokI-fGQGp8Zvfpm7YW4sed_B409yGO7n1RwvBbDC-vbHUwLvT-av2hDIWYUOptQI94s5DsPOzRyYMc52A&indpubnum=336274463762899&atk=1b2ndcdi6a4d6clh,"F/T DENTAL ASSISTANT (General Dentistry) Dr. Richard Pauli is currently seeking a professional and experienced dental assistant and administrative professional to work in his family centered general dentistry clinic. You must be honest, self-driven, multi-tasker, detail attentive, patient centered, and have an all-around positive demeanor that will reflect throughout our office. We have both new and life long, wonderful patients and a staff that takes great pride in the care and comfort of each and every one of them. Minimum Experience Required: *3-years dental assisting in general practice. *High School Diploma or Equivalent*Ability to pass a pre-employment background check.*Knowledge of DentrixHours: Full-time, flex-schedule approved by the State of Alaska Labor Commission. *Mon-Thur: 8am-5pm*Fridays: 8am-1pmOvertime is paid anything after 9hrs a day. Benefits Include: Vacation pay, dental care for employee and dependent children, Retirement planning (SIMPLE Plan) with 3% employer match and 6 paid holidays. Pay is hourly and we compensate very generously for experienced staff. HOW TO APPLY: If you believe yourself to be a good fit for our office, please send your cover letter and resume via fax to 907-563-1136 Attn: CynthiaJob Type: Full-timeJob Location:Anchorage, AK 99508Required education:High school or equivalentRequired experience:Dental Assisting: 3 yearsRequired license or certification:Driver's License"
8,Front Desk Receptionist,AJRIVAS DENTAL,Jacksonville,FL,"Leading team in providing optimum dentistry and patient care. A position In the front office to interact with patients, building trusting relationships with...",30.32967,-81.65385,http://www.indeed.com/viewjob?jk=87b65006715e93da&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11e_t9aBmwJmrPX0lC339zp5j_nBsqZ3RGLXGpbnJGOpeRH9cnIgLnvmMzj2sSdiUCQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2ndcm2aagsqf23,"A position In the front office to interact with patients, building trusting relationships with them while providing excellent patient care.Leading team in providing optimum dentistry and patient care. Insurance filing and follow up. Patient aging and collections. Treatment Plan presentation and finance. Excellent phone skillsJob Type: Full-timeRequired education:High school or equivalentRequired experience:Front desk: 2 yearsRequired language:Spanish is a plus"
9,REGISTERED NURSE SUPERVISOR,PeopleFirst Florida HR,Jacksonville,FL,". OCCUPATION PROFILE JOB FAMILY: HEALTHCARE PRACTITIONERS OCCUPATIONAL GROUP: DIAGNOSING & TREATMENT PRACTITION, HLTH OCCUPATION: REGISTERED NURSES...",30.32967,-81.65385,http://www.indeed.com/viewjob?jk=cfb1f9e9d7633a75&qd=1vHU8bY0zJlP3i697aWcB_o045uyua1kbM6jrjWJz11e_t9aBmwJmrPX0lC339zp5j_nBsqZ3RGLXGpbnJGOpeRH9cnIgLnvmMzj2sSdiUCQhwggWUZEvHtN5OcDtAPb&indpubnum=336274463762899&atk=1b2ndcm2aagsqf23,".


OCCUPATION PROFILE


JOB FAMILY: HEALTHCARE PRACTITIONERS


OCCUPATIONAL GROUP: DIAGNOSING & TREATMENT PRACTITION, HLTH


OCCUPATION: REGISTERED NURSES


BROADBAND LEVEL CODE: 29-1141


BROADBAND LEVELS: Level 1 – Pay Band 006


Level 2 – Pay Band 008


Level 3 – Pay Band 009


Level 4 – Pay Band 010


REQUIREMENTS


This supervisory position provides professional nursing services in the care and treatment of patients within a DOH-Duval health care center. Works under the supervision of and professional guidance of the Executive Community Health Nursing Director. This position supervises a team of Health Service Technicians and Registered Nurses providing treatment, care, health education and triage to women of child bearing age, pregnant women and children from infants to age 18 years. Will also be required to cover other Duval DOH clinics in the absence of the assigned supervisor in that area.


Must have a valid Florida Registered Nurse license.


Must have at least on year experience working with children in a medical setting.


Must have at least one year of experience drawing blood from adults and children.


Must have experience working with underprivileged individuals.


Must have experience working in an environment with multiple medical providers seeing patients.


Bilingual in English/Spanish is preferred.


All applications must be completed online through People First. No faxed or mailed applications will be accepted by the agency.


**NOTE: All responses provided to the qualifying questions for this vacancy advertisement must be verifiable on your State of Florida, Employment Application. **


This position requires a security background check, drug screening and participation in direct deposit.


Note: You will be required to provide your Social Security Number (SSN) in order to conduct this background check.


Male applicants born on or after October 1, 1962, will not be eligible for hire or promotion unless they are registered with the Selective Services System (SSS) before their 26th birthday, or have a Letter of Registration Exemption from the SSS. For more information, please visit the SSS website: http://www.sss.gov


If you are a retiree of the Florida Retirement System (FRS), please check with the FRS on how your current benefits will be affected if you are re-employed with the State of Florida. Your current retirement benefits may be canceled, suspended or deemed ineligible depending upon the date of your retirement.


The successful candidate will be required to complete the Form I-9 and that information will be verified using the E-Verify system. E-Verify is operated by the Department of Homeland Security in partnership with the Social Security Administration to verify employment eligibility.


Incumbents may be required to perform emergency duty before, during, and/or beyond normal work hours or days.


EXAMPLES OF WORK


Supervises employees by assigning work, reviewing progress and assessing performance.


Responds to special directions and instructions during emergency operations.


Provides health care, first aid, and immunization.


Observes patient's skin color, dilation of pupils, and computerized equipment to monitor vital signs.


Records patient's medical information and vital signs.


Administers local, inhalation, intravenous, and other anesthetics.


Prepares patients for and assists with and/or performs examinations.


Orders, conducts, interprets, and/or evaluates diagnostic tests to identify and assess patient's condition.


Prepares rooms, sterile instruments, equipment and supplies, and assists physician.


Prescribes or recommends drugs or other forms of treatment, such as physical therapy, inhalation therapy, or related therapeutic procedures.


Provides prenatal and postnatal care to obstetrical patients under supervision of physician.


Discusses cases with physician.


Informs physician of patient's condition.


Administers stipulated emergency measures, and contacts clinician when deviations from standard are encountered during pregnancy or delivery.


Consults with and/or provides technical assistance to public and private entities concerning health care.


Instructs on topics, such as health education, disease prevention, child birth, and home nursing and develops health improvement programs.


Delivers infants and performs postpartum examinations and treatment.


Refers students or patients to community agencies furnishing assistance and collaborates with agencies.


Conducts specified laboratory tests.


Maintains stock of supplies.


Directs and coordinates health care programs.


Develops, negotiates and implements public/private partnerships.


Performs grant writing and/or contract management activities.


Conducts inspections or programmatic evaluations and writes reports of findings, recommendations and corrective actions.


Monitors the quality of care or standards of practice to ensure compliance with state and federal requirements.


Develops policies, procedures, rules and/or legislation.


Develops or selects curriculum and prepares pamphlets, manuals, visual aids, course outlines, and other materials used in teaching.


Writes research reports and other publications to document and communicate program activities or research findings.


Prepares and justifies budgets for health care programs/services. Monitors, analyzes and coordinates expenditures within allocation.


EXAMPLES OF JOB CHARACTERISTICS


Monitor Processes, Material, Surroundings


Monitoring and reviewing information from materials, events, or the environment, often to detect problems or to find out when things are finished.


Documenting/Recording Information


Entering, transcribing, recording, storing, or maintaining information in either written form or electronic/magnetic recording.


Communicating With Other Workers


Providing information to supervisors, fellow workers, and subordinates. This information can be exchanged face-to-face, in writing, or via telephone/electronic transfer.


Getting Information Needed to Do the Job


Observing, receiving, and otherwise obtaining information from all relevant sources.


Assisting and Caring for Others


Providing assistance or personal care to others.


Updating and Using Job-Relevant Knowledge


Keeping up-to-date technically and knowing one's own jobs' and related jobs' functions.


Establishing and Maintaining Relationships


Developing constructive and cooperative working relationships with others.


Performing General Physical Activities


Performing physical activities that require moving one's whole body, such as in climbing, lifting, balancing, walking, stooping, where the activities often also require considerable use of the arms and legs, such as in the physical handling of materials.


Making Decisions and Solving Problems


Combining, evaluating, and reasoning with information and data to make decisions and solve problems. These processes involve making decisions about the relative importance of information and choosing the best solution.


Identifying Objects, Actions, and Events


Identifying information received by making estimates or categorizations, recognizing differences or similarities, or sensing changes in circumstances or events.


EXAMPLES OF KNOWLEDGE, SKILLS AND ABILITIES


Speaking


Talking to others to effectively convey information


Service Orientation


Actively looking for ways to help people


Social Perceptiveness


Being aware of others' reactions and understanding why they react the way they do


Judgment and Decision Making


Weighing the relative costs and benefits of a potential action


Reading Comprehension


Understanding written sentences and paragraphs in work related documents


Coordination


Adjusting actions in relation to others' actions


Management of Personnel Resources


Motivating, developing, and directing people as they work, identifying the best people for the job


Critical Thinking


Using logic and analysis to identify the strengths and weaknesses of different approaches


Active Listening


Listening to what other people are saying and asking questions as appropriate


Problem Identification


Identifying the nature of problems


Writing


Communicating effectively with others in writing as indicated by the needs of the audience


Mathematics


Using mathematics to solve problems


Problem Identification


Identifying the nature of problems


Medicine and Dentistry


Knowledge of the information and techniques needed to diagnose and treat injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures


Biology


Knowledge of plant and animal living tissue, cells, organisms, and entities, including their functions, interdependencies, and interactions with each other and the environment


Customer and Personal Service


Knowledge of principles and processes for providing customer and personal services including needs assessment techniques, quality service standards, alternative delivery systems, and customer satisfaction evaluation techniques


Chemistry


Knowledge of the composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods


Therapy and Counseling


Knowledge of information and techniques needed to rehabilitate physical and mental ailments and to provide career guidance including alternative treatments, rehabilitation equipment and its proper use, and methods to evaluate treatment effects


English Language


Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar


Education and Training


Knowledge of instructional methods and training techniques including curriculum design principles, learning theory, group and individual teaching techniques, design of individual development plans, and test design principles


Psychology


Knowledge of human behavior and performance, mental processes, psychological research methods, and the assessment and treatment of behavioral and affective disorders


Administration and Management


Knowledge of principles and processes involved in business and organizational planning, coordination, and execution. This may include strategic planning, resource allocation, manpower modeling, leadership techniques, and production methods


Communications and Media


Knowledge of media production, communication, and dissemination techniques and methods including alternative ways to inform and entertain via written, oral, and visual media


Computer


Knowledge of computer software including applications


Mathematics


Knowledge of numbers, their operations, and interrelationships including one or more of the following: arithmetic, algebra, geometry, calculus, statistics, and their applications


The State of Florida is an Equal Opportunity Employer/Affirmative Action Employer and does not tolerate discrimination or violence in the workplace.


Applicants requiring a reasonable accommodation, as defined by the Americans with Disabilities Act, must notify the agency hiring authority and/or People First Service Center (1-877-562-7287). Notification to the hiring authority must be made in advance to allow sufficient time to provide the accommodation.


The State of Florida supports a Drug-Free workplace. All employees are subject to reasonable suspicion drug testing in accordance with Section 112.0455, F.S., Drug-Free Workplace Act.


VETERANS’ PREFERENCE DOCUMENTATION REQUIREMENTS HAVE RECENTLY CHANGED.
To obtain revised and updated information on Veterans’ Preference documentation requirements, click
here
.
Pursuant to Chapter 295, Florida Statutes, applicants eligible for Veterans’ Preference will receive preference in employment for Career Service vacancies and are encouraged to apply. However, applicants claiming Veterans’ Preference must attach supporting documentation with each application submission that includes character of service (for example, DD Form 214 Member Copy #4) along with any other documentation as required by Rule 55A-7, Florida Administrative Code. All documentation is due by the close of the vacancy announcement. Applicants may also fax their supporting documentation to People First at 1-888-403-2110.


LICENSURE, CERTIFICATION OR REGISTRATION REQUIREMENTS


This occupation requires licensure as a Registered Professional Nurse in accordance with Chapter 464, Florida Statutes and in accordance with Rule 64B9, Florida Administrative Code.


EFFECTIVE:
03/17/2003


History:


07/01/2002


01/02/2015 Code change from 29-1111"
