,Job title,company,city,state,education level/skills required / responsibilities,longitude,latitude,url,job summary
0,Natural Resource Specialist II,Workplace Alaska,Juneau,AK,"A bachelor's degree from an accredited college in a natural resource field (such as forestry, geology, agronomy, and hydrology), public administration, planning...",58.29945,-134.41759,http://www.indeed.com/viewjob?jk=46276f077df38b7d&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnxOgtauA1BM95ssjpznPJegmI0WSOTp2B9d8f-GHLM96TIeVSY-8bZhd9EK7tST04I&indpubnum=336274463762899&atk=1b2neosvqafdbaj8,"Hiring Restriction Exemption
"
1,Environmental Scientist,Bristol Alliance of Companies,Anchorage,AK,"Bachelor’s Degree in Chemistry, Environmental Science, Biology, Geology or related field. Bristol Environmental Remediation Services, LLC is seeking an...",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=13f3c5e020a7b912&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"Bristol Environmental Remediation Services, LLC is seeking an Environmental Scientist in Anchorage, AK. Responsibilities include preparing planning documents and reports; preparing for field sampling activities; field logistics; performing investigations/assessments, site characterizations, and remediation work; documenting all field activities; assisting the Project Manager in obtaining subcontractors, and providing subcontractor oversight.


Major Responsibilities

1. Prepare Planning Documents and Reports for environmental projects including preliminary assessments. site inspections, remedial investigations, feasibility studies, site characterizations, and remediation projects.

2. Perform Field Sampling Activities – Identifying, maintaining and calibrating required equipment for field activities; field screening and collecting environmental samples including soil, groundwater, air, sediment, and surface water samples for field screening and laboratory analysis; site reconnaissance, slug testing, gauging and product removal; performing all field work in accordance with local and federal laws, and in a safe manner.

3. Perform Field Logistics - Coordinate with subcontractors; perform utility locates, mobilize and demobilize to/from the work site (work includes travel and field activities throughout Alaska including extended field efforts in remote locations and the Lower 48); and sample shipping.

4. Supervise Subcontractors - including drillers, geophysical surveyors, excavation service providers, laboratories, land surveyors, etc; direct the installation and development of monitoring and remediation wells

5. Document Field Activities - Record field data, analyze and interpret findings; compile and complete field notes; organize and file data (electronically).


Education


• Bachelor’s Degree in Chemistry, Environmental Science, Biology, Geology or related field.

• 2 years’ professional experience performing work plan development in accordance with USACE Alaska District requirements.

• 2 years’ experience performing environmental field sampling in accordance with ADEC requirements and procedures. Must meet minimum requirements for ADEC approved sampler in accordance with 18 ACC.

• Must have experience writing work plans for the USACE Alaska District in accordance with both standard and UFP-QAPP format requirements/procedures.

• Must have experience conducting multi-media sampling collection in accordance with ADEC regulations and USACE Alaska District procedures

• Commit to field schedules ranging from 1 day to 6 weeks in a variety of weather conditions throughout Alaska and the Lower 48 (typically 1 – 3 weeks per trip). Travel up to 50% of the time.


Experience


See above.


Special Requirements/Certifications


• Demonstrated experience in care, maintenance, calibration and use of environmental field instruments and familiarity with GPS survey data collection.

• Ability to gather and analyze USACE Alaska District Manual for Electronic Deliverable (MED) compliant data, reason logically and creatively, draw conclusions and make scientifically defensible recommendations.

• Excellent writing, organizational, and computer skills (Excel and Word). Demonstrated experience receiving ADEC and USACE Alaska District approval of deliverables.

• Ability to prioritize and organize, work well under stress, to meet deadlines.

• Ability to be flexible and adapt to challenging field environments and constant change.

• Strong interpersonal skills to assist and communicate with supervisors and staff.

• Demonstrated ability to perform tasks in a safe and responsible manner.

• Working knowledge of federal, state and local environmental regulations.

• Demonstrated experience with ADEC field screening requirements, incremental and discrete sampling techniques, and proper sample handling, labeling, packaging and shipping requirements.

• Demonstrated experience working around heavy equipment and drilling operations


Preferred Knowledge or Skills:

HAZWOPER, DOT/IATA Hazmat certifications.

AK CESCL certification.


Measures for Performance

Conduct fieldwork in accordance with applicable regulations (40%)

Document site activities in a comprehensive manner with no data gaps (25%)

Prepare well-written plans and reports on schedule (25%)

Safety (10%)


Physical Requirements


• Medium physical workload.

• Employee must be able to exert up to 50 pounds of force occasionally and/or up to 20 pounds of force frequently and up to 10 pounds of force constantly to lift, carry, push, pull or otherwise move objects, including the human body.

• Required to have close visual acuity to perform activities such as viewing a computer terminal and extensive reading.

• Specific physical requirements include, but are not limited to, climbing, balancing, stooping, kneeling, reaching, walking, lifting, grasping, talking, hearing and performing repetitive motions.

• The worker is subject to both inside and outside environmental conditions. The worker is subject to a variety of physical conditions – proximity to moving mechanical parts, moving vehicles, exposure to arctic working conditions or exposure to chemicals.

• The worker is subject to atmospheric conditions – fumes, odors, dusts, mist, gases, or poor ventilation.

• Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


Benefits

Excellent salary and benefit package to include: paid time off (vacation/sick), paid holidays, comprehensive health insurance plan including medical, dental, and vision, life insurance, long term disability insurance; 401(k) plan with employer match and profit sharing."
2,Mine Technician,Teck Resources Limited,Anchorage,AK,"Coordinate work and communication between Mine Planning, Blasting, Geology and Mine Operations. Provide geological surveying services to direct, control and...",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=27063dc060b61617&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"Overview
Reporting to the Senior Mine Production Engineer, the Mine Technician provides survey control and maintains real time systems to meet the overall design concept, provided by Engineering and Geology, or other groups while maintaining standards set for the department through suitable controls and specifications. Responsibilities:
Be a courageous safety leader, adhere to and sponsor safety and environmental rules and procedures
Provide production surveying services to direct mining activities to follow plans supplied by the operations and planning groups.
Provide geological surveying services to direct, control and monitor the work plans supplied by the Geology group
Maintain accurate survey records showing all stations, outlines, diamond drill hole colors and detail pickups
Coordinate work and communication between Mine Planning, Blasting, Geology and Mine Operations
Maintain and troubleshoot engineering, operating and maintenance systems including;
Mine Equipment Tracking System (WENCO)
Dozer High Precision GPS System (Trimble)
Drill Navigation (Terrain)
Wireless Networks and other GPS Systems
Prepare, upload and download files to mobile field systems
Coordinate activities and communicate with the Electronic Technician, Mine Technicians, the Real Time Systems group, Mine Operations, IS Department and Engineering Group Qualifications:
Must have a High School Diploma or equivalent
Must have a working knowledge of computers, survey software, and surveying equipment (Minesight 3-D, AutoCAD, Trimble Business Center)
Have knowledge of calculations, boundary closures, vertical bench loop closures and adjustments, the production of as-builts maps, blast hole maps, and utility as-built maps
Must be proficient in MS Office Suite and Windows environment with intermediate abilities in Excel
Strong organizational skills and an eye for detail
Analytically minded, with strong problem-solving skills
Interpersonal and communication skills, both written and oral
Able to work with minimal supervision and be willing to work outdoors with a potential exposure to extreme climatic conditions
Must have a valid drivers license We wish to thank all applicants for their interest and effort in applying for the position; however, only candidates selected for interviews will be contacted. Your application to this posting is deemed to be your consent to the collection, use and necessary disclosure of personal information for the purposes of recruitment. Teck respects the privacy of all applicants and the confidentiality of personal information. Teck is a diversified resource company committed to responsible mining and mineral development with major business units focused on copper, steelmaking coal, zinc and energy. Headquartered in Vancouver, Canada, its shares are listed on the Toronto Stock Exchange under the symbols TCK.A and TCK.B and the New York Stock Exchange under the symbol TCK. Further information about Teck can be found at www.teck.com ."
3,"Mine Technician, Coal Quality",Teck Resources Limited,Anchorage,AK,"Ensure the geophysical logging of blast hole drill holes is complete, with support from the Geology team Qualifications:....",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=fa53eb44c70000ea&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"Overview

We are currently seeking an individual in the role of:
Mine Technician, Coal Quality Reporting to the Senior Geologist Supervisor, the Mine Technician will work closely with the Engineering, Processing and Mine Operations teams to effectively recover and blend the coal released in the mining process. This role is an integral member of Elkviews engineering team and will be on 4 days on, 4 days off rotation based primarily in the field. The successful candidate will continue building their experience as a technician by becoming an expert in coal recovery and geology specific to Elkview. Responsibilities:

Be a courageous safety leader, adhere to and sponsor safety and environmental rules and procedures
Provide technical support to the Engineering, Processing and Mine Operations teams
Develop and execute seam sampling and geological mapping programs with support from the Short Range Geologist to ensure plant feed quality expectations are achieved
Provide relevant geological information to Mine Operations and Processing Operations personnel
Make daily field visits to all coal faces to ensure coal cleaning, recovery and stockpiling expectations are being met
Work daily with Processing to troubleshoot feed problems, adjust feed blends as needed while also considering the needs of the Mine Plan
Ensure the geophysical logging of blast hole drill holes is complete, with support from the Geology team Qualifications:

Two year diploma from a technical college in mineral resource development, mining or civil engineering, geodetic science, or a related field is preferred, although other combinations of education and experiences will also be considered.
Experience in MS Office Suite® and Minesight 3D
Preference will be given to candidates who have previous field based experience
Strong organization, self-motivation, communication and interpersonal skills are required
Ability to be flexible and handle multiple priorities
Ability to work collaboratively with others, and excel in a team based environment
At Teck, we value diversity. Our teams work collaboratively and respect each person's unique perspective and contribution. All applicants are requested to attach their cover letter and Resume as one document. We wish to thank all applicants for their interest and effort in applying for the position; however, only candidates selected for interviews will be contacted. Your application to this posting is deemed to be your consent to the collection, use and necessary disclosure of personal information for the purposes of recruitment. Teck respects the privacy of all applicants and the confidentiality of personal information. Teck is a diversified resource company committed to responsible mining and mineral development with major business units focused on copper, steelmaking coal, zinc and energy. Headquartered in Vancouver, Canada, its shares are listed on the Toronto Stock Exchange under the symbols TCK.A and TCK.B and the New York Stock Exchange under the symbol TCK. Teck has been named to the Dow Jones Sustainability World Index (DJSI) for the sixth straight year, indicating that Tecks sustainability practices rank in the top 10 per cent of the worlds 2,500 largest public companies. Further information about Teck can be found at www.teck.com ."
4,Geologist-2,Jacobs,Anchorage,AK,"Review procedures for compliance with environmental regulations. BS or MS in geology, geophysics, geography, soil science or other related field of study...",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=cd4136a962e09eae&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"The Geologist will provide technical, scientific support for environmental investigation and remediation projects including all phases of planning, characterization, data analysis, work planning and report writing. This position will use knowledge of general application of principles, theories, concepts, and industry practices and standards to perform work of moderate scope and complexity. Works under general supervision; work is reviewed for adequacy and accuracy.

Review procedures for compliance with environmental regulations
Developing and writing statements of work, work plans, and reports
Preparing reports of studies for information of others, and assists in preparation of cost estimates
Performing technical tasks and assisting with the execution of scientific programs under the supervision of a project manager
Interact with project managers and subcontractors as well as project controls, administrative and safety staff
Can competently perform all conventional geologist assignments as required
"
5,Logger,Nabors Industries,Anchorage,AK,Degree in Geology and/or 5+Years’ Experience in a related field. Strong written and verbal communication skills....,61.217033,-149.8956,http://www.indeed.com/viewjob?jk=b5994baf152d2079&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"Are you seeking an opportunity to show your exceptional skills and knowledge? Are you looking for a company which provides you with dynamic and challenging work environment every single day? If yes, look no further.... We are probing for individuals who are skilled, knowledgeable and are ready to work in a fast paced environment to deliver top notch solutions to cater business needs.


• About Nabors

"
6,Environmental Scientist,Bristol Companies,Anchorage,AK,"Bachelor’s Degree in Chemistry, Environmental Science, Biology, Geology or related field. Bristol Environmental Remediation Services, LLC is seeking an...",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=05c983fabde53e45&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"Bristol Environmental Remediation Services, LLC is seeking an Environmental Scientist in Anchorage, AK. Responsibilities include preparing planning documents and reports; preparing for field sampling activities; field logistics; performing investigations/assessments, site characterizations, and remediation work; documenting all field activities; assisting the Project Manager in obtaining subcontractors, and providing subcontractor oversight.


Major Responsibilities

1. Prepare Planning Documents and Reports for environmental projects including preliminary assessments. site inspections, remedial investigations, feasibility studies, site characterizations, and remediation projects.

2. Perform Field Sampling Activities – Identifying, maintaining and calibrating required equipment for field activities; field screening and collecting environmental samples including soil, groundwater, air, sediment, and surface water samples for field screening and laboratory analysis; site reconnaissance, slug testing, gauging and product removal; performing all field work in accordance with local and federal laws, and in a safe manner.

3. Perform Field Logistics - Coordinate with subcontractors; perform utility locates, mobilize and demobilize to/from the work site (work includes travel and field activities throughout Alaska including extended field efforts in remote locations and the Lower 48); and sample shipping.

4. Supervise Subcontractors - including drillers, geophysical surveyors, excavation service providers, laboratories, land surveyors, etc; direct the installation and development of monitoring and remediation wells

5. Document Field Activities - Record field data, analyze and interpret findings; compile and complete field notes; organize and file data (electronically).


Education


• Bachelor’s Degree in Chemistry, Environmental Science, Biology, Geology or related field.

• 2 years’ professional experience performing work plan development in accordance with USACE Alaska District requirements.

• 2 years’ experience performing environmental field sampling in accordance with ADEC requirements and procedures. Must meet minimum requirements for ADEC approved sampler in accordance with 18 ACC.

• Must have experience writing work plans for the USACE Alaska District in accordance with both standard and UFP-QAPP format requirements/procedures.

• Must have experience conducting multi-media sampling collection in accordance with ADEC regulations and USACE Alaska District procedures

• Commit to field schedules ranging from 1 day to 6 weeks in a variety of weather conditions throughout Alaska and the Lower 48 (typically 1 – 3 weeks per trip). Travel up to 50% of the time.


Experience


See above.


Special Requirements/Certifications


• Demonstrated experience in care, maintenance, calibration and use of environmental field instruments and familiarity with GPS survey data collection.

• Ability to gather and analyze USACE Alaska District Manual for Electronic Deliverable (MED) compliant data, reason logically and creatively, draw conclusions and make scientifically defensible recommendations.

• Excellent writing, organizational, and computer skills (Excel and Word). Demonstrated experience receiving ADEC and USACE Alaska District approval of deliverables.

• Ability to prioritize and organize, work well under stress, to meet deadlines.

• Ability to be flexible and adapt to challenging field environments and constant change.

• Strong interpersonal skills to assist and communicate with supervisors and staff.

• Demonstrated ability to perform tasks in a safe and responsible manner.

• Working knowledge of federal, state and local environmental regulations.

• Demonstrated experience with ADEC field screening requirements, incremental and discrete sampling techniques, and proper sample handling, labeling, packaging and shipping requirements.

• Demonstrated experience working around heavy equipment and drilling operations


Preferred Knowledge or Skills:

HAZWOPER, DOT/IATA Hazmat certifications.

AK CESCL certification.


Measures for Performance

Conduct fieldwork in accordance with applicable regulations (40%)

Document site activities in a comprehensive manner with no data gaps (25%)

Prepare well-written plans and reports on schedule (25%)

Safety (10%)


Physical Requirements


• Medium physical workload.

• Employee must be able to exert up to 50 pounds of force occasionally and/or up to 20 pounds of force frequently and up to 10 pounds of force constantly to lift, carry, push, pull or otherwise move objects, including the human body.

• Required to have close visual acuity to perform activities such as viewing a computer terminal and extensive reading.

• Specific physical requirements include, but are not limited to, climbing, balancing, stooping, kneeling, reaching, walking, lifting, grasping, talking, hearing and performing repetitive motions.

• The worker is subject to both inside and outside environmental conditions. The worker is subject to a variety of physical conditions – proximity to moving mechanical parts, moving vehicles, exposure to arctic working conditions or exposure to chemicals.

• The worker is subject to atmospheric conditions – fumes, odors, dusts, mist, gases, or poor ventilation.

• Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


Benefits

Excellent salary and benefit package to include: paid time off (vacation/sick), paid holidays, comprehensive health insurance plan including medical, dental, and vision, life insurance, long term disability insurance; 401(k) plan with employer match and profit sharing."
7,Senior Mine Geologist,Teck Resources Limited,Anchorage,AK,"Provides oversight of data integrity and quality ensuring all information related to the resource including data entry, results for drill hole survey, geology,...",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=dbc566ba3fc2eb6d&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"Overview
We are currently seeking an individual for the role of Senior Mine Geologist at our Pend Oreille Pb Zn Mine (POM) operation, located in northeast Washington State, USA.

Reporting to the Chief Geologist, the Senior Mine Geologist is responsible for the overall technical input into the Mine Geology team which includes two mine geologists as direct reports.

Responsibilities:
Responsibilities for the overall technical input, planning, scheduling and execution of the production drilling including identification and prioritization of opportunities for resource addition adjacent to mining areas, grade forecasting, short and long term ore zone modeling/wire-framing
Provide training, supervision, and mentorship/leadership for Mine Geology Group
Provides oversight of data integrity and quality ensuring all information related to the resource including data entry, results for drill hole survey, geology, and assays (QAQC review) and associated information are accurate and validated
Provides rapid synthesis and interpretation of large amounts of drilling data
Coordinates with Production and Grade Control Geologists to incorporate and model underground mapping and sampling data
Creates geological, structural and ore wireframes to provide to planning engineers
High level knowledge of 3D modelling software such as Leapfrog, acQuire, Minesight, Vulcan
Assists Mining Engineers by providing advice to the mine planning function regarding orebody geometry and grade tonnage potential
In collaboration with mining engineers, responsible for regular grade forecasting of pre-mining shapes
Communication and collaboration with corporate Reserve/Resource and Technical Service groups to ensure block model estimate updates are completed on a regular basis, in a timely fashion
Familiarity with geostatistical Resource/Reserve estimation methods and principles an asset
Ensures up-to-date drill planning for production and resource addition in immediate mining areas including ranking, scheduling and layout of target areas and schedules
Works closely with the Drill Rig Supervisor to ensure drill site and crew management is safe and productive and communicates with Core Technician Lead, Core Loggers and Project Geologists to ensure core logging and sampling data workflow is appropriate
Strong communication with direct Supervisors, site Engineering, Operations and other technical professionals within Exploration and Technical Services
Ensures activities are consistent with EHS policies and management systems, as guided by the Charter of Corporate Responsibility, the Code of Business, Environmental and Health and Safety Practices and the EHS Management Standards;
Promotes a safety leadership culture by ensuring that proper safety practices are followed in accordance with Tecks health and safety policies;
Actively seeks opportunities to recognize health and safety hazards, resolves safety issues and works to mitigate associated risks in the workplace.

Qualifications:
A degree in Geology or Geosciences (with professional designation preferred), minimum 8 years of experience and eligible to work in the United States
Underground Mining experience required including understanding of underground mining methods currently being used at Pend Oreille (single-pass room mining; stope mining; secondary benching and slashing)
Preferably based in Metaline Falls (or within reasonable commute), Washington State, USA on a 4x3 or 5x2 rotation
Experience with carbonate hosted (MVT) Zn-Pb mineralization is an asset.
Strong observational skills and excellent written and oral English;
Effective communication skills, written and verbal;
Can analyze data and uses logical methods to solve problems.
Good critical thinking, data analysis and problem solving skills;
Focuses on outcome and completion of all tasks and assignments.
Creates focus on priorities, sets objectives and goals, measures performance and evaluates results.
Pursues everything with energy, empowers others, and shares ownership and accountability for project outcomes.
Is receptive to feedback and takes conscious approach to learn and improve.
Can manage ones own time, sets clear objectives and monitors progress and results. Is aware of personal limitations and seeks ways to improve, is aware of how actions affect others.
Collaborates with others to develop new ideas and shares responsibility in project deliverables.

At Teck, we value diversity. Our teams work collaboratively and respect each person's unique perspective and contribution.

All applicants are requested to attach their cover letter and Resume as one document.

We wish to thank all applicants for their interest and effort in applying for the position; however, only candidates selected for interviews will be contacted.

Your application to this posting is deemed to be your consent to the collection, use and necessary disclosure of personal information for the purposes of recruitment. Teck respects the privacy of all applicants and the confidentiality of personal information.

Teck is a diversified resource company committed to responsible mining and mineral development with major business units focused on copper, steelmaking coal, zinc and energy. Headquartered in Vancouver, Canada, its shares are listed on the Toronto Stock Exchange under the symbols TCK.A and TCK.B and the New York Stock Exchange under the symbol TCK. Teck has been named to the Dow Jones Sustainability World Index (DJSI) for the sixth straight year, indicating that Tecks sustainability practices rank in the top 10 per cent of the worlds 2,500 largest public companies. Further information about Teck can be found at www.teck.com ."
8,Environmental Engineer II/III,"Ahtna, Inc.",Anchorage,AK,"Areas of specialty include engineering, geology, hydrogeology, chemistry, and biology. The Environmental Engineer is responsible for managing environmental...",61.19809,-149.88885,http://www.indeed.com/viewjob?jk=46d09cc7acb9f01e&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"Summary:
"
9,"Engineer-in-Training, Coal and Coke Quality",Teck Resources Limited,Anchorage,AK,"Assist with quality tracking and optimization through a strong understanding of mine site geology, production and planning....",61.217033,-149.8956,http://www.indeed.com/viewjob?jk=46b4a30a4970b2ad&qd=1vHU8bY0zJlP3i697aWcB8iaNnbTCsOOXyvFC6T6TnwonkzTe69_qIVT606-BjZw-2b5wq22biWWXl2l_gQZmEAIYy2ceAZKvRVjLr8u8fDqAhSzImzghGm1GoZ7nsAp&indpubnum=336274463762899&atk=1b2neottua49c8fo,"Overview
We are currently seeking an individual in the role of: Engineer-in-Training (EIT), Coal and Coke Quality Sparwood Shared Services Reporting to the Senior Engineer, Supervisor Quality, as a member of the Technical Marketing team the successful candidate will contribute to the resource quality characterization efforts, improving the consistency and quality of mine products. This position will support Marketing with evaluation of customer quality and provide an understanding on how mine processing impacts product quality. This is a development opportunity with training provided in the areas of mine quality planning and carbonization technology.

Responsibilities:
Be a Courageous Safety Leader, adhere to and sponsor safety and environmental rules and procedures
Assist with quality tracking and optimization through a strong understanding of mine site geology, production and planning
Investigate and report on key parameters impacting quality and work with the team to identify and correct data quality issues
Maintain component quality database and examine impact of changes associated with Budget and Mine plans
Familiar with operation of the Clean Coal and Raw Blenders (Linear Models) to balance inventory and meet product quality requirements
Provide technical research to assist with joint client product development and customer presentations
Develop a strong understanding of cokemaking & carbonization; including operational procedures and cokemaking principles
Collaborate with labs (internal and third party) regarding quality of the analyses

Qualifications:
Engineering degree with a concentration in Mining/Mineral Processing, Metallurgical, Chemical or Process Technology
Advanced computer skills and proficiency in statistical analysis and Microsoft Office Suite® applications such as Excel
Proven analytical skills with an ability to plan and organize resources effectively
Motivated self-starter, able to work under minimal supervision and be able to manage several projects simultaneously
Strong written, verbal and interpersonal communication skills Teck Coal offers an excellent salary and benefits package. Our organization is committed to work life balance and offers staff alternate work schedules such as an Earned Day Off schedule, making every second weekend three days long. When combined with the natural beauty and significant outdoor recreation offered in the Rocky Mountains of south eastern British, our employment opportunities are truly unmatched.
At Teck, we value diversity. Our teams work collaboratively and respect each person's unique perspective and contribution. All applicants are requested to attach their cover letter and Resume as one document. We wish to thank all applicants for their interest and effort in applying for the position; however, only candidates selected for interviews will be contacted. Your application to this posting is deemed to be your consent to the collection, use and necessary disclosure of personal information for the purposes of recruitment. Teck respects the privacy of all applicants and the confidentiality of personal information. Teck is a diversified resource company committed to responsible mining and mineral development with major business units focused on copper, steelmaking coal, zinc and energy. Headquartered in Vancouver, Canada, its shares are listed on the Toronto Stock Exchange under the symbols TCK.A and TCK.B and the New York Stock Exchange under the symbol TCK. Teck has been named to the Dow Jones Sustainability World Index (DJSI) for the sixth straight year, indicating that Tecks sustainability practices rank in the top 10 per cent of the worlds 2,500 largest public companies. Further information about Teck can be found at www.teck.com ."
