,Job title,company,city,state,education level/skills required / responsibilities,longitude,latitude,url,job summary
0,Engineering Assistant II,Workplace Alaska,Anchorage,AK,Graduate study in engineering and/or architecture may be substituted for the required experience as an Engineering Assistant I....,61.217033,-149.8956,http://www.indeed.com/viewjob?jk=7d7dec8b3184be00&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGN4yBB4TG-AN0D3w6QXjjqpMvcCs1KBgYpbkfJmCqT7lvfTxOQa_AxSZ3CfgbY3J2o3hNQLyIIb2woxUs9_125&indpubnum=336274463762899&atk=1b2nh891la3ffe02,"ATTENTION ALASKA RESIDENTS ONLY! The Department of Transportation and Public Facilities (DOT&PF;) Central Region Construction Division has a great opportunity to join our team as an Engineering Assistant II and help us Keep Alaska Moving!
Materials Rovers are WAQTC certified materials technicians that ensure transportation construction projects such as airports and highways are built to specification by performing Independent Assurance sampling and testing, observing construction practices, and monitoring test results.

Rovers perform in-depth reviews of construction field laboratories, project materials records, and final materials closeout submittals. This position documents materials exceptions to the plans and specs, and recommends corrective action in order to certify project materials.

Rovers are required to have a working knowledge of WAQTC, AASHTO, ASTM, AK DOTPF Standard Specifications and Special Provisions. Rovers are a resource for both Design and Construction. They provide answers to technical materials questions, review design PSE packages and Materials Certification Lists. Rovers develop Materials Testing Frequency guides for construction projects upon advertising.

Rovers communicate with consultants that provide materials testing services to the Department, respond to technical questions, perform technical review of consultant work products, and provide recommendations on consultant selection.

Materials Rovers have a unique perspective in construction because they travel between multiple projects. Rovers are often the first to identify deficiencies in plans and specifications and recommend solutions that may be implemented statewide. Rovers work with the Regional Materials lab to ensure that all materials sources meet applicable quality standards, approved mix designs are enforced, and that all failing assurance results are investigated and resolved.

Rovers interface with the contractor and consultant communities as a Department specialist in construction materials.

Desired Qualifications:
Experience in reading, reviewing, and interpreting construction plans and specifications,
General knowledge of engineering and construction principles and practical experience in solving time-critical construction problems in the field,
Experience as any of the following: Project Engineer, Grade Inspector, Paving Inspector,
Familiarity with Federal Highway Administration or Federal Aviation Administration construction requirements and the necessary documentation,
A minimum of two years' experience in construction materials sampling and testing for Highway or Aviation construction projects,
Hold current WAQTC certifications or be able to obtain WAQTC certifications soon after hire.
Experience in the storage, transport, and use of portable nuclear densometers,
Able to critique and instruct others in proper procedures in a positive manner,
Able to work effectively in a position of authority with consultants regarding materials testing,
Able to follow regulations, policies and procedures given pressure from other employees, supervisors, and contractors to deviate from established requirements,
Have good communication skills (oral and written), and maintain good rapport with people who have differing points of view, and
Willing and able to travel to remote construction sites in Alaska via road or air, and for training out of state for periods of up to one week.

MINIMUM QUALIFICATIONS:
Bachelor's degree, or the equivalent with a major in engineering, architecture or land surveying from an institution accredited by ABET.
AND
One year of entry level engineering, architectural or land surveying experience as an Engineering Assistant I with the State of Alaska or the equivalent elsewhere.

Or:
A bachelor's degree with a major in engineering, architecture or land surveying from an institution not accredited by ABET.
AND
An Engineer-In-Training (EIT) or Land Surveyor-In-Training (LSIT) certificate issued by a state or the National Council of Examiners for Engineers and Surveyors; or verification of passing the Fundamentals of Engineering (FE) or Fundamentals of Surveying (FS) examination.
AND
One year of entry level engineering, architectural or land surveying experience as an Engineering Assistant I with the State of Alaska or the equivalent elsewhere.

Or:
Five years of progressively responsible subprofessional engineering experience of which two years was as a Journey level Engineering Technician or Drafting Technician III with the State of Alaska, or the equivalent elsewhere.

Substitution:
Graduate study in engineering and/or architecture may be substituted for the required experience as an Engineering Assistant I. (2 semester/3 quarter hours equal one month of experience).

Special Note:
The employing department will identify Engineering-In-Training (EIT) positions.
Transcripts which indicate the credit hours earned for the specific coursework may be requested at the time of interview or prior.

ADDITIONAL REQUIRED INFORMATION:
** NOTE: PLEASE READ THE FOLLOWING CAREFULLY **
HIRING FREEZE EXEMPTION
This individual position is EXEMPT from the hiring restriction. Qualified applicants are encouraged to apply. THIS RECRUITMENT IS FOR ALASKA RESIDENTS ONLY This recruitment is open to Alaska Residents Only. Applicants must meet Alaska Residency Requirements in order to be considered for employment at this time. Non-Alaska Residents Need Not Apply .
APPLICATIONS
Applications for this position may ONLY be accepted through the Workplace Alaska online application process or by hardcopy. If you choose to apply using a hardcopy (paper) application, please follow the instructions on the Workplace Alaska website "" How to Apply "" page. COVER LETTER Applicants are required to include a cover letter with their application for this position. In your cover letter, in professional business format, detail your experience, training and/or education that support the responsibilities of this position, how you meet the Minimum Qualifications, and how your prior experiences/education support the ""desired qualifications"" listed in the job description above. The cover letter will be considered as a writing sample and will be used to determine which applicants will advance to the interview phase of the recruitment and selection process. Applicants who do not submit a clear, well organized, informative cover letter meeting the requirements detailed above will not be considered for an interview. WORK EXPERIENCE When utilizing work experience not already documented in your Applicant Profile, also provide the employer name, your job title, dates of employment and whether full-time or part-time within your cover letter. Applications and Resumes will be reviewed to determine if the minimum qualifications are clearly met. If they are not, the applicant may not advance to the interview and selection phase of the recruitment. EDUCATION If post-secondary education is required or is used as a substitution to meet the minimum qualifications, it is required to complete the Education and Training section of the Application. If you have not obtained a degree, please indicate the number of credit hours earned in the Degrees Obtained field . Copies of transcripts will be required at time of interview. SPECIAL INSTRUCTIONS FOR FOREIGN EDUCATION Education completed in foreign colleges or universities may be used to meet the above requirements, if applicable. If utilizing this education you must show that the education credentials have been submitted to a private organization that specializes in interpretation of foreign educational credentials and that such education has been deemed to be at least equivalent to that gained in conventional U.S. education programs; or an accredited U.S. state university reports the other institution as one whose transcript is given full value, or full value is given in subject areas applicable to the curricula at the state university. It is your responsibility to provide such evidence when applying. RECRUITMENT NOTICE This recruitment may be used for more than one (1) vacancy. The applicant pool acquired during this recruitment may be used for future vacancies for up to ninety days after this recruitment closes. Interested applicants are encouraged to apply to each recruitment notice to ensure consideration for all vacancies. EEO STATEMENT The State of Alaska complies with Title I of the Americans with Disabilities Act (ADA). Individuals with disabilities, who require accommodation, auxiliary aides or services, or alternative communication formats, please call 1-800-587-0430 or 465-4095 in Juneau or (907) 465-3412 (TTY) or correspond with the Division of Personnel & Labor Relations at the address above. The State of Alaska is an equal opportunity employer.

Workplace Alaska NOTICE
Questions regarding the application process can be directed to the Workplace Alaska hotline at 800-587-0430 (toll free) or (907) 465- 4095 if you are located in the Juneau area.

If you choose to be contacted by email, please ensure your email address is correct on your application and that the spam filter will permit email from the 'govermentjobs.com' domains. For information on allowing emails from the 'governmentjobs.com' domains, visit the Lost Password Help page located at https://www.governmentjobs.com/js_lostpswd.cfm?&topheader;=alaska .

CONTACT INFORMATION:
Therese Stokes
Engineer/Architect III
(907)269-0436
therese.stokes@alaska.gov"
1,Field Technician,ECS Limited,Jacksonville,FL,"(E&amp;A) specializes in Geotechnical Engineering, Construction Materials Engineering, Testing and Inspection, Environmental Engineering, Construction Engineering...",30.32967,-81.65385,http://www.indeed.com/viewjob?jk=0a71fa2d1e0d9fd0&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"COMPANY OVERVIEW:
"
2,CEI Inspector,"JEA Construction Engineering Services, Inc.",Jacksonville,FL,"Nuclear Radiation Safety. Have a high level of knowledge on the practical application of engineering science and technology, including applying principles,...",30.331816,-81.59743,http://www.indeed.com/viewjob?jk=3a539326dd354660&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"The CEI Inspector performs quality assurance assessments to ensure that construction matches the contracted services. Under the supervision and direction of the CEI Project Administrator/Project Engineer or CEI Senior Inspector/Senior Engineer Intern, the duties of this position include verifying construction and completing work in accordance with the construction Contract documents. The CEI Inspector provides surveillance of the Contractor's Quality Control activities at the project site. Duties also include maintaining a daily log of construction and inspection activities and comparing progress reports. This position frequently works with little direct supervision.


ESSENTIAL JOB FUNCTIONS:

Perform quality assurance assessments – assessing the actual-to-contracted service, materials, and construction.
Act as a liaison between Company staff, client, and Contractors.
Input and extract data.
Review and analyze reports.
Assist the CEI Senior Inspector/Senior Engineer Intern in performing duties.
Inspect, sample, and test materials entering into the work in accordance with the plans, specifications, and special provisions for the construction Contract to determine that projects are constructed in reasonable conformity with such documents.
Communicate with Company staff frequently using email and telephone.

OTHER IMPORTANT FUNCTIONS:

Complete a detailed daily log of construction and inspection activities.
Maintain a safe work environment.

EDUCATION AND EXPERIENCE:


Education: High School Diploma or equivalent.


Experience: Minimum of 2 years of experience in construction inspection, with at least 1 of year experience with bridge and roadway construction inspection.


Qualifications: A s stipulated by Client and may include:

CTQP Concrete Field Inspector Level I
CTQP Asphalt Roadway Level I
CTQP Earthwork Construction Inspection Level I
CTQP Pile Driving Inspection (bridges)
CTQP Drilled Shaft Inspection (required for inspection of all drilled shafts including miscellaneous structures such as sign structures, lighting structures, and traffic signal structures)
IMSA Traffic Signal Technician Level 1
CTQP Final Estimates Level I
FDOT Intermediate MOT

Certifications: Nuclear Radiation Safety


Florida Stormwater, Erosion and Sedimentation Control Training and Certification Program for Inspectors and Contractors


Other: Valid Driver’s License with an acceptable MVR


FDOT Critical Structures Construction Issues self-study course (bridges)


KNOWLEDGE SKILLS AND ABILITIES: Have a high level of knowledge on the practical application of engineering science and technology, including applying principles, techniques, procedures, and equipment to provide construction-observation services. Understand the processes, materials, methods, and tools involved in construction. Apply basic arithmetic, algebra, and geometry to daily work and effectively and efficiently communicate information and ideas in speech and in writing so that others may understand. Assist the CEI Senior Inspector/Senior Engineer Intern in performing their duties. Receive general supervision from CEI Senior Inspector/Senior Engineer Intern who reviews the work while in progress.


Equal Opportunity Employer M/F/Disability/Veteran/AA/DFWP


Jones Edmunds & Associates will not sponsor a work visa (e.g. H1B, etc.,) to fill this position.


We are a drug-free workplace. As a condition of employment with Jones Edmunds & Associates any successful job applicant will be required to pass a pre-employment background investigation, drug screen and motor vehicle report."
3,CEI Inspector,WSP | Parsons Brinckerhoff,Jacksonville,FL,"Nuclear Radiation Safety. WSP | Parsons Brinckerhoff, one of the world's leading engineering and professional services consulting firms, provides services...",30.32967,-81.65385,http://www.indeed.com/viewjob?jk=dea86fb33cc4026c&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"About WSP | Parsons Brinckerhoff

"
4,Corrosion Planner,MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,Mayport,FL,"McKean Defense is an employee owned Naval Life Cycle Management, Engineering, Enterprise Transformation and Program Management business headquartered in...",30.392857,-81.42857,http://www.indeed.com/viewjob?jk=551a8fa5251532ba&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"McKean Defense is an employee owned Naval Life Cycle Management, Engineering, Enterprise Transformation and Program Management business headquartered in Philadelphia, PA. McKean’s engineers, developers, technical staff, programmers, analysts, and program managers identify and deploy new shipboard technologies, integrate information technology across shipboard platforms, and develop strategies to support the Warfighter. McKean’s employees create strategic solutions to help customers reach new levels of mission support and transform their organizations.


The Surface Maintenance Engineering Planning Program (SURFMEPP) Activity maintains, monitors, and refines Class-wide and Individual-Ship Maintenance Plans for all non-nuclear surface ships to ensure material readiness for the projected service life, develops life cycle strategies to address system upgrades, and fully implements the Class Maintenance Plan into each surface ship's maintenance schedule and availability planning process.


The Corrosion Planner acts as the Subject Matter Expert concerning the interrelations of ship specific corrosion conditions and their impact on expected service life. Additionally, the Planner will track recurring corrosion conditions on multiple Surface platforms, providing analysis and recommendations to, and in direct support of SURFMEPP’s life cycle maintenance strategies. A highly qualified candidate will:


Apply practical engineering judgment and experience while tracking corrosion work as reported by assessment activities to support of the maintenance planning , execution and close out process.

Possess coating and structural knowledge necessary to participate in corrosion-related Communities of Practice and Knowledge Sharing Networks, as well as review and QA condition data as reported during assessment events.
Be familiar with the government maintenance team and private shipyard organizations constructs, as they relate to condition assessment and depot level maintenance execution.
Be familiar with Navy Maintenance and logistics databases (NMD, 3M OARS, CCIMS and VSB).
Possess excellent communication and computer skills; to include proficiency in Microsoft Word, Excel and PowerPoint.
***The job location is in Mayport, Florida


Required Skills
S-CAT or NBPI qualification preferred
Proficiency in Microsoft Office, Excel, Access and PowerPoint
Familiarity with Navy Corrosion and Maintenance Databases
Superb customer relations/interpersonal skills
Must have a Secret security clearance
Travel up to 10% of the time
Required Experience

High school diploma or GED and ten years of relevant experience OR, a bachelor's degree in a relevant field and five years of relevant experience, OR a master's in a relevant field.

Equal Opportunity Employer–minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity.


McKean Defense Group is an E-Verify company."
5,Sr. Inspector (CEI Inspector),Gannett Fleming,Jacksonville,FL,"Nuclear Radiation Safety. With more than 60 offices worldwide, we are consistently ranked among the nation’s most prestigious engineering firms....",30.246592,-81.5507,http://www.indeed.com/viewjob?jk=841bbf4eef7d5637&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"Description
Throughout our 100 year history, Gannett Fleming has been an innovator and leader at a global level, providing world class services in engineering, consulting, design, program and construction management. With more than 60 offices worldwide, we are consistently ranked among the nation’s most prestigious engineering firms.
Our people are our secret to delivering excellence as promised! We have fostered a culture promoting progressive thinking to tackle complex engineering challenges --- transforming creative ideas into reality! We are committed to supporting your career goals by providing professional development and training, the opportunity to work with respected industry thought leaders, while at the same time encouraging a healthy work life balance. Our benefits and perks are competitive because we want to see a smile on your face as we change the world together.
Since 1915, Gannett Fleming has played a major role in some of the most multifaceted and iconic engineering accomplishments in the world. Join us in our journey as we continue to provide thought provoking, customized solutions to our clients, improving and sustaining communities for the next 100 years!

Responsibilities

We are looking for a Sr. Inspector (CEI Inspector ) for our Jacksonville, FL office.
Responsible for performing highly complex technical assignments in field surveying and construction layout, making, and checking engineering computations, inspecting construction work, and conducting field tests and is responsible for coordinating and managing the lower level inspectors. Work is performed under the general supervision of the Project Administrator.

Qualifications

Education / Requirements: High school graduate or equivalent plus four (4) years of experience in construction inspection, two (2) years of which shall have been in bridge and/or roadway construction inspection or a Civil Engineering degree and one (1) year of road & bridge CEI experience with the ability to earn additional required qualifications within one year.

REQUIRED QUALIFICATIONS:
CTQP Concrete Field Technician Level I
ACI Field Level I
CTQP Earthwork Construction Inspection Level I
CTQP Earthwork Construction Inspection Level II
CTQP Asphalt Roadway Level I
CTQP Asphalt Roadway Level II
CTQP Drilled Shaft Inspection
FDOT Intermediate MOT
CTQP Final Estimates Level I
IMSA Traffic Signal Technician Level I
Nuclear Radiation Safety
Florida Stormwater, Erosion and Sediment Control Training Certification
FDOT Critical Structures Construction Issues, Self-Study Course
ADDITIONAL DESIRED QUALIFICATIONS
CTQP Concrete Field Inspector Level II (Bridges)
CTQP Pile Driving Inspection
CTQP Grouting Technician Level I
CTQP Post-Tensioning Technician Level I
Gannett Fleming Inc. will not sponsor an employment visa (e.g., H-1B visa), including any visa renewal during employment, for any candidate for this position.
No relocation assistance will be provided for this position. Local residents will be given preference.
Gannett Fleming is an Equal Opportunity Affirmative Action Employer, including veterans and disability status.
NO AGENCIES PLEASE: Unsolicited resumes from third party agencies will not be accepted."
6,CEI Sr. Inspector,Michael Baker International,Jacksonville,FL,Nuclear Radiation Safety. Perform and check engineering computations. Is seeking a Construction Engineering &amp; Inspection (CEI) Sr....,30.32967,-81.65385,http://www.indeed.com/viewjob?jk=a290add82b2c5e30&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"Michael Baker International, Inc. is seeking a Construction Engineering & Inspection (CEI) Sr. Inspector in the Northern Florida region to assist in our fast growing CEI Group in Jacksonville and surrounding Northern Florida area.


Recently, Engineering News Record (ENR) named Michael Baker International in the top 25 firms for providing Construction Management-for-Fee services, and in the top 50 firms for Program Management services.


General Description


This is a full time CEI Sr. Inspector position who may lead a team of inspectors whose mission is to provide quality assurance to ensure that the construction performed on the project is per the requirements in the contract. This position typically performs assignments under the general supervision and direction of the Project Administrator.


Responsibilities


• Coordinate and oversee the repetitive and routine sampling and testing of component materials for highway and roadway construction projects in accordance with the construction contract documents.


"
7,Junior Systems Analyst,"T-Solutions, Inc.",Mayport,FL,"The Surface Maintenance Engineering, Planning Program (SURFMEPP) maintains, monitors, and refines Class-wide and Individual-Ship Maintenance Plans for all non...",30.392857,-81.42857,http://www.indeed.com/viewjob?jk=2eb040ba328df2ef&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"The Surface Maintenance Engineering, Planning Program (SURFMEPP) maintains, monitors, and refines Class-wide and Individual-Ship Maintenance Plans for all non-nuclear surface ships to ensure material readiness for the projected service life, develop life-cycle strategies to address system upgrades, and fully implement the Integrated Class Maintenance Plan into each surface ship’s maintenance schedule and availability planning process. The SURFMEPP is headquartered at the Norfolk Naval Shipyard in Portsmouth, VA.


Duties and Responsibilities

Performs technical planning, system integration, verification and validation, cost and risk, and supportability and effectiveness analyses for total systems.
Under direct supervision assists with technical planning, system integration, verification and validation, cost and risk, and supportability and effectiveness analyses for total systems.


Analyses are performed at all levels of total system product to include: concept, design, fabrication, test, installation, operation, maintenance and disposal.


Ensures the logical and systematic conversion of customer or product requirements into total systems solutions that acknowledge technical, schedule, and cost constraints.


Researches, designs, develops, and tests structures, propulsion units, guidance and control subsystems for ships, navigation, communications, fire control, missiles, and associated systems.


Analyzes Ship systems product or equipment specifications and performance requirements to determine designs, which can be produced by existing manufacturing or processing facilities and methods.


Evaluates new advanced technologies for application in improving design of complex ship systems.


Plans, coordinates, directs, and evaluates testing of complex ship systems.


Performs risk assessment of advanced ship systems and generates risk mitigation plans and strategies.


Required Qualifications

Requires 1 year of experience with testing of complex ship systems.


Proficient in Microsoft Office applications, able to obtain and retain a security clearance. Must possess excellent written and verbal communication skills.


Ability to work independently with attention to detail.


Security Requirements: 
Applicant will be subject to a security investigation and must meet the eligibility requirements to obtain and maintain a security clearance issued by the US Government. In addition to the security clearance, this position may require an additional background screening for base access. To see if you meet requirements to obtain a Security Clearance click HERE

T-Solutions is a rapidly growing, family owned company with a comprehensive employment benefits package, including Medical, Dental, 401k, Life, Disability, AD&D;, Paid Vacation, Tuition Reimbursement, and more. Apply to join our family of professionals today!


EQUAL OPPORTUNITY EMPLOYER - FEMALES - MINORITIES - VETERANS - DISABLED"
8,Environmental Technician Job,Golder Associates,Jacksonville,FL,"Nuclear gauge operation, testing and sampling of soils. Nicet, GRI, and/or Nuclear Density Training Certificates a plus....",30.219824,-81.562256,http://www.indeed.com/viewjob?jk=42170b32c9ceed29&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"Environmental Technician
"
9,Biomed Equip Spec. III - Enterprise HTM Radiology Equip Team Job,Mayo Clinic,Jacksonville,FL,Radiology engineering technicians repair and maintain imaging/x-ray equipment used for diagnostic procedures in hospitals and clinics....,30.32967,-81.65385,http://www.indeed.com/viewjob?jk=d2f1ff714102536f&qd=1vHU8bY0zJlP3i697aWcBxKILIEyXW9zxqEmnYopnGGlzxBszFmVTHcOXaSOOOirT38xVR1jnwORseN8m5-3mMKlU2pFemEy5ONLrrwW31mG6NGMPSduPdyLNHKha3rWgwX4RPCIMzv6vy0IGPvzWQ&indpubnum=336274463762899&atk=1b2nh89qiaf6lf0u,"Department: Healthcare Technology Management - Biomed/FAC OPS

A Life-Changing Career

Responsibilities: A Biomedical Equipment Specialist III Radiology Equipment Specialist is responsible for installation, repair, calibration and preventative maintenance on most radiology diagnostic, therapeutic, and imaging equipment. Radiology engineering technicians repair and maintain imaging/x-ray equipment used for diagnostic procedures in hospitals and clinics. These technicians provide service to equipment in need of repair or preventive maintenance in a timely, effective manner. Additionally, radiology engineering technicians provide software and hardware support on medical equipment in a therapeutic and diagnostic radiology area. The radiology engineering technician is expected to be able to explain how radiographic equipment functions, what the issue was (if the machine was in disrepair) and how staff members can prevent a similar issue from happening again. Other duties performed by radiology engineering technicians include performing preventative maintenance, installing equipment and making any necessary modifications. They may participate in inventory management and budgeting related to service and repair. Technicians in this specialty provide primary service expertise and cross-functional maintenance support and are responsible for providing technical training on assigned equipment. This position will frequently be involved in the planning and implementation of new equipment and systems and must work cooperatively with area supervisors, co-workers, physicians, equipment users, risk managers, vendors, contractors and other health care workers. Individuals selected for this position are expected to assist staff development by serving as a coach and mentor to less experienced co-workers. Must be highly organized, efficient, and multifunctional with the ability to work independently or in a team environment. The successful candidate must have excellent verbal and written communications skills and be capable of working effectively under stress and in the vicinity of very ill patients. Exhibits excellent patient and/or customer service skills. Fosters mutual respect and supports Mayo Clinic's commitment to diversity. Practices and promotes teamwork. Performs duties in a dependable manner. Maintains confidentiality. Adheres to high standards of personal conduct.

Qualifications: EDUCATION: High School Diploma or equivalent GED. Associates Degree in Biomedical Electronics required.

EXPERIENCE : A minimum of five years progressive experience working with complex medical equipment is required in order to qualify the Biomed Specialist III Radiology engineering technician position. This position requires extensive skill sets gained primarily from manufacturer service schools which may be provided by the employer.

Satisfactory completion of formal training on a minimum of ten (10) specialized types of more complex equipment is required. The technician will be expected to provide primary support for at least five modalities and provide cross-functional backup on the remainder. Examples include, but are not limited to: General X-Ray/Imaging, Diagnostic Ultrasound, Mammography, Bone Density scanners, Radiation Oncology, MRI, CT, Nuclear Medicine, and other specialized equipment or systems.

Resume must list formal training completed and specialized equipment experience.

BMET Certification is preferred.

Additional Qualifications: COMPETENCY: JOB KNOWLEDGE: Due to the amount of specialized equipment in this area, each technician must ultimately provide primary service expertise on multiple types of equipment and backup responsibility for other types. Extensive manufacture's training and a minimum of five years of experience are required to obtain the necessary knowledge. The individual must be committed to continuously improving their knowledge and abilities in order to become and remain proficient. Technicians in this specialty maintain equipment used in the healthcare facility. This equipment must be maintained such that it reliably and accurately provides therapeutic and diagnostic information for patients. Most service calls are communicated from the equipment user to the service technician. This often requires a response time of 15 minutes or less. The technicians must prioritize their own work appropriately and be available to work overtime as needed. Individuals in this position must be customer focused with good communications and interpersonal skills. The ability to provide accurate and concise documentation is an absolute must in order to comply with regulatory agencies such as Joint Commission. ADDL CONSIDERATIONS: Must be available to be on-call per department schedule. (weekends, holidays and nights) Must be able to work nights and weekends as necessary for scheduled maintenance. Willing to be available for Facilities Emergencies. Physical requirements will be standing, stooping, bending, lifting, pulling, reaching and climbing on stepladders. Must be able to lift 50 lbs. Must be able to work in an environment with critically ill patients. Must be able to work in areas and with equipment that may present biological, chemical and radiation hazards providing adequate training and safety equipment is made available. Must be able to work in research facilities as required to provide support for the equipment. Act as resource to other departments (Nursing, Administration, Project management, etc.) to provide insight and advice on on-going and proposed clinical equipment projects. Work with other departments (i.e. I.S.) on equipment that is common to both departments. For example, PC's associated with clinical equipment that fall under I.S. responsibility but Biomed expertise.

Benefit Eligible: Yes
Exemption Status: Non-exempt
Compensation Detail: Education, experience and tenure may be considered along with internal equity when job offers are extended.
Hours/Pay Period: 80
Schedule Details: Monday - Friday

The candidate must be available to work flexible schedules and overtime as required. Participation in on-call rotation is mandatory.

Recruiter: Pauline Ptacek Raiche

Why Mayo Clinic? Mayo Clinic provides the highest quality patient care by placing the needs of the patient first. You'll discover a culture of teamwork, professionalism and mutual respect — and most importantly, a life-changing career. We invite you to join our diverse team as we provide health, hope and healing to people from all walks of life.

Site Description: Jacksonville is the largest city in area in the continental United States. A beautiful coastal Florida city that features excellent year-round climate, over 20 miles of beaches and outstanding outdoor recreational, cultural and family-oriented amenities. The “River City by the Sea” has an excellent school system, reasonable cost of living and a thriving business environment. Medical professionals and patients are drawn to Jacksonville by an extraordinary network of high-profile healthcare facilities. Jacksonville continues to grow as more people relocate from all over the U.S. and abroad, to see what the great River City has to offer!

Mayo Clinic is an equal opportunity educator and employer (including veterans and persons with disabilities).

Job Posting Category: Maintenance/Facilities
Job Posting Number: 66827BR"
