,job title,job summary,label
0,Athletic Trainer,"OPA is a rapidly expanding orthopedic group seeking an additional Full Time Certified Athletic Trainer to meet the needs of the greater Mat-Su area schools athletic programs. The primary responsibility of the clinical/outreach athletic trainer is to provide outstanding care to athletes and patients at local high schools, community events, and clinic.Primary Duties and ResponsibilitiesThe certified athletic trainer is charged with managing the health care of participating athletes. This includes, but is not limited to, first aid/emergency care, on-site injury evaluation, appropriate modalities, prevention and rehabilitation programs and medical referrals. The certified athletic trainer should be able to multi-task and be available for possible early morning shifts, late afternoons, evenings and weekends.Physical Demands/Working ConditionsAble to spend various amounts of time standing, sitting, walking, bending, reaching and twisting. Able to lift 50 pounds frequently. Able to work indoors and outdoors for various amounts of time.The clinical/outreach ATC will: Comply with OPA facility and department policies and procedures.Adhere to the OPA mission and vision statements.Comply with all local, state, and federal regulations as well as continuing education requirements that govern the delivery of athletic training services.Design and implement injury prevention, performance enhancement, and wellness programs for the physically active.Instruct athletes, parents, coaches, medical personnel, and other community members in proper care and prevention of athletic injuries.Comply with OSHA blood borne pathogen standards.Order, maintain and inventory supplies and clinical equipment.Keep athletic training room and clinical area safe, clean and organized.Maintain athletes' medical records and submit injury reports as required.Perform duties to assist team physicians, including but not limited to bracing, casting, evaluation, and patient care.Organize pre- and post-participation physicals.Supervise student athletic trainers, aides and volunteers.Demonstrate interpersonal skills required to work effectively with players, coaches and other team personnel.Participate in select community service/educational programs related to sports medicine.Perform other duties as assigned or required by Director and/or Sports Medicine Physician.Required Licenses and CertificationsNational certification (ATC) through the Board of Certification, Inc.Current CPR CertificationEducationBachelor's degreeMaster's degree preferredWork ExperienceMinimum three (3) years athletic training experience in a sports environment.Candidates meeting the above skills and qualifications and desiring to be part of a patient-centered, professional environment are invited to complete the application process as described below.How to Apply: *** SUBMIT ALL 3 DOCUMENTS ***OPA employment Application (Available at OPAnchorage.com. Select the link âcontact usâ, then âemploymentâ.)Cover LetterResume/CVSubmit the above, including salary expectations, by selecting the apply or reply link or mailing to 3801 Lake Otis Pkwy, Suite 300, Attn: HR Manager. Only electronic submittals will receive a reply email that your application materials have been received. Submitting incomplete application materials may cause delays or missed opportunities. The Human Resources Department will make every effort to reply to your application materials within 7 days of receipt.OPA is an equal opportunity employer.Job Type: Full-timeRequired education:Bachelor'sRequired experience:athletic training: 3 years",sports
1,"Physical Therapist - Home Health | Jacksonville, FL - 4","The Physical Therapist [PT] will provide therapy services to help restore function, improve mobility, relieve pain and prevent permanent physical disabilities of patients suffering from injuries or disease. Working in a home health setting, the physical therapist will provide initial and ongoing assessments to determine level of functioning and patientsâ progress in their residence.


In this role, the home health PT must demonstrate strong communication skills with peers and their patients', in addition to ensuring patients' residence provide suitable conditions for their recovery. The ideal therapist for this job will be energetic, an effective communicator and be dedicated to providing high-quality to care to all of their patients.


Responsibilities:

Travel to and front patients' homes, providing physical therapy as ordered by a physician in accordance with the designated plan of care.
Review and explain physician orders with patients' and their families.
Participate in case conferences
Present patients' with updates while making care suggestions to the care team.
Coordinate with care team members to provide high-quality services and care to all our patients.
Requirements:

Provide physical therapy care that complies with organization's best practices, standards, policies and procedures.
Comply with both federal and state guidelines, including all licensing requirements.
Maintain a valid state driverâs licenses and automobile insurance.
About Company:


Join this physical therapist owned practice specializing in sports medicine, industrial rehab and athletic training. Operating over 15 clinics across a variety of states in the southeast, they apply a strong focus on delivering high-quality care and service to their patients.


Understanding the importance of the local communities in which they work, this organization and their team take pride in giving back. With active participation in a variety of charity events including local school systems and sports groups.


Opportunities are available for Full Time, Part Time and PRN.


Benefits:

Full benefits package including profit sharing and all expenses paid.
Benefits are effective immediately upon start date.
Choice of base salary or pay per visit.
Electronic documentation
Paid CEUâs and licensing fees.
Strong team focused environment that provides great culture.",sports
2,"Occupational Therapist - Home Health / Jacksonville, FL - 2214","Occupational Therapist is responsible for assessing, planning, implementing, evaluating and providing high-quality skilled care to patients requiring occupational therapy services in a home-based setting as ordered by a physician.

In this role, the home health occupational therapist must help improve function, mobility and help patients become as active and independent as their condition will allow. Working in the homes of the patients, the occupational therapist [OT] will work to help patients regain quality of life, while also empowering each individual they treat to be independent at home.

The therapist will demonstrate strong communication skills with peers and their patients', in addition to assessing the patientâs condition and providing counseling. They will work closely with patientâs physician to create and implement a home care treatment plan. This treatment will include specific goals for everyday living and completed routine household tasks. The ideal candidate for this job will be energetic, an effective communicator and be dedicated to providing high-quality care to all of their patients.

Responsibilities:
Travel to and front patients' homes, providing physical therapy as ordered by a physician in accordance with the designated plan of care.

Review and explain physician orders with patients' and their families.

Responsible for the direct or indirect provisions of individualized care based on the assessed age and development needs of each patient.

Present patients' with updates while making care suggestions to the care team.

Record patient treatments and evaluate progress and effectiveness in accomplishing goals.

Coordinate with care team members to provide high-quality services and care to all our patients.

Requirements:
Provide occupational therapy care that complies with organization's best practices, standards, policies and procedures.

Comply with both federal and state guidelines, including all licensing requirements.

Maintain a valid state driverâs licenses and automobile insurance.

About Company:
Join this therapist owned practice specializing in sports medicine, industrial rehab and athletic training. Operating over 15 clinics across a variety of states in the southeast, they apply a strong focus on delivering high-quality care and service to their patients.

Understanding the importance of the local communities in which they work, this organization and their team take pride in giving back. With active participation in a variety of charity events including local school systems and sports groups.

Benefits:
Full benefits package including profit sharing and all expenses paid.

Benefits are effective immediately upon start date.

Choice of base salary or pay per visit.

Electronic documentation

Paid CEUâs and licensing fees.

Strong team focused environment that provides great culture.",sports
3,"Occupational Therapist - Home Health / Orange Park, FL - 4399","Facility seeking Occupational Therapist - Home Health

Must have OT experience - Home health experience is not required.

Occupational Therapist is responsible for assessing, planning, implementing, evaluating and providing high-quality skilled care to patients requiring occupational therapy services in a home-based setting as ordered by a physician.

In this role, the home health occupational therapist must help improve function, mobility and help patients become as active and independent as their condition will allow. Working in the homes of the patients, the occupational therapist [OT] will work to help patients regain quality of life, while also empowering each individual they treat to be independent at home.

The therapist will demonstrate strong communication skills with peers and their patients', in addition to assessing the patientâs condition and providing counseling. They will work closely with patientâs physician to create and implement a home care treatment plan. This treatment will include specific goals for everyday living and completed routine household tasks. The ideal candidate for this job will be energetic, an effective communicator and be dedicated to providing high-quality care to all of their patients.

Responsibilities:
Travel to and from patients' homes, providing physical therapy as ordered by a physician in accordance with the designated plan of care.

Review and explain physician orders with patients' and their families.

Responsible for the direct or indirect provisions of individualized care based on the assessed age and development needs of each patient.

Present patients' with updates while making care suggestions to the care team.

Record patient treatments and evaluate progress and effectiveness in accomplishing goals.

Coordinate with care team members to provide high-quality services and care to all our patients.

Requirements:
Provide occupational therapy care that complies with organization's best practices, standards, policies and procedures.

Comply with both federal and state guidelines, including all licensing requirements.

Maintain a valid state driverâs licenses and automobile insurance.

About Company:
Join this therapist owned practice specializing in sports medicine, industrial rehab and athletic training. Operating over 15 clinics across a variety of states in the southeast, they apply a strong focus on delivering high-quality care and service to their patients.

Understanding the importance of the local communities in which they work, this organization and their team take pride in giving back. With active participation in a variety of charity events including local school systems and sports groups.

Benefits:
Full benefits package including profit sharing and all expenses paid.

Benefits are effective immediately upon start date.

Choice of base salary or pay per visit.

Electronic documentation

Paid CEUâs and licensing fees.

Strong team focused environment that provides great culture.",sports
4,"Occupational Therapist - Home Health / Yulee, FL - 4357","Occupational Therapist - Nassau County, FL area

Occupational Therapist is responsible for assessing, planning, implementing, evaluating and providing high-quality skilled care to patients requiring occupational therapy services in a home-based setting as ordered by a physician.

In this role, the home health occupational therapist must help improve function, mobility and help patients become as active and independent as their condition will allow. Working in the homes of the patients, the occupational therapist [OT] will work to help patients regain quality of life, while also empowering each individual they treat to be independent at home.

The therapist will demonstrate strong communication skills with peers and their patients', in addition to assessing the patientâs condition and providing counseling. They will work closely with patientâs physician to create and implement a home care treatment plan. This treatment will include specific goals for everyday living and completed routine household tasks. The ideal candidate for this job will be energetic, an effective communicator and be dedicated to providing high-quality care to all of their patients.

Responsibilities:
Travel to and front patients' homes, providing physical therapy as ordered by a physician in accordance with the designated plan of care.

Review and explain physician orders with patients' and their families.

Responsible for the direct or indirect provisions of individualized care based on the assessed age and development needs of each patient.

Present patients' with updates while making care suggestions to the care team.

Record patient treatments and evaluate progress and effectiveness in accomplishing goals.

Coordinate with care team members to provide high-quality services and care to all our patients.

Requirements:
Provide occupational therapy care that complies with organization's best practices, standards, policies and procedures.

Comply with both federal and state guidelines, including all licensing requirements.

Maintain a valid state driverâs licenses and automobile insurance.

About Company:
Join this therapist owned practice specializing in sports medicine, industrial rehab and athletic training. Operating over 15 clinics across a variety of states in the southeast, they apply a strong focus on delivering high-quality care and service to their patients.

Understanding the importance of the local communities in which they work, this organization and their team take pride in giving back. With active participation in a variety of charity events including local school systems and sports groups.

Benefits:
Full benefits package including profit sharing and all expenses paid.

Benefits are effective immediately upon start date.

Choice of base salary or pay per visit.

Electronic documentation

Paid CEUâs and licensing fees.

Strong team focused environment that provides great culture.",sports
5,"Occupational Therapist - Home Health / Bryceville, FL - 4353","Occupational Therapist - Nassau County, FL area

Occupational Therapist is responsible for assessing, planning, implementing, evaluating and providing high-quality skilled care to patients requiring occupational therapy services in a home-based setting as ordered by a physician.

In this role, the home health occupational therapist must help improve function, mobility and help patients become as active and independent as their condition will allow. Working in the homes of the patients, the occupational therapist [OT] will work to help patients regain quality of life, while also empowering each individual they treat to be independent at home.

The therapist will demonstrate strong communication skills with peers and their patients', in addition to assessing the patientâs condition and providing counseling. They will work closely with patientâs physician to create and implement a home care treatment plan. This treatment will include specific goals for everyday living and completed routine household tasks. The ideal candidate for this job will be energetic, an effective communicator and be dedicated to providing high-quality care to all of their patients.

Responsibilities:
Travel to and front patients' homes, providing physical therapy as ordered by a physician in accordance with the designated plan of care.

Review and explain physician orders with patients' and their families.

Responsible for the direct or indirect provisions of individualized care based on the assessed age and development needs of each patient.

Present patients' with updates while making care suggestions to the care team.

Record patient treatments and evaluate progress and effectiveness in accomplishing goals.

Coordinate with care team members to provide high-quality services and care to all our patients.

Requirements:
Provide occupational therapy care that complies with organization's best practices, standards, policies and procedures.

Comply with both federal and state guidelines, including all licensing requirements.

Maintain a valid state driverâs licenses and automobile insurance.

About Company:
Join this therapist owned practice specializing in sports medicine, industrial rehab and athletic training. Operating over 15 clinics across a variety of states in the southeast, they apply a strong focus on delivering high-quality care and service to their patients.

Understanding the importance of the local communities in which they work, this organization and their team take pride in giving back. With active participation in a variety of charity events including local school systems and sports groups.

Benefits:
Full benefits package including profit sharing and all expenses paid.

Benefits are effective immediately upon start date.

Choice of base salary or pay per visit.

Electronic documentation

Paid CEUâs and licensing fees.

Strong team focused environment that provides great culture.",sports
6,"Occupational Therapist - Home Health / Callahan, FL - 4354","Occupational Therapist - Nassau County, FL area

Occupational Therapist is responsible for assessing, planning, implementing, evaluating and providing high-quality skilled care to patients requiring occupational therapy services in a home-based setting as ordered by a physician.

In this role, the home health occupational therapist must help improve function, mobility and help patients become as active and independent as their condition will allow. Working in the homes of the patients, the occupational therapist [OT] will work to help patients regain quality of life, while also empowering each individual they treat to be independent at home.

The therapist will demonstrate strong communication skills with peers and their patients', in addition to assessing the patientâs condition and providing counseling. They will work closely with patientâs physician to create and implement a home care treatment plan. This treatment will include specific goals for everyday living and completed routine household tasks. The ideal candidate for this job will be energetic, an effective communicator and be dedicated to providing high-quality care to all of their patients.

Responsibilities:
Travel to and front patients' homes, providing physical therapy as ordered by a physician in accordance with the designated plan of care.

Review and explain physician orders with patients' and their families.

Responsible for the direct or indirect provisions of individualized care based on the assessed age and development needs of each patient.

Present patients' with updates while making care suggestions to the care team.

Record patient treatments and evaluate progress and effectiveness in accomplishing goals.

Coordinate with care team members to provide high-quality services and care to all our patients.

Requirements:
Provide occupational therapy care that complies with organization's best practices, standards, policies and procedures.

Comply with both federal and state guidelines, including all licensing requirements.

Maintain a valid state driverâs licenses and automobile insurance.

About Company:
Join this therapist owned practice specializing in sports medicine, industrial rehab and athletic training. Operating over 15 clinics across a variety of states in the southeast, they apply a strong focus on delivering high-quality care and service to their patients.

Understanding the importance of the local communities in which they work, this organization and their team take pride in giving back. With active participation in a variety of charity events including local school systems and sports groups.

Benefits:
Full benefits package including profit sharing and all expenses paid.

Benefits are effective immediately upon start date.

Choice of base salary or pay per visit.

Electronic documentation

Paid CEUâs and licensing fees.

Strong team focused environment that provides great culture.",sports
7,"Occupational Therapist - Home Health / Amelia Island, FL - 1058","We are currently seeking an occupational therapist (OT) to manage caseloads for new and existing patients across the beautiful southeast region of Georgia. In this role the OT will oversee a team of experienced occupational therapy assistants (OTA) and perform evaluations, re-assessments and discharge visits in more than one county.


The ideal therapist will be outgoing, organized and be dedicated to providing high-quality care to all of their patients.


Due to immediate coverage requirements this opportunity is offering a sign-on bonus if the position is filled prior to July 21 st.


We encourage therapists interested in PRN and Part time to apply!


Territory will cover northern Jacksonville, Amelia Island (32034) and Brunswick County of Georgia.


This opportunity offers:

Unique flexibility for full time, part time or PRN coverage
Lucrative pay for both new and follow up patient visits
Comprehensive benefits package
Requirements:

Ability to travel to and from patientsâ homes, providing occupational therapy services including evaluations, re-assessments and discharge visits.
Record patient treatments and evaluate progress and effectiveness in accomplishing goals.
Coordinate with care team members to provide high-quality services and care to all our patients.
Demonstrate effective communication skills and successfully lead a team of occupational therapy assistants.
Additional Requirements:

Currently hold or be eligible for Georgia license
Maintain a valid state driverâs license and automobile insurance
Comply with both federal and state guidelines, including all licensing requirements
Â· Prior experience in home health setting a plus but not a requirement


About Company:


Join this therapist owned practice specializing in sports medicine, industrial rehab and athletic training. Operating over 15 clinics across a variety of states in the southeast, they apply a strong focus on delivering high-quality care and service to their patients.


Understanding the importance of the local communities in which they work, this organization and their team take pride in giving back. With active participation in a variety of charity events including local school systems and sports groups.


Benefits:

Full benefits package including profit sharing and all expenses paid.
Benefits are effective immediately upon start date.
Choice of base salary or pay per visit.
Electronic documentation
Paid CEUâs and licensing fees.
Strong team focused environment that provides great culture.",sports
8,"Occuaptional Therapist - Home Health / Jacksonville, FL - 1263","Occupational Therapist is responsible for assessing, planning, implementing, evaluating and providing high-quality skilled care to patients requiring occupational therapy services in a home-based setting as ordered by a physician.

In this role, the home health occupational therapist must help improve function, mobility and help patients become as active and independent as their condition will allow. Working in the homes of the patients, the occupational therapist [OT] will work to help patients regain quality of life, while also empowering each individual they treat to be independent at home.

The therapist will demonstrate strong communication skills with peers and their patients', in addition to assessing the patientâs condition and providing counseling. They will work closely with patientâs physician to create and implement a home care treatment plan. This treatment will include specific goals for everyday living and completed routine household tasks. The ideal candidate for this job will be energetic, an effective communicator and be dedicated to providing high-quality care to all of their patients.

Responsibilities:
Travel to and front patients' homes, providing physical therapy as ordered by a physician in accordance with the designated plan of care.

Review and explain physician orders with patients' and their families.

Responsible for the direct or indirect provisions of individualized care based on the assessed age and development needs of each patient.

Present patients' with updates while making care suggestions to the care team.

Record patient treatments and evaluate progress and effectiveness in accomplishing goals.

Coordinate with care team members to provide high-quality services and care to all our patients.

Requirements:
Provide occupational therapy care that complies with organization's best practices, standards, policies and procedures.

Comply with both federal and state guidelines, including all licensing requirements.

Maintain a valid state driverâs licenses and automobile insurance.

About Company:
Join this therapist owned practice specializing in sports medicine, industrial rehab and athletic training. Operating over 15 clinics across a variety of states in the southeast, they apply a strong focus on delivering high-quality care and service to their patients.

Understanding the importance of the local communities in which they work, this organization and their team take pride in giving back. With active participation in a variety of charity events including local school systems and sports groups.

Benefits:
Full benefits package including profit sharing and all expenses paid.

Benefits are effective immediately upon start date.

Choice of base salary or pay per visit.

Electronic documentation

Paid CEUâs and licensing fees.

Strong team focused environment that provides great culture.",sports
9,"Certified Occupational Therapist Assistant - Home Health / Jacksonville, FL - 4394",Certified Occupational Therap,sports
